milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.0004270876623108737,8.402842478859618e-11,2.486809400342762e-06,3.715201650593857e-07,1.4342978484325848e-11,9.998292874473456e-06
100,0.0006621803604885396,4.579966018776124e-09,2.239571312166252e-06,2.576326923652963e-07,1.4744481903389032e-10,8.17323201362295e-06
200,0.0005121081079072956,8.2002562446295e-09,2.0000354418204633e-06,5.566620592196917e-07,3.6093555481271157e-10,6.7067211869726726e-06
300,0.0005951380614976924,1.1400142865529581e-08,1.7934380852105335e-06,6.711517888109685e-07,5.595411387805039e-10,5.599275008365132e-06
400,0.0006085981825239172,1.3923403498696586e-08,1.6053500332158871e-06,9.439203870793513e-07,7.784403919444627e-10,4.470141465034112e-06
500,0.0005691955191477482,1.6329971918448547e-08,1.4231186120487857e-06,1.0450891425034249e-06,9.71055216426166e-10,3.638400115838443e-06
600,0.000732010039848231,1.770672810110272e-08,1.2856611424636005e-06,1.3316421013379973e-06,1.1271877062449938e-09,3.0092372802341585e-06
700,0.000820557816500712,1.918072247729835e-08,1.139682823532668e-06,1.40622596111204e-06,1.2822059007821613e-09,2.570442265069163e-06
800,0.0009013422435365332,1.992011308011801e-08,1.01986883586643e-06,1.814973340365146e-06,1.4092770723477999e-09,2.15428327888397e-06
900,0.000991525136297666,2.0991084473262847e-08,9.187389818389348e-07,1.830829068724357e-06,1.5105333986104038e-09,1.8160988412235119e-06
1000,0.0009626405183782756,2.134814525913949e-08,8.451624765099717e-07,2.1480972042487857e-06,1.5886639790265781e-09,1.399665430876824e-06
1100,0.0009276269579993064,2.1672741994549252e-08,7.025351637442963e-07,2.494617992713974e-06,1.6509771227450392e-09,1.107066008830919e-06
1200,0.0010962537401629554,2.1905326289825043e-08,6.36802033288375e-07,2.3624847420050133e-06,1.6885875496407159e-09,9.137734054946212e-07
1300,0.0012325800665370257,2.2178964806999164e-08,5.690269017082629e-07,2.444024066709225e-06,1.7218514213296845e-09,8.942246791741431e-07
1400,0.0012465654616085587,2.215154807292205e-08,4.851369039474649e-07,2.720140580772482e-06,1.7420174789425278e-09,7.886323883338584e-07
1500,0.0011474314173104659,2.1774349791555283e-08,4.376315580253027e-07,3.031663947059851e-06,1.7195047648652867e-09,6.407115000792917e-07
