miliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.0005938602711997779,3.247269692094229e-11,2.5015525686297336e-06,2.477738474237247e-07,3.83152945116084e-12,9.902395151262615e-06
100,0.00038336380073579165,4.565715892739599e-09,2.2315344079454926e-06,2.9048154902593234e-07,1.609635670253115e-10,8.176852761906087e-06
200,0.0005538674026637003,8.56319796079955e-09,2.0474346226066726e-06,5.639201754054175e-07,3.444052189909079e-10,6.810780228417682e-06
300,0.0006698349578864747,1.1701601920719159e-08,1.8178402090502647e-06,8.721187765706479e-07,5.810928778900335e-10,5.405646652971389e-06
400,0.0006881120933047121,1.396586925519997e-08,1.6177861538206992e-06,1.1477057044356864e-06,7.64903114126215e-10,4.419847037474489e-06
500,0.0006458083409653248,1.6305176912203228e-08,1.4259019136307253e-06,1.3457430949954337e-06,9.684239348745666e-10,3.6739586765305814e-06
600,0.0005873769828893591,1.7745786579507365e-08,1.268889734692653e-06,1.3073989221673069e-06,1.1371015041568644e-09,2.9749269093822357e-06
700,0.0007480052580226244,1.8990552303229987e-08,1.1510409255212753e-06,1.5739831822808438e-06,1.2762619229686484e-09,2.5065869624986726e-06
800,0.00084035405538177,2.023945301282527e-08,1.0385629730181415e-06,1.9319378065029747e-06,1.4078824367489465e-09,2.1208004052059465e-06
900,0.0008472788038839724,2.0668459378135186e-08,9.163852570588232e-07,2.0056090363682697e-06,1.505434728825551e-09,1.769292846626046e-06
1000,0.0010557445989580428,2.1459075671060993e-08,8.000037925516447e-07,2.0985435121998483e-06,1.5762006665354116e-09,1.449346337359843e-06
1100,0.001048469554930319,2.164816012288618e-08,7.352654254616893e-07,2.0802108364341636e-06,1.6244780820581774e-09,1.2766554725634902e-06
1200,0.0011229471171086084,2.1910027252483092e-08,6.416006067963038e-07,2.5484054085360085e-06,1.6900467743895082e-09,9.049126328835894e-07
1300,0.0012306995598641785,2.1987665938295967e-08,5.643226108132912e-07,2.663180844323963e-06,1.7030102722388333e-09,8.8029929848342e-07
1400,0.0011005370963268197,2.229284186467591e-08,5.406593511547117e-07,2.8468038437137194e-06,1.7343972493394873e-09,7.43767164916556e-07
1500,0.0013783598635014717,2.207605902934099e-08,4.3775449569011714e-07,2.7755142878027354e-06,1.7447780738109966e-09,6.256367622349015e-07
1600,0.0011979730224746016,2.1924512800828166e-08,3.986613347173919e-07,3.031704442513783e-06,1.7046735139835296e-09,4.479476294728088e-07
1700,0.0015585638921531393,2.1791509096285067e-08,3.254369242915523e-07,3.5373368416892855e-06,1.6943445582953034e-09,5.451354273137893e-07
1800,0.0014532147150400504,2.1125995892854318e-08,2.984009806754946e-07,3.668940822613797e-06,1.6838010585228243e-09,2.990878973164554e-07
