milliseconds,IX,TF_VIIa_IX,TF_VIIa,IXa,TF_VIIa_X,X,Xa,VIII,Xa_VIII,VIIIa,IIa,IIa_VIII,VIIIa_IXa,VIIIa_IXa_X,V,Xa_V,Va,IIa_V,Va_Xa,II,Va_Xa_II,Fibrinogen,Fibrinogen_IIa,Fibrin,VIIIa_inact,IXa_inact,Xa_inact,IIa_inact,Xa_Xa_Inhibitor,Xa_Inhibitor,Va_Xa_Xa_Inhibitor,IIa_IIa_Inhibitor,IIa_Inhibitor
0,89.99992965228934,2.0658199855600085e-05,0.004999183421280058,9.398707698219745e-05,-2.304697191680473e-05,170.00012746842143,9.820583339451068e-05,0.7000029045846402,-7.922056512801795e-07,-1.5132071004721697e-07,-8.21158438447975e-08,-9.496764931866457e-11,6.95319313612362e-11,-4.690793674453602e-12,19.999927480785153,0.0001276619130866458,8.666585049064172e-06,-1.5072140392019467e-08,3.517970414651689e-09,1399.99999991188,-5.061937461803132e-09,7900.000004266338,-7.473001836518998e-08,1.8120260538466295e-06,1.6166664472245792e-10,-1.3130638163897453e-07,1.0789230919956002e-06,4.4708086124704806e-10,0.0,0.0,0.0,0.0,0.0
100,89.99830677861806,0.0016301363343231238,0.0010465903894493612,1.969285755668439e-05,0.0023638338154425343,169.9974438846964,0.00030137530268131094,0.7000005259286638,1.2664004390881751e-07,-2.092817784145929e-07,-9.293001514183244e-08,-3.56112146812492e-10,-5.7877549942009274e-11,2.269416786918696e-12,19.999968297387625,-0.00021080302404184254,4.82316977517202e-06,7.297341235699705e-09,-7.421706426958193e-10,1400.000000044799,5.244489414795531e-09,7900.000003285292,6.630067321083105e-08,-1.768314321653324e-06,9.828207384909345e-11,5.492049443408873e-07,3.5247319587869783e-06,9.939266234884605e-10,0.0,0.0,0.0,0.0,0.0
200,89.99809377931267,0.0018987155055668894,0.0008739709541145843,7.226193284657365e-05,0.002280824112064429,169.9974620324363,0.00046544522748828677,0.7000010879788287,2.1959047591317827e-06,8.575068641554945e-08,-3.299480588920941e-08,3.289185354823505e-10,7.564105690275926e-11,-1.2157251598358638e-11,19.999703372864015,-0.00014409796130721678,-4.420704641561359e-06,1.1211165938949302e-08,1.4926613684680392e-09,1400.0000000822445,-1.942265390384855e-09,7899.9999982110585,-5.5586923801646194e-08,6.06862434278023e-07,7.744920727565297e-11,-6.791887535465091e-07,-1.481872361839998e-06,-8.53817814176116e-10,0.0,0.0,0.0,0.0,0.0
300,89.99753769318365,0.002126612420799103,0.0008305201823591699,0.000253500921350773,0.002117188271490281,169.99680214969624,0.0008119163401453064,0.6999948835727009,1.0291520926245797e-05,-2.1153771745936694e-07,-2.5225532586880992e-08,-4.07976115988072e-11,7.466056387203506e-11,-2.5233805539826122e-11,20.000014706368965,0.0003710028250551638,1.848610491178452e-05,-2.2732366322093545e-08,1.4393126944944688e-09,1400.0000000574512,5.134264652253671e-09,7900.000001961573,1.6944363406386102e-08,1.6520353953920394e-08,1.8134854829445377e-10,7.275331301984135e-07,1.782234724485519e-06,-1.1239225523196162e-09,0.0,0.0,0.0,0.0,0.0
400,89.99746475611396,0.002245433025793429,0.0007408401437040788,0.00018018463642359856,0.001999776990687067,169.996688711035,0.0009165856864423433,0.6999927051036601,1.1334926115508189e-05,-9.47331006471255e-09,-8.30893941130089e-08,3.198934271781997e-11,-1.0542538463029461e-10,-7.673368087646717e-12,19.999663398390354,0.00011676404432225146,-5.767719439751765e-06,1.64061062042084e-08,4.246407040115877e-09,1399.9999998919902,-6.072299047392031e-09,7899.999998296635,3.818067664364964e-08,-4.450083565808963e-06,8.008870074556458e-11,4.367534380000048e-07,2.636800327056128e-06,1.627586658178541e-09,0.0,0.0,0.0,0.0,0.0
500,89.99708029020118,0.002266880900300546,0.0007110095126943251,0.0004469811539229439,0.0019207530265715014,169.99654674424977,0.0008721528034074914,0.6999824500469705,1.7945351734239437e-05,4.193251481686654e-08,1.3144035618734072e-08,2.7211790132512043e-10,2.5613328708480215e-11,2.9017527958114907e-11,19.999387744905786,0.00037900796485914196,2.7559372301103363e-05,2.470619428924408e-09,9.993599505376748e-10,1399.9999999505485,3.134832171605051e-09,7900.000005621874,-6.126130902904369e-08,4.620975740667743e-06,-1.0483210922097672e-10,-3.719988741504433e-07,3.1986505390355345e-06,1.5132755382483782e-09,0.0,0.0,0.0,0.0,0.0
600,89.99700769348756,0.0023606211147474848,0.0007854142154946875,0.00041014365052706426,0.001907014619931205,169.9962849806142,0.0011583445446225196,0.6999790729606493,2.1334664339449137e-05,1.9739013808801177e-07,3.42660610435631e-08,2.92433169609824e-10,4.9029832682763696e-11,-2.509015006057033e-11,19.99931535328583,0.0007727591387599338,1.9139471522973445e-05,3.698111931779839e-09,5.054946283056668e-09,1400.0000000944794,-4.201317273884425e-09,7899.999996488634,-5.055479103327381e-08,-4.26483007871381e-06,3.1120158858682595e-10,7.111555770743651e-08,5.148304170364206e-07,-1.3848414380149826e-09,0.0,0.0,0.0,0.0,0.0
700,89.99679396457805,0.0023903921975655684,0.0006860161956110492,0.00082705691381022,0.0018419630782319058,169.99583393724424,0.0011836053299782393,0.6999815682807142,2.0778044821889625e-05,2.391610719979617e-07,-7.477240356395644e-08,-1.142449344611194e-10,-2.1329239575990985e-11,-3.078955506744007e-11,19.999317076655128,0.000551343069502939,-3.4623696827755027e-07,-1.115383280167796e-08,2.730342981264041e-09,1399.999999788179,2.163223855452405e-09,7900.000005099052,-5.0471045982350186e-08,-4.3360765266722024e-06,3.372575882896539e-11,-2.2524460643848424e-07,9.436881701190173e-06,1.8141319444809842e-09,0.0,0.0,0.0,0.0,0.0
800,89.99678780557242,0.0023811190370296386,0.0007519855899646319,0.0009382944554248822,0.001871207698406733,169.9956863989569,0.0013456149073428735,0.699977135238352,2.680720776826856e-05,3.257859368238576e-07,-2.1837284715059073e-08,-2.52652099466485e-10,-3.062341391857655e-11,-1.4312139294177178e-11,19.99891572409229,0.0011186387617386918,3.480876074182927e-05,9.502410954483202e-09,-3.85653422288025e-09,1399.9999998222404,-5.7307344140453974e-11,7899.999994218562,1.4578985980276818e-08,-2.9367190696744214e-06,-3.7826099037032867e-10,4.4929679067446246e-07,1.0503783872230012e-05,-2.85433083008598e-10,0.0,0.0,0.0,0.0,0.0
900,89.99658732965494,0.002432572652745612,0.0007926625571289679,0.0009317080349337597,0.00180867737490816,169.99572786706133,0.001339880349836665,0.6999705859060412,2.8711282692678738e-05,2.7852203575596537e-07,8.954896686580872e-08,-2.3308228563083857e-10,-4.6274925944176694e-11,7.33867617905129e-12,19.998916314209836,0.0009020097380865518,3.0293640071654237e-05,-3.438633946568818e-09,6.2786074810653495e-09,1399.9999998934313,3.0654902335948406e-10,7899.999998145067,9.439413586462587e-08,2.8729136227380653e-06,-2.1077234299658514e-10,5.724515084595452e-07,7.075530013056264e-06,9.909413259066837e-10,0.0,0.0,0.0,0.0,0.0
