miliseconds,s27,s45,s47,s48,s50,s51,s52,s57,s58,s60,s61,s62,s63,s64,s65,s66,s116,s117,s118
0,1.723,0.04149988747666611,2.8269999886858024,347.5199963887665,2.1199920674360095,34.98023070646976,7635.3600100927,199986.99995311667,1.0370023697386113,0.008900210039482867,10.979917755829696,0.10600223850123897,499999.780634633,0.09898927768262879,0.6430209493928706,0.08300184546764619,4.039716080036471e-05,-1.1077763901530184e-05,-3.4009284314735967e-06
100,1.723,0.04147632267426984,2.8271388972440628,347.5200416459454,2.120771297012461,34.97969863415231,7635.359897128832,199987.00068223412,1.037327299758739,0.008868847879479683,10.97892631524708,0.10599396798555132,499997.7434865984,3.3829985311606903,0.64309722919358,0.08300591195261864,0.0005061357239594407,3.0129844297212976e-05,6.328803851891009e-06
200,1.723,0.04148137756787275,2.8271398893509487,347.52015240307463,2.1210321549695546,34.9790501875074,7635.359873029579,199987.00099949117,1.0373088539330158,0.00886628273467392,10.978486431804367,0.10596422420171422,499994.05536501267,5.169652272460792,0.6431733475191201,0.08301881617658069,0.0007929496186337199,3.0095867728391093e-05,1.1229199246918176e-05
300,1.723,0.04148283567949966,2.827141275290627,347.5202067083693,2.121107582157857,34.978948522827004,7635.36002111153,199987.00126480233,1.0373085307885956,0.008863658361537581,10.97837737177767,0.1059398715748102,499994.2199263292,8.184418768299567,0.6432169953981691,0.08302921148995572,0.0010997439139606151,6.330725440074862e-05,2.5384217490071843e-05
400,1.723,0.04148260730793785,2.827140939388475,347.52023021364084,2.1211205308049297,34.978353648425006,7635.360109675728,199987.0012776587,1.0372876417338766,0.00886232994474925,10.978258996017882,0.10591925490899456,499989.68854956643,9.651970293907603,0.6432747797149663,0.08303559118519366,0.001143839190815189,8.601958311075986e-05,2.8056177522540718e-05
500,1.723,0.041482934220614276,2.8271406874437393,347.52023774342865,2.1211070196219945,34.97818761684317,7635.360362435139,199987.00145587194,1.037276622770772,0.008860500161667496,10.978056307903815,0.10589934190242972,499990.13662701007,11.548001651704178,0.6433698800216294,0.08304298541668063,0.0017075704287376388,0.00010072371954576022,3.710029586161348e-05
600,1.723,0.041482116028738795,2.827140698258643,347.5202504600327,2.121095538228765,34.97776194952662,7635.360582055545,199987.00153885622,1.037268394313442,0.00885972608508445,10.977993917169682,0.10588471240861355,499985.47630056983,12.155063870863488,0.6433926152909656,0.08305594814382979,0.002114412929439878,0.00011980871316773907,3.769199065114885e-05
700,1.723,0.04148167115328515,2.8271421641317187,347.5202518838251,2.1210613019209887,34.97725255815673,7635.360555543228,199987.00159017186,1.0372490235097442,0.0088585235897066,10.977801890849124,0.1058710338070028,499983.48483462015,16.241939618796355,0.6434899191863344,0.08305933491283181,0.0021392584069909893,0.00015613673140472956,4.7867922290916335e-05
800,1.723,0.04148177764138933,2.8271415687568835,347.5202654820416,2.121039724921893,34.97690356758881,7635.360896463592,199987.0016841016,1.0372411464009075,0.008857764557819215,10.977738961803512,0.10585902979725595,499980.7494317051,17.438120136493957,0.6435245326795989,0.0830658463969207,0.002444510713291523,0.00017054292985213968,5.2239326935409266e-05
900,1.723,0.04148095860691079,2.827140754427425,347.52026423785645,2.1210144031241795,34.97651155199421,7635.361044327578,199987.00170672627,1.0372312750435315,0.008857021102163725,10.977612567046108,0.10585326584029242,499978.8285443229,18.577615246247035,0.6435457882251444,0.08307599886737455,0.0029376398104050436,0.0001786111907492505,6.426744934410179e-05
1000,1.723,0.04148069897586879,2.827141235701754,347.52026954664467,2.1209975964334724,34.975890814851375,7635.361138946484,199987.00187442254,1.0372282106935702,0.008856128441092832,10.97745898714509,0.10584562844951044,499977.291156158,22.263573454311732,0.6436288133112353,0.08308586525465016,0.0034940733794883018,0.0002118204117187848,6.54021775363247e-05
1100,1.723,0.04148052205951399,2.82714192204168,347.52028459443227,2.1209712786121786,34.97573434730933,7635.361312115458,199987.00186317365,1.0372043054245013,0.008856064068248732,10.977393901743897,0.10583660870680528,499976.7873482327,25.666079140653565,0.6436483616654382,0.08309134587666887,0.003660826945981529,0.00020962069924366301,7.915427583479601e-05
1200,1.723,0.041479769045281716,2.8271425497596954,347.52029094754255,2.1209467170017864,34.97562599650662,7635.361456971278,199987.00202246208,1.0371949084609366,0.00885498683138449,10.977202158623799,0.1058313503377992,499972.6342998552,27.78780100460288,0.6436947035448942,0.0831005589854881,0.003757429051624442,0.0002548922056323831,8.219733519601301e-05
1300,1.723,0.04147925888333655,2.8271412667784253,347.52029080680967,2.1209324817101427,34.97480522141339,7635.361517890192,199987.0020433861,1.037189619064731,0.008855244741961497,10.977183537546654,0.10583068936994854,499970.05402686476,29.978503034583586,0.6437538468754919,0.08310670033036026,0.004230479410834699,0.0002763466116576922,8.908389470204258e-05
1400,1.723,0.041478777164740216,2.8271410893292153,347.5202979837657,2.120923534172336,34.97444144297855,7635.361635423971,199987.00215802086,1.0371769287531976,0.008854792820519816,10.976969252685983,0.10582395992715739,499968.7660013035,30.69142628265756,0.6437634722512915,0.08311442870731216,0.004411164265536889,0.0002770876411567192,9.446970037801437e-05
1500,1.723,0.04147831136786443,2.8271410413120113,347.5202994040164,2.120896190077674,34.974512314953984,7635.361942030674,199987.00227232804,1.0371684416107443,0.008854545492637297,10.97684723554535,0.10582170617642891,499965.62436459516,32.32495239893089,0.6438110667783588,0.08312015875219769,0.00494430173980454,0.00029609611787666864,0.00010358403091310636
1600,1.723,0.04147800352445377,2.827141037123387,347.52031141466733,2.1208797219688065,34.973797083358036,7635.361978498569,199987.00236193775,1.0371574948942737,0.008854144905730586,10.97668426484941,0.10581849628143905,499965.8238090389,36.57326367016104,0.6438469580743668,0.083127308917518,0.0054572210430192435,0.0003193839298289998,0.0001057146129848574
1700,1.723,0.04147766405208333,2.827142524379534,347.5203209231666,2.1208538297866673,34.973571470562675,7635.362090787913,199987.00241385476,1.0371378271821798,0.008854123728742348,10.976617374684897,0.10581744934435688,499960.6558047555,38.92342698959292,0.643889775750888,0.08312681937023292,0.00548630303976221,0.0003443805993748212,0.00011460535384326604
1800,1.723,0.04147732484094614,2.827142304729613,347.52032170940663,2.1208160060426846,34.973202209582965,7635.3622985932125,199987.00257598943,1.0371305968875193,0.008853676911434426,10.9764262507218,0.10581881724224707,499959.81060141046,41.627355736170266,0.6439252667621728,0.08313392993438462,0.00598704966649284,0.00036147637119141117,0.00011855237005846294
1900,1.723,0.041476981103632495,2.8271429614394545,347.5203312903548,2.1207855230247934,34.972872378447015,7635.362561694383,199987.00264265033,1.0371218803961217,0.008853535539156387,10.976396416132124,0.10581580839679737,499957.25650442566,42.41650645636779,0.6439630006374176,0.08314239756641417,0.006368356499148307,0.0003871340377652009,0.00013230278462391732
2000,1.723,0.04147658220337855,2.82714260784846,347.52033945298587,2.1207770606631917,34.97259389635916,7635.3626240276435,199987.00278469207,1.0371067043045934,0.008854009031016267,10.97629366382679,0.10581682818034893,499956.85731697956,42.93007084036677,0.6439597316250169,0.08314734847604867,0.00648116552157994,0.00041991239656452806,0.0001365141673271973
2100,1.723,0.041475878800183746,2.8271422940463236,347.52033951967775,2.1207388409504206,34.972007638407305,7635.362668769562,199987.0027838905,1.037092876251348,0.008853739905149925,10.97615396827499,0.10581388413608803,499954.7603154056,48.27844879234755,0.6440147250621342,0.08314879979230434,0.0069075485683355595,0.0004431465459883715,0.00013989358728891868
