miliseconds,s27,s45,s47,s48,s50,s51,s52,s57,s58,s60,s61,s62,s63,s64,s65,s66,s116,s117,s118
0,1.723,0.041499683878925706,2.827000853686161,347.519998209041,2.11998830068441,34.9802330209825,7635.359946443442,199986.99992908785,1.0370011912247206,0.008900084511687278,10.979987218872722,0.10600143294140482,499999.80433045933,1.6235511652989933,0.6430098700097194,0.08300124133419777,4.6753108911095804e-05,-4.533505040957637e-06,-1.2402921490295848e-06
100,1.723,0.04147661689255151,2.827138966694934,347.5200442987602,2.1207701151209193,34.979570376252354,7635.35984234758,199987.00068433597,1.0373180964621416,0.00886865976346066,10.978817803849012,0.10599233632369863,499996.6631893278,1.13241553761901,0.6430710090863542,0.08301076653929955,0.0003087427784617342,7.76217430375058e-06,1.9864660486761458e-06
200,1.723,0.041481459505206916,2.8271402046012692,347.5201503500182,2.121034397478089,34.9792060154933,7635.359958047536,199987.0009638864,1.0373155011589021,0.008866367870818837,10.978631511883204,0.10596451949026743,499996.1485144952,3.649291641587138,0.6431400504559608,0.08301881167337641,0.0006887477680229999,4.159718897560092e-05,1.5050930139500028e-05
300,1.723,0.04148279870533883,2.8271403474587675,347.5201989400474,2.121116587562672,34.97873318667494,7635.3599541731755,199987.00122745673,1.0372996432988362,0.008863734841128049,10.97843102233021,0.10593853845841615,499992.76860006613,5.368730981070368,0.6432084716958237,0.08303015824514139,0.0010004858562826652,4.827515266399133e-05,2.2795642182167128e-05
400,1.723,0.04148297999481513,2.8271419749260147,347.52022975096565,2.1211018038492924,34.97848386323217,7635.360084264783,199987.00125614824,1.0372973038394941,0.008862056030379718,10.978266091429024,0.10591783169443283,499992.354543272,9.49128009614176,0.6433065920802857,0.08303573368595739,0.0013288922495810246,9.003682535729483e-05,2.628500574642506e-05
500,1.723,0.041482907933999426,2.8271406568656623,347.5202463569095,2.121098727575813,34.97817047370681,7635.360234606847,199987.00142428992,1.0372725567102228,0.008860750609833755,10.978128656669679,0.10589914187126798,499989.41450423916,10.06744882413125,0.6433403565006034,0.08304176242109984,0.001672276419656839,0.00010356557870066085,3.0304551934090997e-05
600,1.723,0.04148219266853972,2.827140896626739,347.5202484776786,2.1210767715733203,34.97735399466486,7635.360482665258,199987.0015537335,1.037271914526294,0.008859762250814978,10.977922662160449,0.10588664568800364,499987.5046498937,11.912532208297298,0.6433911173652377,0.08305529261977673,0.0021134104102812526,0.00011368251631974735,4.3178222033840545e-05
700,1.723,0.04148200555200093,2.8271417826384253,347.5202532444563,2.1210845563389458,34.977376396495245,7635.360616985822,199987.00155360342,1.0372574084372301,0.008858525871527209,10.97780378901177,0.10587002450435386,499983.9018075248,16.49036164524906,0.6434888410604814,0.0830608271852074,0.0024249800429860416,0.00014354573716510928,5.163698319369107e-05
800,1.723,0.041481449002706325,2.827141372027787,347.5202582801508,2.1210531810795286,34.97659677889837,7635.360762839241,199987.00171677113,1.037247205394313,0.008857944400100029,10.977725688378191,0.10586304010004569,499981.7690420942,17.257678363344276,0.6435207364987885,0.0830706974877625,0.002847780892909757,0.00016232311000349017,5.183725352910434e-05
900,1.723,0.041481189300643956,2.8271413428192194,347.52027432916196,2.121031321595628,34.9763101889283,7635.360966816023,199987.00178721265,1.0372295455783584,0.008857154174309436,10.977613383357935,0.10585319247216658,499981.3068432209,18.941856543918284,0.6435590210709025,0.08307836944040246,0.0029049970399033643,0.00016910927122137958,6.436138861672203e-05
