milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,8.33e-05,0.000166,2.0300000000000003e-08,0.0,0.0,4.910000000000001e-08,7.99e-09,8.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,8.339705880778087e-05,0.00016452422664169138,1.7390108367841544e-08,1.0897382360049787e-10,1.4621737862565734e-17,4.633218255653369e-08,7.547175579436797e-09,1.6721442321241644e-06,7.025562997538692e-05,5.177292628465217e-08,1.2685263381233088e-06,2.0719169787571635e-07,1.9843751184847128e-07,7.091630938209247e-06,2.5265914094222607e-08,3.231703274858413e-08,4.2294853232312494e-06,4.139819418771407e-09,2.3408298533872103e-09,4.171950973152449e-11,2.4144621589085776e-16,3.837416889278983e-10,3.55082123120978e-11,3.9814548495950625e-17
200,8.350060981757182e-05,0.0001631846533255212,1.5047461538844874e-08,1.875797562135313e-10,-1.0240912161492699e-16,4.407275659581332e-08,7.191274908787821e-09,8.92981961182453e-07,6.199706998068802e-05,1.6338640985514138e-08,2.419544361367443e-06,3.9566347310601256e-07,2.816876213324509e-07,1.1485811459476029e-05,5.640179286995277e-08,4.5918182518561604e-08,9.120384435150925e-06,9.249465580509481e-09,4.193999559003821e-09,9.527222880165638e-11,5.984549831506591e-16,6.894619878008637e-10,8.714313462740655e-11,9.870730743747102e-17
300,8.360416082736276e-05,0.00016184508000935107,1.2704814709848205e-08,2.6618568882656476e-10,-2.1943998109241973e-16,4.1813330635092954e-08,6.8353742381388445e-09,1.1381969024074158e-07,5.37385099859891e-05,-1.9095644313623888e-08,3.570562384611578e-06,5.841352483363088e-07,3.649377308164305e-07,1.5879991980742813e-05,8.753767164568294e-08,5.9519332288539085e-08,1.4011283547070599e-05,1.4359111742247556e-08,6.047169264620432e-09,1.4882494787178824e-10,9.554637504104602e-16,9.951822866738291e-10,1.387780569427153e-10,1.5760006637899143e-16
400,8.369619494133259e-05,0.00016095357207137053,1.024959650984619e-08,3.349577839376293e-10,-6.0047136213816205e-16,3.939384535142444e-08,6.4775445693646395e-09,-4.874461078089256e-07,4.4805934157575955e-05,-5.3203823534649e-08,4.3216006166697294e-06,7.237926062090244e-07,4.2682868989764436e-07,1.959106594383718e-05,1.1717722487597106e-07,6.970382222383223e-08,1.9860481167820983e-05,1.934755456290796e-08,7.989876485938983e-09,1.9152790838246437e-10,1.51642339076492e-15,1.336149294776977e-09,1.9902360260051508e-10,2.606899350527628e-16
500,8.374844133780355e-05,0.00016161000716989496,7.40547508647618e-09,3.697566666018883e-10,-1.89355216473573e-15,3.6421398990097275e-08,6.113050740937115e-09,-4.7412836551754033e-07,3.3544818417180485e-05,-8.27306698315021e-08,3.690818331796489e-06,6.948095354572027e-07,4.149296403305423e-07,2.094219403433095e-05,1.4164738359117758e-07,6.808468916871538e-08,2.9020337401899575e-05,2.391727307020957e-08,1.0241911275695845e-08,1.9674792772565357e-10,2.7819773808805032e-15,1.798884019754429e-09,2.8901649115017094e-10,5.164687004230552e-16
600,8.38006877342745e-05,0.00016226644226841936,4.561353663106156e-09,4.0455554926614736e-10,-3.186632967333305e-15,3.34489526287701e-08,5.7485569125095915e-09,-4.6081062322615504e-07,2.228370267678502e-05,-1.122575161283552e-07,3.060036046923252e-06,6.658264647053813e-07,4.0303059076344027e-07,2.2293322124824734e-05,1.6611754230638408e-07,6.646555611359855e-08,3.81801936359781e-05,2.8486991577511185e-08,1.249394606545271e-08,2.0196794706884276e-10,4.047531370996086e-15,2.2616187447318826e-09,3.790093796998268e-10,7.722474657933495e-16
700,8.385293413074546e-05,0.0001629228773669438,1.7172322397361312e-09,4.393544319304066e-10,-4.479713769930873e-15,3.0476506267442934e-08,5.384063084082067e-09,-4.4749288093476985e-07,1.1022586936389555e-05,-1.4178436242520827e-07,2.4292537620500113e-06,6.368433939535599e-07,3.9113154119633823e-07,2.3644450215318516e-05,1.905877010215906e-07,6.48464230584817e-08,4.734004987005669e-05,3.3056710084812797e-08,1.4745980855209572e-08,2.0718796641203194e-10,5.313085361111662e-15,2.724353469709336e-09,4.690022682494822e-10,1.028026231163642e-15
800,8.390518052721642e-05,0.00016357931246546823,-1.1268891836338633e-09,4.741533145946655e-10,-5.772794572528441e-15,2.750405990611578e-08,5.0195692556545434e-09,-4.341751386433846e-07,-2.3852880400584824e-07,-1.7131120872206137e-07,1.7984714771767745e-06,6.078603232017385e-07,3.792324916292363e-07,2.499557830581229e-05,2.1505785973679697e-07,6.322729000336487e-08,5.6499906104135214e-05,3.762642859211439e-08,1.6998015644966434e-08,2.1240798575522113e-10,6.578639351227238e-15,3.187088194686788e-09,5.589951567991381e-10,1.2838049965339343e-15
900,8.395742692368736e-05,0.00016423574756399266,-3.971010607003873e-09,5.089521972589245e-10,-7.065875375126009e-15,2.4531613544788626e-08,4.655075427227022e-09,-4.2085739635199937e-07,-1.1499644544401314e-05,-2.0083805501891435e-07,1.1676891923035377e-06,5.78877252449917e-07,3.673334420621343e-07,2.6346706396306065e-05,2.3952801845200334e-07,6.160815694824804e-08,6.565976233821374e-05,4.219614709941597e-08,1.925005043472329e-08,2.176280050984103e-10,7.844193341342814e-15,3.64982291966424e-09,6.489880453487935e-10,1.5395837619042268e-15
1000,8.400967332015832e-05,0.0001648921826625171,-6.815132030373897e-09,5.437510799231836e-10,-8.358956177723584e-15,2.1559167183461455e-08,4.290581598799498e-09,-4.075396540606141e-07,-2.276076028479678e-05,-2.3036490131576745e-07,5.36906907430297e-07,5.498941816980955e-07,3.5543439249503226e-07,2.7697834486799837e-05,2.6399817716720995e-07,5.99890238931312e-08,7.48196185722923e-05,4.676586560671759e-08,2.1502085224480156e-08,2.2284802444159948e-10,9.109747331458397e-15,4.112557644641692e-09,7.389809338984494e-10,1.7953625272745203e-15
1100,8.406191971662928e-05,0.00016554861776104152,-9.659253453743907e-09,5.785499625874428e-10,-9.652036980321153e-15,1.8586720822134284e-08,3.926087770371973e-09,-3.9422191176922883e-07,-3.4021876025192245e-05,-2.598917476126205e-07,-9.387537744294363e-08,5.209111109462741e-07,3.4353534292793027e-07,2.904896257729362e-05,2.8846833588241646e-07,5.836989083801436e-08,8.397947480637086e-05,5.13355841140192e-08,2.375412001423702e-08,2.2806804378478867e-10,1.0375301321573979e-14,4.575292369619145e-09,8.289738224481052e-10,2.0511412926448126e-15
