milliseconds,STAT5A,STAT5B,pApB,pApA,pBpB,nucpApA,nucpApB,nucpBpB
0,144.18034321554697,63.20614145370644,0.09173396837741102,-2.038406725091943e-06,7.530970399160651e-07,0.6001036910470458,0.02409192456722128,-0.0582200726318718
100,136.35786844545467,61.3227467844922,1.4596022988072535,0.00038548148074259717,7.719037108556448e-05,9.645446396162576,-0.010402866011572986,2.0632809270427344
200,131.67935841870076,59.634532450725295,2.285060762162837,0.00034742290996260555,7.047564276062525e-05,16.387626142394,-0.024154723598925492,3.380641089709164
300,126.51789376129749,57.257337463566905,3.446961010436306,0.00031386719011963445,6.664035262171128e-05,22.65338287176504,0.0469471624387752,4.6317279111937255
400,120.3612905837768,55.94499778737209,4.487875161086788,0.00028805728448750927,6.098034828316329e-05,30.999322651695383,0.06434814877477145,5.94278713869414
500,115.9869441235249,54.16578869639787,5.099021952884883,0.0002676345545850777,5.806780666630003e-05,35.562089230135015,0.07436317902745293,7.715984836784368
600,111.65288044139984,52.24753904792054,6.192118248806419,0.00024788496719267,5.452833698704042e-05,40.38821805407906,0.09888366832934571,8.494496109431822
700,105.83437400476114,50.809483071585646,6.911295418898096,0.00022874957268954538,5.04826266041215e-05,45.63396440796104,0.0633495703072505,9.848315024067446
800,102.30024885382883,48.903158808893814,7.693590907932728,0.0002090356539871024,4.8812838372785006e-05,52.693834433202646,0.13908782525407895,10.60096147611439
900,100.83885311613484,47.69813682403494,8.491360175301574,0.0001968361760364215,4.47693171163572e-05,54.33081298629336,0.15831310463320306,11.495211029160254
1000,97.04098571824208,46.254318214793756,8.736344229004539,0.00018120190019091633,4.2798725975445076e-05,59.15634367710932,0.1614879832584673,12.976774948283978
1100,94.38370543110723,45.723561919127306,9.623865014141693,0.00017448080394513155,4.033532390382268e-05,62.914036423501464,0.2527568466651624,13.283547722803602
1200,91.84534855427003,44.365903961066216,10.021537576050974,0.00016685266683759067,3.80030172166874e-05,65.74255743459115,0.24212717441474133,14.741068087028866
1300,87.66692297129651,43.46352640911269,10.776975473020812,0.0001495803283571368,3.7205041156118146e-05,69.82054930760273,0.32100926265961627,14.97894336335379
1400,84.30927747011364,42.3706798722408,11.137227205225539,0.0001474585395000848,3.4895718969724546e-05,71.83835423908104,0.3097814257807422,16.184332978454858
1500,84.01083522881643,41.939623576535254,11.727201880325728,0.00013231515026477776,3.429604494685849e-05,75.4858035329762,0.34268185720660516,16.924969552487543
1600,80.10235498779421,40.94919692289061,11.687679802434133,0.00013102785382465475,3.122843771558061e-05,78.48787326620365,0.3951346794956507,17.27453573558434
1700,78.1423771034588,40.06598230850026,12.573620208740458,0.00012340203639898172,2.999275281495162e-05,81.21118364066007,0.41673918127592274,18.012637485221124
1800,77.98544506813924,38.76956375593572,12.783485752057546,0.00011247620343690523,2.9089719261694348e-05,83.64171389176025,0.4778074671580122,18.94561229925357
1900,74.43413701117635,38.12119904167495,12.90132400539939,0.00010690816400574366,2.8878881215209815e-05,84.60097168207743,0.5459103315236891,19.221047406527386
2000,73.72469236699469,37.1408848022714,13.628819605795671,0.00010625108612801621,2.635580620988198e-05,89.84735644267307,0.614995912422082,19.782817120686612
2100,71.29396225781173,36.710758369380585,13.998816830643582,0.0001023346344634194,2.6589096586081448e-05,89.17331783059572,0.6383086144093658,19.947385798685424
2200,71.10850237759335,35.905979561322106,13.953210245951102,9.836524755800742e-05,2.478534048790959e-05,92.46238148940692,0.6863962521513046,20.71781691474272
2300,68.22009109126073,34.78084618218873,14.242238438040898,9.312993526752266e-05,2.3767052545050357e-05,93.1117873910999,0.7316251423399232,21.58683968260836
2400,67.87698254687875,34.40717382261937,14.57484981226437,8.231132622535319e-05,2.319471147986445e-05,96.38756430449082,0.8004209938796851,22.11001994775544
2500,65.76592712403664,34.572377881783474,15.049856921776863,7.999256671217227e-05,2.2067056321392507e-05,96.73286452148821,0.8209362956551808,22.648807330818176
2600,63.63866328662273,33.01724199090773,15.311598331225294,8.100940862405061e-05,2.0475227115419563e-05,98.22536058328879,0.9217479333542195,22.690909746809428
2700,62.84531221512181,33.42643541466757,15.759265587113706,7.20730239948691e-05,2.1080988679318646e-05,101.39323090381487,0.9901870278890678,23.54147780124003
2800,63.173437652053416,32.60292634936897,15.875869356268637,7.395452173810476e-05,1.9691101863421884e-05,101.84019068719003,1.011605944239175,23.556879824440973
2900,60.99497112007753,32.30695930525808,16.03614778022537,6.701441146031382e-05,1.953309378320841e-05,103.36978470116395,1.1042854316803974,24.120191462603504
3000,60.361629413088586,31.21357993366159,16.238954541279153,6.663924836648151e-05,1.8018459436840988e-05,104.74567869857243,1.1495371249292008,24.702157316154306
3100,58.9444942526769,31.331615390023764,16.24214578042935,6.003243109413537e-05,1.7609396918990893e-05,104.89689083403852,1.193651493797698,24.521268663615544
