miliseconds,STAT5A,STAT5B,pApB,pApA,pBpB,nucpApA,nucpApB,nucpBpB
0,143.49717694957116,63.9752864317777,0.10526277280683594,2.870829108120346e-06,-3.09723037293826e-07,0.9192824600956624,0.001268709890604385,0.35804915153619293
100,137.76285889549808,61.773695627198165,1.4210218282050935,0.00038034258131025973,7.658147404663951e-05,7.675669188943571,0.020954778666699474,1.9866476496658265
200,131.18682687857398,59.17703847850436,2.5339290803068217,0.00034385061973984824,7.134962089601163e-05,15.113233015663118,-0.01630904832610849,3.323976105935745
300,125.2937837919237,57.56669825459115,3.344704866366788,0.00031502057484323367,6.575481103489713e-05,22.960869177668375,-0.002396185894255016,4.419251704229632
400,119.194389893106,55.226321485060424,4.099934696679995,0.00028902102349336945,6.168723664345481e-05,30.064705965384828,0.014572426552263915,6.3706041116270935
500,116.66111021547573,53.99182095131324,5.482259559853915,0.00026949908110829047,5.757153165878698e-05,36.00547014803045,0.055851409898764436,7.313973865357063
600,110.37339330009505,51.574783265480505,6.134372247449365,0.0002457633857198683,5.4723200687342e-05,40.04448504121336,0.05843117130255711,8.446936118046652
700,107.48280078392087,50.615703216940204,6.9904387860977195,0.0002283563574036697,5.203296902768489e-05,45.39662101716336,0.08849367042631415,9.932040724608683
800,103.30561890364928,49.38296258497476,7.353292813548994,0.0002132705557009664,4.804883820899166e-05,51.54554678583278,0.08732718215839468,10.974981499525883
900,99.27482134908445,48.16303289657011,8.46204488717271,0.00019951191412469647,4.584451939164306e-05,54.09835152758586,0.18335516373246477,12.110699191665553
1000,96.12371379502326,46.407885452008486,8.675955502298638,0.00018549258326181395,4.370075556819042e-05,58.73112371422092,0.21596048619178193,12.380049789265152
1100,92.43041692882558,45.89752932504912,9.254121494753816,0.00017743771903734105,4.04596911944805e-05,64.3102778701648,0.19705074863285887,13.310520110477183
1200,89.65067959343591,44.90961275057419,10.155825089179782,0.0001618496793108835,3.8836769020312564e-05,67.39345584367656,0.26126806287568183,14.245531395218306
1300,88.37023710124663,43.73774585035965,10.495212113881625,0.00015213168994662385,3.64671498118555e-05,68.9125472609737,0.29547777410607545,15.022793250381095
1400,85.84231341517412,42.33224693755266,10.969812625297411,0.00014351900014622135,3.5000243101983446e-05,71.65566040218624,0.3560586235410849,16.299176184891564
1500,83.41638134964009,40.9755176801829,11.272103820206551,0.0001361347853296754,3.3588714099415475e-05,77.56264399627236,0.3695275518475626,16.332504690833858
1600,81.09519492277119,40.795615198153165,12.107127231802714,0.0001238827741432421,3.1334114379898085e-05,80.28306536220096,0.4439679848463773,17.698129574080486
1700,79.18172398424197,39.82204426847107,12.429217240877794,0.00012163682560308115,3.049046284052635e-05,81.39340888517083,0.41652318565257396,17.824550239094062
1800,78.13815532171185,38.73737223323381,12.982153454442464,0.00011294227468045772,2.9348774306381824e-05,82.46396430084036,0.5130794851474689,18.536545229719753
1900,76.46266876895001,38.31968449489519,13.06244848968706,0.00010782688757631252,2.7556540094052047e-05,86.85588563158696,0.5457931277216606,19.322928089983826
2000,74.62308809481078,37.546485082259316,13.381606280464945,0.00010190826707433273,2.671557600784094e-05,89.608558941752,0.5921892135142859,19.727770522680412
2100,71.32563747453614,36.19379812418135,13.551646684568723,9.465958643800545e-05,2.5698155015757114e-05,90.43030758100609,0.6146011801933187,19.95453259774913
2200,69.91002807086169,35.84607128357152,14.071097525136402,9.622969919342308e-05,2.4154117679309795e-05,91.7505567994471,0.6862788988377918,20.950571431053042
2300,68.40310361407901,35.46095206936687,14.29459334872241,9.012365786432228e-05,2.3005537576326994e-05,94.37464148089208,0.7689912338697336,21.011662265937584
2400,67.68238386657181,34.62331511624164,14.924217252964942,8.9328272633008e-05,2.277145519037802e-05,96.74021934750063,0.8155567771432145,21.596907805874665
2500,64.42297176716508,34.626694908991006,15.067434532567585,8.358473258162169e-05,2.1757334372425837e-05,97.0328381986901,0.8607781913264639,22.306756929712208
2600,64.11584306024079,33.88128136980735,15.514367460200168,8.049880985985194e-05,2.0890738156927338e-05,99.13545709715842,0.8878890599993211,22.518727535871015
2700,63.551710478031985,33.40152531983807,15.7341101855725,7.312954141751263e-05,1.9816633927218717e-05,100.8843845001762,0.9674837470753268,23.381917028299537
2800,62.48295818347952,31.98088377052219,15.596538114614825,7.404254102177174e-05,1.9453236650934144e-05,101.46757950738086,1.002644006352826,23.931228618118354
2900,61.79409069937788,31.631846507673888,15.788563985556998,6.878936553407451e-05,1.991483241901087e-05,102.2876119713728,1.1145534367284673,23.62951795627301
3000,60.679365832607395,31.2209579340468,16.448010254643957,6.284312774364724e-05,1.868620487760103e-05,106.0500825851145,1.1556053630761054,24.14608164243648
3100,59.98083276445406,30.80404454890037,16.39885658238398,6.259683065724367e-05,1.7493064643161294e-05,107.63059729377376,1.2314576007190159,24.917374715502827
3200,57.18839024761046,30.43181422130044,16.935633139306958,6.393290830403998e-05,1.6884383590973407e-05,108.62761764763698,1.2663101116618931,24.750193413860288
3300,57.95330143230068,30.381188013293734,16.944904894981313,6.164611700151609e-05,1.7755305198954273e-05,108.88792170615774,1.3383932087311212,25.56963617521489
3400,55.70566785331687,29.72615471843089,17.22723771066892,5.537679262828072e-05,1.690679447446998e-05,108.90606300156125,1.404323468553909,25.26993860198018
3500,56.09265927097047,29.759484579564866,17.034727927546037,5.244721379400639e-05,1.6682384711171957e-05,110.75791480692143,1.4764367230235722,25.580283219301535
3600,54.35481948930783,28.903635759117332,17.25805096236052,5.2551904191222646e-05,1.6253019792417148e-05,112.09158272227144,1.5128489591199303,26.638640847254315
3700,53.10391006719778,28.513011677599508,17.41960923321525,4.897396873693283e-05,1.5334160484181702e-05,113.40747409151776,1.5601652537711113,26.728124113982307
3800,52.56194825641395,27.95643779805356,17.96756683101344,5.2886563592320045e-05,1.501900245378173e-05,114.17143704579678,1.6108050912475569,27.076281761901942
3900,52.06461038929269,27.65487369923751,18.00208163570746,5.1738895496647137e-05,1.376828394040184e-05,113.47946169721367,1.6644490258838045,27.472050843952818
4000,49.56047042477722,27.406542639085078,18.195744455956966,4.6093127449065794e-05,1.2914070566998363e-05,114.42571753311317,1.7587307852861545,27.174262791891262
4100,49.88486208886608,27.062818882446543,18.5402740695986,4.9108813547567487e-05,1.3170337686461753e-05,116.750422856078,1.8091750809980023,27.381152295779593
4200,49.16956437089213,26.29730225312599,18.439011900252936,4.70061894161661e-05,1.2304936831488586e-05,117.01246183964253,1.8756101825368687,27.940685635781758
4300,47.905711379821916,26.40468044135308,18.802770166995384,3.980848912628773e-05,1.323897622525578e-05,119.32680842544659,1.9423481623314531,27.868626823955083
4400,47.85637991259795,25.92419883678339,18.817939306671942,3.9591534848393785e-05,1.3225332340877035e-05,119.31456538331298,2.0063320508861677,28.422699342535044
4500,47.73878536727561,25.402268508008863,19.012568070285624,3.709432060848709e-05,1.2600162427973833e-05,121.07056104786642,2.103761505755451,28.292423401777288
4600,45.98887087409582,25.325106144894203,18.772808473588647,4.129732152768215e-05,1.1581150005416254e-05,120.98147001173602,2.160064581163278,28.734741155818462
4700,46.14220554028012,25.43322005817187,19.378588962174902,3.817274253665335e-05,1.0605054939768124e-05,119.89823546173757,2.2271692330547896,28.821042990522898
4800,44.99453404935326,25.478109928978544,19.471229440259005,3.775575785781174e-05,1.0324318543414661e-05,121.61751298666097,2.341049138667585,28.87780883688313
4900,43.946533838900336,24.439954108476226,19.16451767971462,4.00007399118288e-05,1.0645389819855852e-05,121.37257006247353,2.394970918137802,29.322250401322233
5000,43.996910620720364,24.825899646411205,19.539917693714205,3.7021723168416375e-05,1.0424362387745804e-05,122.86158353342648,2.4614822137845036,29.99731568201319
