milliseconds,STAT5A,STAT5B,pApB,pApA,pBpB,nucpApA,nucpApB,nucpBpB
0,144.46677580867623,63.43418781940798,-0.01003973973375653,2.732318695069492e-07,8.650194871822561e-07,-1.1430305729521866,0.026939597798931438,-0.17310992043980658
100,137.2871366143632,61.18825928085715,1.2986742356563963,0.0003802591433929337,7.635704911249218e-05,7.353445212440158,0.006503096693872539,1.8638005181518338
200,132.0734187921662,59.337818297961746,2.47091886391888,0.00034867208666892796,7.179786917864848e-05,16.396679320978517,-0.011924796310911125,3.2706277468902947
300,124.57069901726504,57.11116421487692,3.4775263993931724,0.0003165615574155196,6.677505720301756e-05,23.21568119849583,0.03939777732552936,4.579696335836157
400,121.03020187039203,55.38661044113236,4.363273713788369,0.0002928843678525874,6.239903704271831e-05,28.95050742581138,0.015967382458334085,5.817579707279636
500,116.18133330478156,53.96768708255347,5.18446043036719,0.00027073758147548696,5.7182342668271575e-05,36.97436121741981,0.058879219705118106,7.525357754997802
600,110.78095850867938,52.167998454125765,5.823432910279576,0.0002458621511357431,5.41614488325397e-05,40.749299491601725,0.058628493270364866,8.724510821257935
700,107.7424639692272,50.88150133934191,6.6274236129686805,0.0002320206681964048,5.116221227135067e-05,45.55654570956906,0.12554875112806807,9.321910787694007
800,102.75405556841913,48.69343170138733,7.336994051674376,0.00021433794738991084,4.83633183350615e-05,51.143792076171465,0.15022984454526578,11.159587030371606
900,99.80634647401537,47.87549277320342,8.36245005483721,0.00019736384436936174,4.5542098919175096e-05,56.20388268761339,0.15115606156197095,11.989721112010418
1000,97.21591780632878,46.22525892148233,9.060846079708051,0.0001876170199520855,4.356181982038339e-05,60.827331859384294,0.18781227071768328,12.32359587604847
1100,94.13293334660897,45.64212974620633,9.225302801288077,0.00017105986619184895,4.086071013495333e-05,62.42216819561151,0.18320556770850377,13.2413096785581
1200,90.70743637105409,44.39247345167144,9.784145114859598,0.00016129241188062593,3.8047544817437e-05,65.31922924041478,0.23221073741430853,14.420834034826195
1300,88.71114092640666,43.54533782925931,10.347933550298729,0.000155793882569828,3.6899097215518046e-05,70.957723870147,0.30000542285570314,15.228284382839135
1400,84.80307738316205,42.297446983601084,10.925133468297805,0.0001415247750617574,3.503463003294485e-05,74.69655333823538,0.30482336753778494,15.636419056917783
1500,83.27775200799357,41.176407647434125,11.493759941097792,0.00013790959202661032,3.3104902028669085e-05,75.02507553967278,0.3516882192896936,16.944754996458695
1600,82.31949770788451,40.06377852954915,11.79645354097948,0.00013045260759317337,3.1673455904372413e-05,80.00778467313138,0.4361994409416137,17.29212424297075
1700,77.94074188486756,39.85240853177614,12.22316324735789,0.00011822210444385025,3.1077504034295205e-05,79.90559924123569,0.4448111875598729,17.99196273432903
1800,75.98421994588577,38.997316079040196,12.626500305818157,0.00011488597603564133,2.9905956346546252e-05,85.54623624773289,0.4999259202124171,18.300688280117882
1900,74.75559442465111,37.8924836303348,12.931069632744027,0.0001110993406009007,2.788759743438801e-05,86.98022742335667,0.516714172953854,19.249175939557155
2000,73.590383979415,36.82035276835902,13.348191453153817,0.00010632970154503222,2.6951421745287822e-05,87.5151542800753,0.6242679873910502,19.70156965376498
2100,71.36019424150379,37.089324992722155,13.91481561451236,9.763403287321264e-05,2.517852588070851e-05,91.5843100282506,0.6082801486226806,19.97017851050869
2200,70.66216222140848,35.49910954948409,14.372856651970004,9.304393261952297e-05,2.513514297926003e-05,90.87300652474818,0.7198175996594649,20.452335287233716
2300,68.40594060728004,35.28374031880156,14.205067272848199,9.145197565738915e-05,2.4744535885767505e-05,93.05926150511858,0.7592671725462001,21.385107240016378
2400,67.80776257024405,34.48289939821522,14.492163277074217,8.996487807629666e-05,2.2249037808533783e-05,95.21515120492414,0.8310632196092081,21.773167883911132
2500,65.16114723405737,33.94903285753301,15.094283201288112,8.411415256567685e-05,2.1971969298418355e-05,99.17259580438656,0.8428375521665149,22.60580358894833
2600,64.14129752483638,33.609704213533675,15.203036847746638,8.199965533394264e-05,2.157631693610968e-05,100.18959425793096,0.9160881670363613,22.958442626392902
2700,62.27871561119468,32.9907126880539,15.449516849807468,7.499290049012157e-05,2.07992703197091e-05,100.90404667515475,0.943290453187104,23.341658198095676
2800,61.74926057356623,32.252251690458586,15.616899797823075,6.974547484444705e-05,1.9533260603992237e-05,101.04757008333554,1.0394931238491893,23.90863074250382
2900,61.834322276160755,32.28598551712314,16.240311836198913,7.234148562559042e-05,2.0098271871604713e-05,102.72308788891739,1.0657951541868207,23.97931047157769
3000,60.81459832486345,31.696349173159415,16.282804314793175,6.257628915736235e-05,1.7968592701012742e-05,103.87574528513137,1.1544849677618179,24.2083807178243
3100,57.4209769752805,31.154939372212347,16.527527454014347,6.730880232930289e-05,1.855334612910014e-05,107.05831738055484,1.165684526548914,24.253927492515846
3200,58.75662216557723,30.094634014995993,16.52362499220363,6.405343498382413e-05,1.7054187331265517e-05,107.31142628780559,1.2836428617887927,25.121757596227653
3300,57.01548250245322,30.532092898558794,17.039039589628096,5.88530050811003e-05,1.6415397407419335e-05,109.02763741188086,1.3437306291293176,25.545474196504966
3400,55.324873734344116,29.38194929193787,17.250077445177247,5.75892682504038e-05,1.6943074038581032e-05,109.16128562801222,1.410443848660812,26.062165738954775
3500,54.756077540080646,29.359332142884096,17.540778344603698,5.7459737729809316e-05,1.6518060814211455e-05,110.33352426873294,1.4703375194219352,26.32443060135486
3600,52.83029868900847,28.410658846034327,17.43604494746779,5.7793757484147e-05,1.5479791253953497e-05,111.51258179424063,1.496539372094608,26.405383377096513
3700,53.68423119659064,28.518303262599822,17.45312684378403,5.227690652030754e-05,1.5685565555370554e-05,112.7255551809073,1.5859261827204771,26.588962681640822
3800,51.960267113507086,28.19796071579943,17.981276974398238,4.9348189509490324e-05,1.4403784828097208e-05,113.6897890075246,1.6050432558009426,26.921834491857837
3900,51.84777660674908,27.79540261768084,17.732420907901137,4.5854713809151034e-05,1.3878473657881758e-05,114.8010528180014,1.727856634320344,27.118100932686804
4000,50.557487875732924,27.21760406675375,18.0002500600981,4.815448573114746e-05,1.3731529370601175e-05,116.30465552008047,1.772157833400824,27.337811109573284
