milliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,3.8480355881243705e-15,-8.632657033944421e-16,6.626696471939919e-16,-2.262807336474777e-12,-1.2110298623547277e-09,-3.6302151541588626e-07,0.0599998707216996,1.0487214027699893e-23,-2.0928167992928496e-11,1.8116855803766e-23,1.3606068740646537e-15,-1.5538404378144378e-07,-4.876762590380594e-09,1.3189041672322397e-17
100,-1.796539273421573e-15,-1.216923843136892e-15,-3.2574270615042736e-16,2.6844671658113326e-12,-1.731051823261456e-09,6.093592904379368e-07,0.05999992810999044,-6.4139139943122255e-24,-1.2347719733906283e-10,-1.193871467298921e-23,1.3525538473669053e-15,1.6671126915763647e-08,-2.755992895864439e-09,-6.0745902737800246e-18
200,1.6559616713534858e-15,-3.184081974114871e-15,3.774528070547562e-16,-2.727929250162947e-12,-2.035208509689804e-09,5.678585848817918e-07,0.05999972199838838,9.052130927674536e-24,1.0816344016935039e-10,-7.457387246473851e-24,-2.714661838540997e-15,2.3185253806821455e-07,2.1800457350963714e-10,8.759747121957048e-18
300,2.2173355205186913e-15,3.5274122743972107e-15,1.5120662997442227e-15,-1.353704812405757e-12,2.313481748693193e-09,1.007449876020878e-06,0.05999962471003092,-6.388287066574277e-24,-1.8593095231454577e-10,-1.519398037016599e-23,2.1875605698738378e-15,2.7376372986924613e-07,-3.0518113141345877e-09,-3.139620519779127e-18
400,-1.8593781630407217e-15,-3.674578915310615e-15,-1.3776928611184697e-15,4.756788175147505e-13,7.541519720341727e-10,8.662854153697286e-07,0.05999940934456518,-2.4000722900884753e-23,8.887455487913732e-11,1.9943472073036886e-23,-1.3313240590134397e-15,5.975811277208272e-07,-3.973842375560814e-09,-7.082930008874069e-18
500,4.295441259393321e-15,-4.062694869363497e-16,5.404063428120354e-16,2.006727093856035e-12,2.4527919046143203e-09,1.1314490103820263e-06,0.059999468306318846,-1.798911166305617e-23,-1.779198919480091e-10,-4.504958436340259e-24,2.39120493726928e-15,5.016772652745252e-07,1.0010249274189944e-09,9.200707698587894e-18
600,-1.434340535166587e-15,1.8170312769629916e-15,-2.5341929526244753e-15,-9.84283426048184e-13,1.8925939844748146e-09,1.6416143669580602e-06,0.059999133919625844,1.634429278989827e-23,1.672466916947744e-10,-2.0339687264781398e-23,2.44977372757344e-15,8.595258353382412e-07,-7.388790130305426e-10,9.28439496396976e-18
700,1.7023271982155117e-15,-1.4460341926769038e-15,-9.409596430572078e-17,3.883570953241496e-12,-6.787258357263321e-10,1.4880837131891754e-06,0.0599991343822025,2.3656381773250022e-23,1.257877666156081e-10,-2.0682659453735705e-23,2.0089353768863304e-15,8.658958330516201e-07,1.473591633002093e-09,6.434339018889806e-18
800,1.8515436177246114e-15,3.9946532907568e-15,2.5477033352381786e-15,-4.16070419289841e-12,1.2361725864139963e-09,1.655504696553173e-06,0.05999921692017322,-1.1975454832561597e-23,-1.0194977616675425e-10,-1.1075678390480376e-26,2.055647950321449e-15,8.26835465996867e-07,2.673680985377224e-09,1.0371749297871309e-17
900,1.832659463328741e-15,2.3021473912283572e-15,2.3629728613974096e-15,4.907316934324147e-12,1.5503189176574913e-09,2.267249347176087e-06,0.05999894796700361,1.1727492531380943e-23,7.928769442599643e-11,8.773971666042561e-24,1.2476450618082877e-15,1.0452417008720948e-06,2.954146473235806e-09,-1.1067735071024187e-17
1000,3.9463993047382076e-15,-1.0162716141657843e-15,-2.874875027708327e-16,-1.3318401071397208e-12,3.4098730990949913e-09,2.2743823046917624e-06,0.05999879346804358,7.351183227897524e-24,1.1887218590887296e-10,1.4060423912571972e-23,-4.05186276329761e-16,1.11629870518268e-06,5.650939011348213e-09,-7.287937128063616e-18
1100,1.696176582635809e-15,7.626889778719479e-16,5.244261416230251e-17,2.1247532908106233e-12,3.4768398386908885e-09,2.8819865510583908e-06,0.05999874083660504,1.739607924251786e-24,2.6515760907414134e-10,2.1699000319695397e-23,2.624618091569601e-15,1.2747484027419065e-06,4.2108710549278465e-09,-1.1464242618019566e-17
1200,8.597041032951004e-16,4.616817788713864e-15,-3.6964964039772426e-16,7.592742124069107e-12,5.888448743083657e-09,3.2107316751429222e-06,0.05999873392042489,1.928020564474461e-24,8.253251581039724e-11,-2.4868269543047247e-23,1.0852846152724372e-15,1.3351675602628265e-06,8.99705342029701e-09,8.064386008255079e-18
1300,-3.0948093919161467e-16,5.213480460826986e-15,2.9827479295417485e-15,-7.624483155584083e-13,4.586566109587565e-09,3.2632129464957033e-06,0.05999834695251869,1.4168330722080936e-23,3.0386928094518827e-10,-7.518023855317945e-24,-1.806794025424792e-16,1.3944585461565187e-06,1.8384299104183852e-08,-1.031030326294013e-17
1400,2.3839091013074923e-15,2.3126979284605737e-15,-8.38619354637403e-16,3.716851773127751e-12,4.405636536703436e-09,3.761337875778265e-06,0.05999842415185275,1.3904653483871358e-24,1.9886226901605029e-10,2.658948886189952e-23,-1.6905780665330836e-15,1.7527681402320663e-06,1.0693674102246391e-08,-2.06276156619583e-18
