milliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,9.913621734477292e-16,-3.966237561822053e-15,-1.8603058973159016e-15,3.4269730013070726e-12,1.431603717699272e-09,-1.6589431286441754e-07,0.05999989757680797,1.6218778885319516e-23,-3.4693241209817964e-11,-2.1320914153382177e-23,2.7378411523862393e-15,1.526628298923631e-07,3.912487060957955e-09,-2.992811089116008e-18
100,-2.1701910655033403e-15,-3.031464072049934e-16,1.0905518458386408e-15,4.4962596928732646e-12,3.3366763258557385e-10,5.86231685408158e-07,0.05999972319789887,2.3195947100375935e-24,3.3867992881565086e-13,-4.6020048998058106e-24,2.6950464777245253e-15,1.2075863385683671e-07,4.864836206979534e-09,1.0068301364583584e-17
200,-3.3326355966989106e-15,3.4572028382944773e-15,-2.390991651956548e-15,-1.330859042541508e-13,1.7799340805083623e-09,8.250919406484877e-07,0.05999979156859388,-5.867683678873823e-24,1.0525254298395304e-10,5.628651155303447e-24,5.320705022540305e-16,2.0475641748200967e-07,4.179379648045282e-09,-1.143489106629368e-17
300,2.7801760636017776e-15,-1.5746611387725043e-15,1.5975423305864795e-15,-5.005913588461587e-12,2.2203386866761765e-09,8.685105141906238e-07,0.059999524619253855,2.4361854312417057e-23,-9.833868161444641e-11,1.8259369855212585e-23,-2.6786322867304673e-15,2.4124181335068797e-07,2.833924818209066e-09,3.2053637256928184e-18
400,-3.265838720802713e-15,-4.460099560051238e-15,-2.042230760979013e-15,9.883264150989072e-13,3.4039632357590916e-11,1.2371545537027385e-06,0.05999946918986971,1.5779256472774286e-23,1.0413771253466926e-10,2.3899392176905196e-23,-1.1550385894838629e-15,6.387188557632627e-07,-7.658978691166293e-10,-4.539281730248129e-18
500,1.7211014822456872e-15,2.1906472553594243e-15,-1.7293898569994e-16,-1.0341154929463157e-13,1.0458385883682478e-09,1.2775411159661745e-06,0.059999556853584025,1.2791961361769425e-23,3.421930801081265e-11,-1.80817914681669e-23,-3.45188626309088e-16,6.746238295036302e-07,3.727928691454484e-09,-5.8229785366954514e-18
600,3.283840362839768e-15,-3.4142767296429783e-15,-2.14893652589128e-15,3.6644020717665173e-13,-6.638966386324433e-10,1.7073629399736528e-06,0.05999937534943091,-2.300444932862325e-24,1.7843350644868292e-10,-4.949953734508668e-24,-2.1106702204581795e-15,6.184493818409814e-07,5.379050889069744e-09,5.289144234152278e-18
700,8.936561365795075e-16,3.608567409496227e-15,-5.829090288508696e-16,1.7427186462990313e-12,2.8067954859694858e-09,1.8960532762855385e-06,0.059999155736874504,-2.0639057227077254e-23,-5.4072524478822917e-11,1.6709882760732395e-23,1.1257606280076894e-15,9.599009628619894e-07,3.8552774501239575e-09,-4.51111521858092e-18
800,-2.80104770563527e-16,-2.1096503741994322e-15,-1.2181654729810435e-15,-3.630470775941545e-12,1.5924335618766943e-09,1.8832097499960715e-06,0.05999893624658607,1.0666671011175632e-23,-2.001145480885733e-11,-3.380197021756117e-24,-2.253430227768317e-15,8.969098736055605e-07,9.827898257851766e-09,5.1336454575559155e-18
900,2.2365373864847363e-15,-6.622009316140777e-16,-1.0528014459733072e-15,-9.696765819590655e-13,3.831385014746547e-09,2.50266060792982e-06,0.059998992175490144,-1.2546483672187959e-23,1.4963601574322658e-10,-2.4545994872527874e-23,2.0224878218857584e-15,1.0328536791783412e-06,7.371746482977475e-09,-7.794502898563391e-18
1000,2.9522812973250544e-15,1.3100633921710884e-15,7.846385525744453e-16,3.7557227493143735e-12,2.5590718322097435e-09,2.8129803467744004e-06,0.05999876310046165,2.2828770984206864e-24,1.8709521535006593e-10,9.225604978016838e-24,-1.5221786615129055e-15,1.0539418060248354e-06,1.0756032812896329e-08,-9.628827082472942e-18
1100,-1.579788087281868e-15,3.798986170819338e-15,1.1064423850835905e-15,8.395295486733022e-13,3.0280022135110376e-09,2.686737850694313e-06,0.05999859778770724,1.2069516989025948e-23,1.0170031369156093e-10,-1.9962494663944977e-23,-2.0546880335671204e-15,1.4912632548675033e-06,6.167097284197056e-09,-6.30559203921701e-18
1200,2.8172448925046968e-15,-2.210829041111332e-15,5.837763773058519e-16,4.067624289002986e-12,3.282413979385087e-09,3.1250077570656135e-06,0.05999868717596387,1.4441373404868658e-23,3.048020506137188e-11,-2.346721300076062e-23,3.023598619576285e-15,1.6053143232949511e-06,1.3945538605981981e-08,-8.38854629960908e-18
1300,7.368854188168376e-15,-3.939242082764268e-16,-5.034997073149611e-16,3.2464382882251743e-12,3.7218747235357037e-09,2.972600277934436e-06,0.05999833719540616,-6.755949258535231e-25,1.134385616126641e-10,-2.3464866131185664e-23,1.6817106524054512e-15,1.7306043549275355e-06,1.3510583026619778e-08,-6.174673224570313e-18
1400,4.344682780261188e-15,3.417635951889087e-15,5.509791487475156e-16,7.441044455019036e-12,5.791361066120397e-09,3.6943714616329423e-06,0.059998298557917995,-2.7450779170886812e-24,-1.1100165087776197e-11,1.9936756417786234e-23,-1.4259395428910835e-15,1.8522502146030143e-06,1.8039033475357723e-08,-1.0878279104834608e-17
1500,6.724764231431747e-15,7.963708094437177e-15,-5.975098808206206e-17,5.278392666645054e-12,8.55477699075456e-09,3.6214340159167184e-06,0.05999822366002244,-2.1301275995138745e-23,3.251735828922384e-10,-1.8198934040103605e-23,-1.9559570966161224e-16,1.7482699729982823e-06,1.359637830629388e-08,1.417397917202073e-18
1600,9.448140819012632e-15,2.0882087455111806e-15,2.9847480296744006e-15,2.9930618527590282e-12,8.872039059548214e-09,4.297856277634679e-06,0.0599981045360616,1.5671582371997372e-23,1.292341273753438e-10,-2.4540240384651836e-23,3.680147063434259e-15,1.9016787648014952e-06,1.8787000841618036e-08,1.3748521770140947e-17
1700,9.047195431451018e-15,6.207111965550557e-15,-1.258708667215708e-15,6.052724452475183e-12,1.080092634317456e-08,4.449746315583323e-06,0.05999792124785445,2.4950097668353644e-23,4.001377402454552e-10,-8.638392256664444e-24,3.869145877758652e-16,1.8737898165204917e-06,2.1591793326440684e-08,1.2386532648388312e-17
1800,5.145412218671479e-15,3.9376737678813934e-15,-5.688374353656615e-17,8.035920932669298e-12,8.374553826934212e-09,4.736708485410574e-06,0.059997779296620264,2.0731483596997995e-23,4.776735286953985e-10,1.5900775236538666e-24,4.3181126038288324e-15,2.139946510679093e-06,2.3740374790789592e-08,-4.232656512013306e-18
1900,1.017627199720469e-14,4.764835055690832e-15,3.689778153397951e-15,1.2734646550886752e-11,1.1533822586585601e-08,4.606907914137242e-06,0.05999773016214987,-1.1600526155262882e-23,5.218708196582461e-10,-3.1060062041528547e-24,2.0355090514801373e-16,2.284610714066879e-06,2.129366338297383e-08,-6.215284650714995e-20
2000,1.0889118499551655e-14,5.948328401651862e-15,1.3565462448996392e-15,9.063244214575612e-12,9.890519722574457e-09,4.739105627858292e-06,0.05999759466782178,2.482057571554948e-23,3.799103697231647e-10,1.817302453412736e-23,1.844433918974607e-15,2.337539833091278e-06,3.181224976794318e-08,1.9090650934263482e-17
2100,1.0634824097983232e-14,1.0194596319876156e-14,5.084477722850933e-15,1.4516779486673964e-11,1.3550544750592691e-08,5.173608634821178e-06,0.059997657735467065,-2.8975078714590975e-24,6.147976316448617e-10,-1.9818264650162776e-23,2.002164688406247e-15,2.6750041044652784e-06,3.483750376217664e-08,5.0055769420679e-18
2200,1.437374619817578e-14,1.0319827070859467e-14,4.492586728278983e-15,1.9173082427688865e-11,1.376279873893332e-08,5.7834005940023935e-06,0.05999726519936733,-2.58624832801966e-24,6.717119175421785e-10,-2.3115741329345003e-23,3.785354549462881e-15,2.5494764807860823e-06,3.548476847737089e-08,2.2327852879034555e-17
2300,1.811389453921368e-14,1.7110180421073622e-14,5.304392502591571e-15,1.8110654745604253e-11,1.5707886417169703e-08,5.595722241680237e-06,0.05999727502131899,7.44595836005305e-24,5.762890764036982e-10,1.4861047745683805e-23,2.451097651289313e-15,2.87655892914729e-06,4.256928236290621e-08,1.9230947142048216e-17
2400,2.1716626045122187e-14,2.1541710500382143e-14,5.296387382409538e-15,1.7628407331409873e-11,1.5930887242552486e-08,6.172583367765911e-06,0.05999723749118981,2.965891395173382e-23,6.906556687881355e-10,2.4647144221579522e-23,5.199553761841168e-15,2.843508406130214e-06,4.586621627533957e-08,2.2287890223940224e-17
2500,1.7027792921176767e-14,1.596917820847122e-14,5.542215618378792e-15,2.2892324279913052e-11,1.7326407245586397e-08,5.901274735194476e-06,0.05999713482729531,2.245174144276875e-23,9.07707181881257e-10,6.67272775339075e-24,6.0724932231419734e-15,3.075292841968747e-06,4.466966074957291e-08,2.461739939008988e-17
2600,1.9993106964458173e-14,2.3201544445222027e-14,8.843885286140136e-15,2.1765475679223897e-11,1.8361258348859206e-08,6.3599841108705485e-06,0.059996740785600786,-3.410312089938153e-24,1.0590468913810829e-09,-3.286396013844448e-24,6.128121968981273e-15,2.937235428910488e-06,5.219795409642688e-08,2.8245620755752366e-17
2700,2.3418790414389637e-14,2.381822121838907e-14,7.61719690126444e-15,3.4241222281059826e-11,2.3576353757625207e-08,6.709247041304585e-06,0.05999668197136217,6.620431085646871e-24,1.0829353366630234e-09,6.668114261742738e-25,7.868323829692546e-15,3.404692275441581e-06,5.3812959777185535e-08,3.6956022814637463e-17
2800,2.3649007530871508e-14,2.5231694300489682e-14,1.0065760390197433e-14,3.5240795050993054e-11,2.4776923065999536e-08,7.319884681155322e-06,0.059996605516123784,1.9331214833573758e-23,1.102593457346332e-09,1.0975179486998711e-23,1.0430403300529798e-14,3.2168842928341062e-06,5.8465539127573734e-08,2.2901882615219982e-17
