milliseconds,s125,s127,s128,s130,s132,s133,s135,s139,s152,s159,s160,s161,s164,s167
0,-4.349687723782959e-15,2.6642222366611607e-16,-1.4445295121212992e-15,2.29528278542193e-12,4.244767140107555e-10,-2.9702818997289347e-07,0.06000003719525447,1.353217563050512e-23,1.8001081750366273e-10,7.670361311131674e-24,1.135578324375992e-15,1.2044448528601569e-07,-4.697438851889182e-09,-1.3340901437220027e-17
100,-4.244109165746027e-15,7.016145379689039e-16,-1.5679679625305807e-15,-3.477884357395959e-12,1.6179142979463946e-09,5.222746884268387e-07,0.059999906594343226,1.4136823956808685e-23,5.594960975355264e-11,1.8771880508191968e-23,2.253561113144544e-15,-5.013543623686748e-08,-6.670476153709892e-10,1.236352824781887e-17
200,-2.594607827403273e-15,-4.555801133105658e-15,1.4090426784286086e-15,-4.9921279356596836e-12,1.1847228106896843e-09,8.08773243057219e-07,0.05999977140310346,1.1843262789279728e-23,-1.3715705588094046e-10,-2.292749037790077e-23,1.4094252588312442e-15,3.451796774735387e-07,3.505810575051513e-09,7.549216680358719e-18
300,4.5498940208639616e-15,1.1555417652573179e-15,-2.4508675969756315e-15,-1.0117422771788008e-12,-5.323459800473896e-10,1.0656863856630884e-06,0.05999947461816335,-9.797986946454043e-24,-6.208210915709339e-11,1.741697785512245e-23,-2.6285836388783944e-15,4.351917199053696e-07,-1.238059165744096e-09,-7.043880309584478e-18
400,-3.055305885368646e-15,-1.5009414962413433e-15,2.132848487700285e-15,-4.785702580301792e-12,7.628537273832834e-10,1.1880696297507792e-06,0.05999952153716831,1.1145700965462018e-23,3.734181513270039e-11,-1.079316083751839e-23,-2.3632549051078454e-15,4.997683140818844e-07,2.6763715635056723e-09,-3.312024308234928e-18
500,-2.5602590040571334e-15,-7.2746701468780525e-16,-2.517782552884942e-15,-4.625324381266448e-12,-6.08766655195251e-10,1.1649930742381524e-06,0.05999952561526539,1.2651169648287933e-23,-1.462663201299137e-10,-1.7181358756726163e-24,-1.751373083769896e-16,6.424725782038546e-07,4.8725877147434655e-09,-5.793200640488748e-18
600,-2.989776636691096e-16,1.4339303407993415e-15,-1.7051540116277095e-15,-4.130007188967695e-12,1.8946611047918446e-09,1.733587877091835e-06,0.05999913970722357,-6.842286804487737e-24,-3.394467384387875e-12,-2.555959342759852e-24,-1.8932318885641833e-16,7.031204572224123e-07,3.192328963597503e-09,-2.1942807644381164e-18
700,3.538222333138621e-15,-2.1541141265890057e-16,2.482445926916902e-15,4.139062211799247e-12,1.6857063607749124e-09,1.5930829149686945e-06,0.059999243297136996,2.2369564562042012e-23,-2.133600904280093e-11,4.307200911236845e-24,5.243862632868183e-16,8.986136046533431e-07,1.483364371708608e-09,-2.7068886906144173e-18
800,-1.3734674064582607e-15,-2.8057986815106554e-15,1.4869626864123512e-15,3.753679774712274e-14,1.4516833999808743e-10,2.2033554002990576e-06,0.05999907684374415,2.263818533818859e-23,3.244168650866531e-11,-9.171500379964641e-24,1.0248230135733598e-15,7.918753357056005e-07,6.867230634933887e-09,-1.1411429443638683e-17
900,3.833221981702078e-15,-3.550485255271618e-16,-7.720599930256584e-16,-1.9217791194490537e-12,3.876925777086091e-09,2.077598220283932e-06,0.059998864813121486,5.6791872361455436e-24,1.510320612095984e-10,2.6008141959600953e-23,2.3028472903593826e-15,1.108350863957195e-06,3.9767069820335485e-09,7.424480968061795e-18
1000,3.2104714256606513e-15,8.417038657134651e-17,8.788485024138577e-16,9.191803367300882e-13,5.157500751945652e-09,2.641751711137204e-06,0.059998763285363486,2.7087890435810707e-24,1.9130017313409414e-10,1.2489465053553424e-23,-5.89537365396261e-16,1.3353897050622018e-06,1.048374745773623e-08,-6.391013470439806e-18
1100,4.345838016421424e-15,-1.900017735081932e-15,2.642854796288372e-15,7.337579794545966e-12,1.7181414465614036e-09,2.5270126066303275e-06,0.05999875098527064,-1.995617827140883e-23,-1.4656453959147798e-11,7.544608594838722e-24,2.5354705515782958e-15,1.256760507067556e-06,1.1902128210910073e-08,-4.459127376161553e-18
1200,4.690897328067006e-15,3.1753185025593057e-15,-1.1873359149439353e-15,7.4244458949053e-12,4.970347249715491e-09,3.0300028534949403e-06,0.0599984172877604,2.2089302715904754e-23,2.834364343691164e-10,1.514552446267173e-23,1.3836873791278754e-16,1.3632737491984618e-06,1.1135379270033098e-08,-3.0446595414936886e-18
1300,5.129386003136905e-15,7.41734463350873e-15,1.1490059922310852e-15,5.365942245260472e-12,4.779655862889226e-09,3.266228317463407e-06,0.05999840075875761,2.0097527224608436e-23,2.5518685619497962e-11,-9.087271815372914e-24,-8.541598203675588e-17,1.59455522264874e-06,1.3546776863175152e-08,-2.7287754535641936e-18
1400,3.499627138089252e-15,5.520627896102128e-15,3.149257701912257e-15,4.024315599809544e-12,7.370842181640396e-09,3.8141369100465833e-06,0.05999830152106195,2.203061972915241e-23,8.02693388264598e-11,2.1157433145909827e-23,7.133687398481635e-16,1.5465382525152398e-06,1.97506152911155e-08,-2.833294895311088e-18
1500,8.521276612410496e-15,8.705734330385079e-15,1.8258906174222693e-15,6.339437171128753e-12,7.789821387617047e-09,3.810822415572903e-06,0.059998057017246066,1.4154673586944246e-23,2.2894826535378114e-10,-1.8748702384864057e-23,2.41449836077015e-15,1.868025026028282e-06,2.0352085185714455e-08,-5.717448061443095e-18
1600,6.300107025227154e-15,5.640082533549031e-15,2.4508341065820835e-15,3.3842048257523135e-12,9.760847718891207e-09,3.9532735543839654e-06,0.05999793310182791,-1.1855798408420168e-23,2.424874561113127e-10,2.27781523520357e-23,2.364939904122058e-15,1.7981402875245674e-06,1.687971940897463e-08,-6.883055072990161e-18
1700,5.8784502691905915e-15,9.373307459822085e-15,2.2069925809234764e-15,6.6095286797591154e-12,6.781026246092075e-09,4.059754867309563e-06,0.05999805061234218,-7.3894963371923e-24,1.9007731004609592e-10,-1.7099259707339104e-23,5.0200242111203654e-17,2.0386487811828224e-06,2.6308442724126218e-08,3.2401996523481616e-20
1800,7.559038987764688e-15,9.773731446227624e-15,1.6620525379268962e-15,1.1200823098931143e-11,8.260091849041274e-09,4.626103694650076e-06,0.059997793392901226,-1.1999600202364098e-23,1.8129490616820395e-10,2.2370299016004932e-23,3.14353934469721e-15,2.0029027522808975e-06,2.8861077858258418e-08,9.04776493218158e-19
1900,8.578234860253365e-15,9.23209471902518e-15,4.200407687749938e-15,8.538089485956791e-12,1.1718539737019856e-08,4.58118808557045e-06,0.059997545012716466,1.547032443966467e-23,4.499793390893256e-10,3.601029836012902e-24,-2.3321921327956735e-16,2.2828156885555936e-06,2.2236506355595642e-08,-3.199692791330936e-18
2000,9.164413764706547e-15,5.7729592965763594e-15,1.064860076896699e-15,1.0541092467563384e-11,1.1936886802486028e-08,5.299736625001839e-06,0.059997705932889535,-8.084267570087061e-24,6.457393808403566e-10,2.445545609654238e-23,3.577201802343222e-15,2.403474066202114e-06,2.4826663663235053e-08,1.1711663324683729e-17
2100,1.5007577124386585e-14,1.1917841895846217e-14,5.578015866634018e-15,1.7671406075815232e-11,1.4426241170892252e-08,5.083720937101788e-06,0.0599974705771358,-1.7203361539226537e-23,4.435481003620197e-10,-2.1166103890429317e-23,1.114196546102613e-15,2.5442051742038707e-06,2.997613695440928e-08,4.4134038293983825e-18
2200,1.1970193333249097e-14,9.831207197317628e-15,3.0487817115178263e-15,1.1736868433094454e-11,1.4231324164317613e-08,5.817303071615744e-06,0.059997204312651396,-4.371176155559976e-24,6.916048877115806e-10,-2.234128046068571e-23,5.3457585844929894e-15,2.5529164390525823e-06,3.083938621106803e-08,1.5299850375135044e-17
2300,1.1920904960036923e-14,1.9194350478997324e-14,6.3684059739709156e-15,2.3788821827609765e-11,1.7774310547201863e-08,6.05064615045103e-06,0.059997377461227935,-3.21118789970315e-25,8.022483056849692e-10,-7.628940498842121e-24,3.0559083395890475e-15,2.853107294139644e-06,3.5152252628768694e-08,6.754763252499623e-18
2400,1.9353093876428488e-14,1.5953502904571217e-14,2.640538712509112e-15,1.6574534243785482e-11,1.7098315969387386e-08,5.894430312964846e-06,0.05999715554398085,-1.5837413596141087e-23,7.863939636434731e-10,2.5787909662276038e-23,7.873195280575286e-15,2.9887439453854702e-06,3.926977061546773e-08,1.9927608652947343e-17
2500,1.735506082818548e-14,2.2222806048137175e-14,6.327129946041416e-15,2.7608194996774575e-11,1.6881311984580527e-08,6.4458781460765274e-06,0.05999690688501836,1.7917753061205696e-24,1.0489795731408416e-09,3.721616825943669e-24,7.284631150416092e-15,2.8423254353402827e-06,4.8049380259937356e-08,1.7789609001339452e-17
2600,2.1780369695660065e-14,1.9810530901175367e-14,5.789045261567028e-15,2.4554510604932017e-11,1.9047527312789492e-08,6.782290093321979e-06,0.05999698600669375,-1.5803300143652266e-24,8.43326059633939e-10,9.81844575319798e-25,8.624273861968354e-15,3.2327104416789783e-06,5.27158404942029e-08,1.826097536011064e-17
2700,2.6109780945064875e-14,2.3783235867988323e-14,8.376174888102793e-15,2.999766186910632e-11,2.1815180000493316e-08,6.614637334118064e-06,0.05999685891485391,3.2334706025665037e-24,1.0493532575259464e-09,1.0258362759150172e-23,8.36993779263798e-15,3.1081223067517724e-06,5.156331937857436e-08,1.4788476657645326e-17
2800,2.9558332893874283e-14,2.887965780415464e-14,9.068027208395742e-15,3.7887607337814183e-11,2.4017731759454876e-08,7.324463770904406e-06,0.05999672479328299,4.358022796529915e-23,1.1225465059721873e-09,2.2972554866039008e-23,9.86438494848802e-15,3.213345009770004e-06,5.651283293080918e-08,4.142580601828838e-17
2900,3.125229217043161e-14,2.9746549088690334e-14,1.2632366562265194e-14,3.5271132458305014e-11,2.6580199666870738e-08,7.314332507869896e-06,0.05999669046054631,2.340843259278444e-23,1.4191008887987913e-09,4.5803881873430654e-23,1.1600864961455693e-14,3.4795943177665785e-06,5.912943359697043e-08,4.5541853209590586e-17
3000,2.938126884320999e-14,3.5196718853745657e-14,1.4543613214815713e-14,3.786604778467281e-11,2.5408642464603568e-08,7.367237179600036e-06,0.05999628222317476,3.9907131404291516e-23,1.5939565385007954e-09,5.082127315582344e-23,1.1957748896073088e-14,3.5111379328960237e-06,6.930665256064916e-08,3.564232436971377e-17
3100,3.7802922601648736e-14,3.987903098177548e-14,1.3504694506427028e-14,4.323696913689495e-11,2.983586872541295e-08,7.423136013726321e-06,0.0599963084319366,2.655966286553959e-23,1.7671015824984017e-09,5.570757299333262e-23,1.3319721534135878e-14,3.7625685056918804e-06,7.580599536324061e-08,4.415584128459278e-17
3200,3.68982447010651e-14,4.202059318614851e-14,1.6789474233721377e-14,4.845788464255974e-11,3.00165754818536e-08,8.144480823878356e-06,0.059995998043079084,6.524140528740362e-23,1.6490582000635169e-09,5.0061866128663764e-23,1.5293288377614868e-14,3.723158518250129e-06,7.521919981771429e-08,5.737655144821307e-17
3300,4.42153990898272e-14,4.050163029800062e-14,1.956959466792102e-14,5.1630175543955074e-11,3.123918724899008e-08,8.145208872438721e-06,0.059996069810807295,5.414657068498623e-23,2.1003624311274234e-09,4.022974577840128e-23,1.7157117978166086e-14,3.8806683679630715e-06,8.400625374756651e-08,7.282210375958976e-17
3400,4.787438706753153e-14,4.980050787997215e-14,2.282311547989054e-14,5.652969571351484e-11,3.4517573612467155e-08,8.585565297748848e-06,0.05999594486054588,6.369662526588693e-23,1.977545237337812e-09,4.0150890941550583e-23,2.0591308789311268e-14,4.121660522989399e-06,8.124258871304617e-08,6.859651637457075e-17
3500,4.90191737403368e-14,5.222486367635801e-14,2.335902572678712e-14,6.569979886292375e-11,3.7560373604909635e-08,8.722358467732393e-06,0.05999572441855479,7.336424853034106e-23,2.468594587191001e-09,7.209879566866961e-23,2.405893433859644e-14,4.328282422991687e-06,8.952253612533037e-08,9.71309263902247e-17
