biomodel_num,reason
2,Couldnotconstructfitter
5,Noparametersorno
6,Noparametersorno
10,Noparametersorno
11,Noparametersorno
14,Noparametersorno
15,Noparametersorno
16,Noparametersorno
17,Noparametersorno
20,Noparametersorno
22,Noparametersorno
23,Noparametersorno
24,Noparametersorno
32,Noparametersorno
35,Noparametersorno
37,Noparametersorno
38,Noparametersorno
39,Noparametersorno
41,Noparametersorno
46,Noparametersorno
48,Noparametersorno
49,Noparametersorno
50,Noparametersorno
51,Nomuteableparameters
52,Noparametersorno
53,Nomuteableparameters
54,Couldnotconstructfitter
60,Nomuteableparameters
61,Noparametersorno
66,Noparametersorno
68,Noparametersorno
70,Noparametersorno
71,Couldnotconstructfitter
72,Noparametersorno
73,Noparametersorno
74,Noparametersorno
76,Noparametersorno
78,Nomuteableparameters
79,Noparametersorno
80,Noparametersorno
82,Noparametersorno
84,Noparametersorno
85,Nomuteableparameters
86,Nomuteableparameters
88,Noparametersorno
89,Couldnotconstructfitter
90,Couldnotconstructfitter
92,Noparametersorno
93,Noparametersorno
94,Noparametersorno
96,Couldnotconstructfitter
97,Couldnotconstructfitter
104,Noparametersorno
112,Nomuteableparameters
118,Noparametersorno
127,Noparametersorno
129,Noparametersorno
130,Noparametersorno
131,Noparametersorno
132,Noparametersorno
133,Noparametersorno
134,Noparametersorno
135,Noparametersorno
136,Noparametersorno
141,Noparametersorno
142,Noparametersorno
147,Nomuteableparameters
158,Couldnotconstructfitter
167,Noparametersorno
172,Noparametersorno
174,Noparametersorno
176,Couldnotconstructfitter
177,Couldnotconstructfitter
178,Nomuteableparameters
191,Noparametersorno
192,Noparametersorno
196,Couldnotconstructfitter
205,Noparametersorno
206,Couldnotconstructfitter
215,Noparametersorno
218,Noparametersorno
219,Noparametersorno
221,Noparametersorno
222,Noparametersorno
233,Noparametersorno
238,Noparametersorno
246,Couldnotconstructfitter
248,Couldnotconstructfitter
249,Couldnotconstructfitter
250,Couldnotconstructfitter
252,Noparametersorno
259,Noparametersorno
260,Noparametersorno
261,Noparametersorno
266,Noparametersorno
267,Nomuteableparameters
268,Couldnotconstructfitter
269,Couldnotconstructfitter
275,Couldnotconstructfitter
276,Couldnotconstructfitter
277,Couldnotconstructfitter
280,Noparametersorno
281,Nomuteableparameters
284,Noparametersorno
288,Couldnotconstructfitter
292,Couldnotconstructfitter
294,Couldnotconstructfitter
297,Couldnotconstructfitter
302,Noparametersorno
316,Noparametersorno
319,Noparametersorno
324,Noparametersorno
329,Noparametersorno
338,Couldnotconstructfitter
339,Couldnotconstructfitter
341,Noparametersorno
345,Noparametersorno
348,Couldnotconstructfitter
356,Couldnotconstructfitter
359,Noparametersorno
360,Noparametersorno
361,Noparametersorno
363,Noparametersorno
367,Noparametersorno
370,Couldnotconstructfitter
376,Couldnotconstructfitter
378,Couldnotconstructfitter
379,Couldnotconstructfitter
381,Noparametersorno
384,Couldnotconstructfitter
388,Noparametersorno
391,Noparametersorno
392,Couldnotconstructfitter
393,Couldnotconstructfitter
402,Couldnotconstructfitter
403,Couldnotconstructfitter
404,Couldnotconstructfitter
407,Noparametersorno
411,Couldnotconstructfitter
412,Couldnotconstructfitter
416,Couldnotconstructfitter
425,Noparametersorno
426,Couldnotconstructfitter
428,Noparametersorno
430,Nomuteableparameters
431,Nomuteableparameters
434,Noparametersorno
435,Noparametersorno
437,Indexdatamustbe
438,Noparametersorno
440,Noparametersorno
441,Noparametersorno
442,Noparametersorno
443,Noparametersorno
445,Couldnotconstructfitter
450,Couldnotconstructfitter
451,Couldnotconstructfitter
452,Noparametersorno
453,Noparametersorno
454,Noparametersorno
455,Noparametersorno
456,Noparametersorno
458,Noparametersorno
464,Couldnotconstructfitter
465,Noparametersorno
466,Noparametersorno
468,Couldnotconstructfitter
470,Noparametersorno
472,Noparametersorno
473,Noparametersorno
475,Nomuteableparameters
476,Couldnotconstructfitter
477,Noparametersorno
480,Couldnotconstructfitter
489,Noparametersorno
490,Couldnotconstructfitter
494,Couldnotconstructfitter
496,Noparametersorno
497,Noparametersorno
498,Nomuteableparameters
499,Couldnotconstructfitter
503,Couldnotconstructfitter
508,Couldnotconstructfitter
509,Couldnotconstructfitter
510,Noparametersorno
511,Noparametersorno
513,Noparametersorno
514,Noparametersorno
515,Noparametersorno
516,Noparametersorno
530,Noparametersorno
531,Noparametersorno
532,Noparametersorno
533,Noparametersorno
538,Noparametersorno
548,Noparametersorno
549,Noparametersorno
550,Noparametersorno
551,Noparametersorno
554,Noparametersorno
555,Noparametersorno
556,Noparametersorno
561,Noparametersorno
562,Noparametersorno
563,Noparametersorno
566,Noparametersorno
567,Noparametersorno
570,Couldnotconstructfitter
572,Noparametersorno
573,Noparametersorno
575,Couldnotconstructfitter
577,Couldnotconstructfitter
579,Noparametersorno
581,Noparametersorno
583,Noparametersorno
585,Noparametersorno
588,Couldnotconstructfitter
589,Noparametersorno
592,Noparametersorno
593,Noparametersorno
597,Couldnotconstructfitter
598,Couldnotconstructfitter
601,Couldnotconstructfitter
606,Couldnotconstructfitter
613,Couldnotconstructfitter
618,Noparametersorno
622,Noparametersorno
623,Noparametersorno
625,Noparametersorno
626,Noparametersorno
627,Couldnotconstructfitter
628,Couldnotconstructfitter
629,Noparametersorno
633,Couldnotconstructfitter
635,Couldnotconstructfitter
636,Couldnotconstructfitter
639,Noparametersorno
641,Noparametersorno
642,Noparametersorno
643,Noparametersorno
644,Noparametersorno
645,Noparametersorno
649,Cannotcreatemodel
650,Noparametersorno
659,Noparametersorno
661,Couldnotconstructfitter
666,Noparametersorno
669,Noparametersorno
670,Noparametersorno
671,Noparametersorno
672,Noparametersorno
673,Noparametersorno
674,Couldnotconstructfitter
675,Noparametersorno
677,Noparametersorno
679,Noparametersorno
680,Noparametersorno
681,Noparametersorno
682,Noparametersorno
683,Noparametersorno
684,Noparametersorno
685,Noparametersorno
686,Noparametersorno
689,Noparametersorno
690,Noparametersorno
692,Nomuteableparameters
693,Noparametersorno
694,Cannotcreatemodel
695,Couldnotconstructfitter
696,Couldnotconstructfitter
698,Couldnotconstructfitter
707,Noparametersorno
708,Cannotcreatemodel
709,Cannotcreatemodel
710,Cannotcreatemodel
711,Cannotcreatemodel
715,Cannotcreatemodel
716,Cannotcreatemodel
717,Cannotcreatemodel
721,Couldnotconstructfitter
722,Cannotcreatemodel
723,Couldnotconstructfitter
725,Noparametersorno
731,Couldnotconstructfitter
755,Noparametersorno
761,Cannotcreatemodel
773,Couldnotconstructfitter
774,Couldnotconstructfitter
775,Couldnotconstructfitter
784,Couldnotconstructfitter
809,Cannotcreatemodel
810,Cannotcreatemodel
814,Cannotcreatemodel
815,Nomuteableparameters
819,Cannotcreatemodel
820,Cannotcreatemodel
821,Cannotcreatemodel
822,Cannotcreatemodel
824,Cannotcreatemodel
825,Cannotcreatemodel
826,Couldnotconstructfitter
827,Cannotcreatemodel
828,Cannotcreatemodel
829,Cannotcreatemodel
830,Noparametersorno
831,Noparametersorno
833,Couldnotconstructfitter
836,Couldnotconstructfitter
843,Couldnotconstructfitter
844,Couldnotconstructfitter
856,Couldnotconstructfitter
866,Noparametersorno
867,Couldnotconstructfitter
868,Noparametersorno
869,Noparametersorno
870,Noparametersorno
873,Cannotcreatemodel
874,Noparametersorno
883,Noparametersorno
885,Couldnotconstructfitter
894,Couldnotconstructfitter
895,Couldnotconstructfitter
898,Couldnotconstructfitter
899,Noparametersorno
901,Cannotcreatemodel
907,Couldnotconstructfitter
915,Cannotcreatemodel
917,Noparametersorno
920,Noparametersorno
923,Cannotcreatemodel
924,Cannotcreatemodel
925,Cannotcreatemodel
926,Cannotcreatemodel
932,Couldnotconstructfitter
943,Couldnotconstructfitter
945,Noparametersorno
946,Noparametersorno
947,Noparametersorno
949,Nomuteableparameters
950,Noparametersorno
952,Couldnotconstructfitter
959,Nomuteableparameters
961,Couldnotconstructfitter
983,Couldnotconstructfitter
992,Cannotcreatemodel
993,Cannotcreatemodel
1004,Noparametersorno
1005,Nomuteableparameters
1011,Cannotcreatemodel
1012,Cannotcreatemodel
1013,Cannotcreatemodel
1014,Cannotcreatemodel
1016,Cannotcreatemodel
1017,Cannotcreatemodel
1018,Cannotcreatemodel
1021,Cannotcreatemodel
1024,Cannotcreatemodel
1025,Cannotcreatemodel
1031,Cannotcreatemodel
1032,Cannotcreatemodel
1035,Cannotcreatemodel
1037,Cannotcreatemodel
1038,Cannotcreatemodel
1045,Cannotcreatemodel
1046,Noparametersorno
1049,Cannotcreatemodel
1050,Cannotcreatemodel
1051,Cannotcreatemodel
1053,Couldnotconstructfitter
1055,Cannotcreatemodel
