miliseconds,lck_inactive,lck_active,phosphatase_inactive,phosphatase_active,lck_total
0,0.0,0.0,0.6001349190495902,0.6004138501540638,0.0
100,0.0,0.0,0.6004974984679801,0.5991011052674788,0.0
200,0.0,0.0,0.6010904758725442,0.598525950331011,0.0
300,0.0,0.0,0.602009157321891,0.5980357801690369,0.0
400,0.0,0.0,0.6020210591470584,0.5973878047977855,0.0
500,0.0,0.0,0.6029524481990979,0.5970847752035954,0.0
600,0.0,0.0,0.6037162332993228,0.5965560427238926,0.0
700,0.0,0.0,0.6039816941957435,0.595846386081428,0.0
800,0.0,0.0,0.6048889886428575,0.5950754637670247,0.0
900,0.0,0.0,0.605095304631732,0.5946507568498716,0.0
1000,0.0,0.0,0.605681343925562,0.5938400556105481,0.0
1100,0.0,0.0,0.606181183183854,0.5937284687520511,0.0
1200,0.0,0.0,0.6071474461762358,0.5930011203436969,0.0
1300,0.0,0.0,0.6079346037952913,0.5925541637336749,0.0
1400,0.0,0.0,0.6084201588073435,0.5920411366618789,0.0
1500,0.0,0.0,0.6091638272869817,0.5907884000951868,0.0
1600,0.0,0.0,0.6097753130467423,0.5907949879745225,0.0
1700,0.0,0.0,0.6101200848640252,0.5903193044740022,0.0
1800,0.0,0.0,0.6102014808949173,0.589629344777205,0.0
1900,0.0,0.0,0.611238318741703,0.589127646761793,0.0
2000,0.0,0.0,0.6120025903752047,0.5879561127182885,0.0
2100,0.0,0.0,0.6126231902242273,0.5877499201293588,0.0
2200,0.0,0.0,0.6124564279579033,0.5874897926800252,0.0
2300,0.0,0.0,0.6136950880704606,0.5863340403370296,0.0
2400,0.0,0.0,0.6137003788858257,0.5858896096010082,0.0
2500,0.0,0.0,0.614528055572845,0.5856431390669565,0.0
2600,0.0,0.0,0.6153243248305231,0.5846593869859955,0.0
2700,0.0,0.0,0.6159685067792823,0.5843943426235755,0.0
2800,0.0,0.0,0.6158058503127963,0.5835869726512641,0.0
2900,0.0,0.0,0.6166473325878778,0.5836546865040525,0.0
3000,0.0,0.0,0.6173804350365737,0.5824969161390479,0.0
3100,0.0,0.0,0.6181413226569226,0.5823866145263578,0.0
3200,0.0,0.0,0.6186281116882751,0.5815227812902622,0.0
3300,0.0,0.0,0.6185896617631343,0.5814053979356909,0.0
3400,0.0,0.0,0.6191860511312427,0.5805279651974761,0.0
3500,0.0,0.0,0.6195977343159585,0.5798157505358199,0.0
3600,0.0,0.0,0.620577118025985,0.579555505021191,0.0
3700,0.0,0.0,0.6209125770525867,0.5793131997579838,0.0
3800,0.0,0.0,0.6218508411662582,0.5781669948278242,0.0
3900,0.0,0.0,0.6224558735808818,0.5782941813344382,0.0
4000,0.0,0.0,0.6226464677135378,0.5776266061682865,0.0
4100,0.0,0.0,0.6230962262676475,0.5764928702005702,0.0
4200,0.0,0.0,0.6238781079503428,0.5765459861379107,0.0
4300,0.0,0.0,0.6238964610736538,0.5758039411502169,0.0
4400,0.0,0.0,0.6250380780575931,0.5753192622123864,0.0
4500,0.0,0.0,0.6248492386210462,0.5748421418513394,0.0
4600,0.0,0.0,0.6258854637846171,0.5742258227619593,0.0
4700,0.0,0.0,0.6260013698647741,0.5734418647269796,0.0
4800,0.0,0.0,0.6265760834149343,0.5733528798484964,0.0
4900,0.0,0.0,0.6273815065818077,0.573064258753741,0.0
5000,0.0,0.0,0.6280251137291001,0.5721233714432592,0.0
