milliseconds,s1,s2,s3
0,580000.0,0.0,1000.0
100,579948.0202765833,50.42339862951743,883.5389685471387
200,579888.9915456407,104.87771167526122,1219.0056604711363
300,579798.3825580906,186.9336485168552,1988.776315662869
400,579646.4737948623,323.88241410871177,3382.1265814525727
500,579386.6781123461,557.8572338047028,5803.3280460441965
600,578940.6376762628,959.4622853662661,9975.185467464918
700,578174.6538373465,1649.048377906624,17148.106212625727
800,576860.4780912913,2831.96921440956,29467.13927078465
900,574610.0864013945,4857.097133704612,50594.99603951095
1000,570769.3352027304,8311.925435474486,86748.5727279907
1100,564251.5988732444,14170.477203200067,148376.46014443418
1200,553298.0213589547,24003.85475706096,252742.08575825192
1300,535189.3589422405,40225.18468041539,427537.39595302986
1400,506060.3299283522,66219.55712338704,714926.9474853892
1500,461253.73887409846,105939.39579038111,1173344.8780851592
1600,397033.9666885377,162199.4252370868,1870278.3231948114
1700,314254.4784493505,233174.64864321894,2855631.8286163528
1800,222223.15825195727,308928.68897226744,4113165.735894345
1900,137344.4970613372,373243.94881464005,5519419.281516191
2000,73830.94553049485,413030.6665395074,6866848.1298399
2100,35084.63788458354,426473.53699851275,7959193.347458185
2200,15208.827445397408,420857.7980354911,8697099.906515976
2300,6233.884951773386,405023.5348390566,9086196.339541852
2400,2494.4489734079243,385050.0931029306,9191492.34772006
2500,998.5071124948332,364071.8409431649,9091826.833368955
2600,406.66884933017366,343441.76192714204,8856020.867655985
2700,170.35193157803002,323669.61171670177,8536190.355947603
2800,73.8721684058504,304913.796640051,8168990.651846224
2900,33.27558984313652,287196.2373014981,7779115.169067269
3000,15.591590799628019,270488.32557651034,7382712.692693169
3100,7.600072339889396,254744.03856813832,6990071.018407932
3200,3.85118867665603,239912.5260214753,6607547.876365855
3300,2.026250473536087,225942.8732900828,6238903.228906562
3400,1.105249539472887,212785.87564742487,5886198.5937336385
3500,0.6239937993044599,200394.6565717999,5550396.656736341
3600,0.3640081276435053,188724.8318685736,5231758.031495844
3700,0.21903327431458613,177734.49357468708,4930102.390756913
3800,0.13572179003810458,167384.12308822697,4644979.555945488
3900,0.08646167085775125,157636.47829984422,4375781.072749222
4000,0.056539918106294,148456.47343396177,4121812.5556552354
4100,0.037896472497494595,139811.05951512785,3882340.2417849535
4200,0.025998069400264213,131669.10877785148,3656620.619568186
4300,0.018230596874972978,124001.30433938005,3443918.9741031975
4400,0.013050538146495847,116780.03556313974,3243520.6962343445
4500,0.009525865136763076,109979.29913896728,3054737.883762226
4600,0.007081722336811194,103574.60572583508,2876912.895451746
4700,0.005356363344072209,97542.89192545027,2709419.9472070234
4800,0.004117770753448637,91862.43732119464,2551665.464756843
4900,0.003214429209294345,86512.78631495612,2403087.6587844486
5000,0.00254570687999465,81474.6745026947,2263155.6272072988
