milliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,-628934535.3050895,60792168939781.81,-5370384314501.789,49130974496061.53,790425896.8332174,-23254433699.32979,138353368663.19858,10791325686.286888,4907546597228.116,-11261917904336.17,7587926.216763111,-14745901760.03688,-20861207803.035984,5013768666.597676,50029512386.94906,-18281972585.299236,68397597.34185234,-186873309.86456415,1112077691.9698908,92671278.88715631,17685982807.041084,-4439903884.321198,1264447.960552994,23995086.533672825,44395074.459440574,-3089428526396.518,-399593957.07815385,10214427775.502542,-803414706344.1473,-6764603536.903347,13395196734.228416,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.61,606060606100.0,0.0,60606060606060.6,60606060606060.59,60606060606060.6
100,-862953482.8378785,60120139893347.56,46583579296149.734,-29413685484949.676,5648383793.022414,-40459220891.99937,145401374383.0439,-9772584438.497011,2245117005174.1675,14530879296962.924,-19113017.110059112,3155985276.846479,17040037735.857357,24258058685.910637,-65818998200.585815,-182495086253.626,-2254125.1117461585,-405433811.5620376,-336079480.01986974,-435327625.4279945,-7817262820.937206,-74342847784.63666,-713770.5178677309,18336371.398875427,-248489787.51452154,22473988553.590088,-6197432119.989832,11446943560.816858,-1144209833274.375,7697097461.781465,-6506583895.6347,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.61,606060606100.0,0.0,60606060606060.61,60606060606060.59,60606060606060.6
200,821786509.2792635,59341210744041.875,66967424063589.53,58450146110192.734,10819148621.013035,86335889395.44748,-176675255815.4443,-10713041005.928654,-3576970355555.821,11392927849636.3,4791840.795607922,4801086053.09095,34354503764.927692,58728909752.13543,-27529852909.55423,-159280451064.36957,35991151.107534885,-1725159.4277919494,-476954726.98991555,134390977.3862615,2431985715.4061246,-9885897388.098951,1245056.7069125208,-23188225.0716407,-33072094.592488542,5871467312927.644,-5521823364.63532,-436164420.9949474,-372846244436.0012,-812703322.7282277,5321711164.746739,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.61,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,425920168.88122,57313011530775.82,93272993693054.84,44201742536855.8,15388623355.655037,39114741297.09613,-9143010854.36288,11509096721.166996,2046468874277.6782,-13392328935212.848,-3767885.1326359683,9795107750.96788,-22169057404.57985,72301836525.98656,32042187621.070786,-187171833796.72284,36311318.83900256,-312653292.9465507,1691207089.474781,159147570.06826943,21629771577.561108,-19859430080.44303,325369.38267548947,67828342.2896279,289201801.58715147,-1138426636250.6172,3727121953.461641,-10692697486.511549,-1936085820134.6665,2232547588.925805,11895985546.142904,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,-756761187.2180271,56057726129762.516,143659281333043.4,802413361384.1992,22435160479.293957,10107067944.925346,-219822054141.69525,2826440226.834321,-1287247730488.2646,-13882925702109.738,-26264665.043375067,13530703334.804413,27266040879.461796,103915774749.73195,195596791242.14865,165288427289.47592,42591981.480336465,406070621.8745739,2036547138.196296,-116251019.10352246,14191678527.474205,-40739753320.181145,660786.3037494946,-82029049.97792445,-355413325.1036662,6467501268711.092,4652721154.197758,3898470292.5612154,-241299637599.23828,1655237287.3444633,-2775481849.201486,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.59,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,188618545.70033157,55322620032774.43,166358187038381.5,48824885943834.49,28979565365.4881,134705169798.78418,-170702020077.56412,-177955751.08518767,8652325996221.318,-556509791061.8711,21329641.70024102,-6617169898.3983755,23970113031.04916,120083840713.09898,245044609854.52188,-68048344933.25521,208228877.72267294,638330926.549311,-1154089707.8876693,353700894.8897915,29628441479.497375,-98023948901.7755,813886.5303591135,-60162932.93131907,-63328198.92517448,4549666810047.451,1168702836.392385,-11322868758.55295,2537802412554.566,2077824452.7435527,-1462661845.346877,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.59,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,1921130331.0451176,53736531954123.95,179716944231274.97,68338913723122.11,30385876386.11293,82262886707.51382,-11893529573.69056,6909605684.912311,10044730132526.996,8187710629751.312,-12970307.451850263,-1707493866.1229482,2124093923.6892996,142003202158.78235,249118839892.65335,-35038318622.522675,139677722.02089986,-123425839.66141635,2046303585.2438707,319544974.19671476,-15937936209.900211,-63352538024.61208,468938.04984677176,42057465.83910635,154663171.21031824,5489988548001.294,8157402909.823925,-3155956139.1775794,1353525156766.9253,2500200881.3694544,-1042978689.724428,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.61,60606060606060.6
700,800078882.842287,52802746100587.42,213526401340112.4,87835794556573.86,39017395463.14552,142345071462.6956,119862892872.25357,-10433661863.750713,3758904107128.0776,-4637959773800.277,17813455.30793292,1594340300.7893224,29467798934.80122,157018520180.1333,344799432428.5486,-117774133054.42783,274562083.22361314,114748831.22587669,1351935302.7473168,93118188.13967478,11415037348.809208,-35726494914.46837,683795.5094564377,-4826822.61366266,352377030.5457066,6263243187889.428,9968348177.037106,8245205783.734985,855114932297.5337,107601799.6418109,5056471680.885678,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1846726384.441898,53134960586030.58,232739594258119.0,148361447981477.25,38869041852.0924,192261972515.72607,-51277886498.15436,2541295614.6881437,6571476525639.855,16448526373135.021,12077218.918235462,19624062593.158684,-6407286353.914366,191153916083.6725,320283070356.21216,315576995225.33026,313227917.5039894,659286761.6626087,1864331454.0699,295784700.5158664,19998301595.248013,-69666638352.08232,-773468.0914094918,-17722243.334479805,-271873054.2080524,3699764579822.871,11084622316.095488,-5822944628.242128,2608457119307.198,11913191865.843063,-10518271357.223335,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.61
900,3202698846.169719,50535793470115.016,241134058226088.6,143295266083674.84,46858506678.77658,285626341073.9701,194228134391.46606,-2585126667.502877,15814936436757.955,-5111222864190.962,28607110.581349052,21356792722.054058,-24290604506.326588,195856286218.28824,468487736701.4064,60078877428.70331,258739473.93610016,409579287.51052964,56349278.79953706,534002551.31166434,32791602153.575314,56429803620.52642,1315997.1647729275,41314932.96901421,343995505.51883554,7881735829199.228,11881606516.400738,6731381124.152359,5610946399267.82,3136280185.627361,3201545074.447471,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.59,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.59
