milliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,-567182750.1707317,61566474084739.336,4967213335752.794,-38008519197790.26,-621729098.0425563,-21446154550.566975,-22284143525.22331,13168791282.870132,3192743977709.053,-12529623153796.441,12782398.286875742,-7121718827.586632,13697785418.215319,4814499579.821127,20975660449.59401,-200845258626.0202,46691284.19772843,-383273204.6290003,235828092.903264,-298062684.3828006,-23096243448.79113,52124165848.67428,-197320.49398327732,-58284971.29955213,-38572840.753461465,-2776270578633.677,-2471525062.024893,-2545497949.4592,3063991504274.588,-4268109027.0364995,2901711142.112833,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,-850278142.0811853,59975737448713.48,24774750733647.152,-13702497478402.062,3031954747.168931,47017700111.40412,183030179002.38007,-4320253609.605633,1566676660359.0845,-11337846026217.8,19119602.922585748,-3477107395.2867513,-13886578700.43306,25984717249.84109,-45853876930.346756,138251379744.87305,-37232425.427525386,-180951713.77682838,513545438.7122217,-310979268.00890976,15004013938.785685,57172594389.96415,1027652.9948057121,-58004195.11488314,122673739.67548889,2274919650394.3794,-2097206855.5605016,-1982647293.8411362,7367371117659.196,-7272120102.62676,-1671966386.667164,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.61,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,293086199.76364625,58196946449100.805,82940940897458.36,48837582802538.78,12720123218.066086,-4232230027.9973927,-144093738868.96988,1476388679.3274252,5160748261766.88,14284820225615.404,-13475561.515667927,-4166592063.0693364,-29411907222.11575,55350163430.25555,59695136342.58021,28067936299.707256,103426611.32357176,358753484.86005217,-838864356.5989583,318861730.5531569,16046773999.596653,57766638046.889915,730410.2763193748,-59747193.33400735,-199592111.3890224,5859405635886.83,-493150649.5706234,14029532579.407692,-872756670753.272,1577384047.4479609,10599359692.741865,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.61,60606060606060.6,60606060606060.6
300,1210190509.6766005,58111141663021.23,97189150149966.0,-26734571104728.242,18453174968.108826,-16444678478.424095,47067481866.14119,14064932556.840881,6207939109362.506,9004356990412.006,938068.5940683491,3609190012.938075,42011712779.41834,89207808083.86186,24795809475.722725,55527908309.1554,-7998252.5560511425,344197080.11143875,-88631078.64806576,412867899.3431905,18329213381.204952,-97954521962.05594,998201.2243186726,-80255321.04997921,-205846957.66823527,5396310158892.455,597206230.5315218,3276121023.10985,3739065989460.091,-1874716149.610487,-9781732308.838343,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.59,60606060606060.59,60606060606060.6
400,79130814.34083623,56089431768443.58,133178423186903.47,66579815766889.06,21804875266.651592,76044942587.48875,45619056366.68075,-2724649136.6049356,51517432033.28174,4377290334796.2773,-25735569.338355884,12906394679.838985,-30580398571.113823,109304497967.31514,150706702964.65344,-270609757352.06702,84688570.93174283,-285552909.2770526,1795447846.8056202,270578628.00231594,8761305282.497154,-21245949254.810616,7606.137491625794,-17099835.049561147,-147463082.91233137,3483058496452.919,1052137955.1688052,2022396660.4035363,5845354692693.936,8817710866.470413,-10084611072.30251,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.59,60606060606060.61,60606060606060.59
500,318465780.1164707,55390348309183.71,158104321366980.9,99482253795977.44,26075914386.257282,55595100036.46177,172596259485.00662,-2239745948.493595,-374450147486.03174,11553668376346.797,14986145.443590177,10396110714.868305,1491770950.6917152,133708496174.3201,220700364802.906,170202159311.17566,73028007.07979539,553989069.5634124,378417287.1518175,-81953247.67307526,28761314144.41628,-8982627857.152227,-1253152.6036023386,77403648.34025899,299058302.51730597,13944079567.070312,1259944504.4349134,-10224143436.002356,255207784006.51465,-4816218380.407748,11203440093.595242,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.59,60606060606060.61
600,2230586025.678716,54439534696442.766,182742602452364.12,102135405920001.45,30379990740.640694,180725796694.02515,-105253795886.31961,8076099248.820141,4474923984892.507,-3148422244927.044,10367307.922709677,11382113477.193712,-31696146371.45563,139743743606.66306,260839310505.7683,257468590960.4867,182341668.94173324,-37765726.41355926,1708556272.2924347,194479205.89686194,2759306656.660818,91193845280.73549,1264401.2518385658,90552866.21342833,-31448344.330387197,8932220773659.96,421827304.35956573,-9999834756.145584,1487634702638.018,10372265705.264616,-1784692155.5528188,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1434515740.8402698,54007769459878.67,217049752874078.28,72943702366543.38,33666799918.49662,144378924256.0638,50206680527.014915,10090495959.370491,10258500742962.604,6077291840494.998,23236192.450383913,83268970.10639095,-5162778193.025623,159661995408.66965,368892319491.04755,31435070808.50363,271414881.56077695,493955627.2077857,1009729272.7566867,-335999278.85403126,20314766171.51439,-53322018605.12573,-112314.75468243685,-70851854.55901645,-191745032.15586782,-1448668214242.2568,8919064054.732498,-10336182269.641628,9594374115912.0,4607654932.273723,759021808.4501182,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.59,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,965555203.6885926,52131224853927.36,230523181100473.88,157617798887637.0,38865199886.91376,223450772768.92188,64404843118.42264,11720073792.262712,12741710410572.871,12399166562099.33,-20704164.427601375,3538305702.4063034,-14491238482.059418,183587573778.65045,461802713121.6643,426177624741.0173,364486412.6514421,914424159.9708323,1247573301.5743313,321318428.42163897,20891984106.57741,77219324559.85072,922622.2966450368,-61150690.96651681,-31899104.08749126,-368712876769.2832,8224166383.555496,9411023990.800049,4155205466381.1006,8630827286.989931,14797770472.120922,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,3233353606.8201513,51493309743770.89,262836544297342.56,179411587932978.3,45437649796.05887,250843799905.57217,103795233111.4481,-6487188618.0770035,11947854295710.193,2211166935289.581,21408798.873428006,5041909409.889528,-28682623357.22781,199970561437.61542,416810289679.11084,181757059853.76788,276771316.660279,525247712.2714124,-569659726.0317045,315835313.4396501,24922207814.797306,-19933394750.11534,-466581.5924457517,72386684.79999304,20116583.032840665,1231405228414.9922,12279161533.23636,-2152341288.2917085,13126276633735.104,11808015445.933887,15638970008.948349,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.59,60606060606060.6
