milliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,-393375486.1523807,60559169628443.984,-4591329317533.337,-3223292679725.7744,2575815731.88966,15990969041.988688,64207599517.368965,-13678467749.215584,456367069608.07697,1032960503398.927,-25063659.91294116,13298075063.037024,-4899624300.220981,-8779502209.237381,22996862272.361015,146751640229.36078,84341028.12605081,-464154272.55797386,1229862901.3334515,-344007979.56079495,-18517274144.138123,7096628028.213388,-1090534.0682467108,78463631.17941065,-152424129.2389574,3908672714445.74,27124507.81017963,-10919917383.438807,5863502600824.007,2100456664.7924254,-3287378231.248701,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.1,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.59
100,295453068.7729587,59454651029391.51,27859158435182.234,-46968207233534.61,3328939941.611263,-17703658143.328133,38013629081.676285,11697496010.597656,-524683194377.56226,-1996138635514.6094,1954609.6989693001,6801299736.982453,-39687118638.59577,20556250175.841286,54072491968.575806,-203271443794.60098,-27669656.752196994,-391424310.7121506,-38903806.895469375,101720202.88525124,23153260587.995045,4595430830.2676325,-1001068.5321164272,-43816261.556692965,-207861065.02432755,-1380638146398.0107,5578846748.608047,-3753764585.191926,14704787492.166748,-3120056617.163251,-758402595.4671881,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.1,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,-307782067.7857303,58739311378636.8,54248647542998.46,-34370569309798.45,10438018373.439812,28678211758.62684,223655008283.87524,1789616752.5666354,-3819107304140.1245,-2016600662572.6685,-4499746.767201393,14695747788.320572,-21200710162.634186,54733169394.46405,45356741059.02776,301513122572.3589,8830769.73342714,-437562468.3943551,1690915847.0281096,-319847311.2904641,-19504785549.04024,68944526300.06464,156884.73250602145,9870976.032267492,-23863358.598257788,-2765668844675.995,7596130125.97536,8345730273.872493,5823998240391.144,-4312752957.114979,-9693130608.391178,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,-846047128.346541,56773092988099.44,99474302540864.92,-23175909574763.68,19115177549.462044,-1200974138.7500877,-46312445036.81514,-7328951051.196429,4463543846563.962,-12882639645084.062,-21432422.898108132,13259355324.678007,-2841553971.1696453,86168626331.60837,19540360062.66275,320386650742.335,-33083158.834597602,263037146.9670254,1376758427.5953195,210482844.76561365,16778402934.487215,98022815014.74551,1078561.1605897266,-14939397.168142928,-157765787.58738962,1503554345542.2173,-2030911540.624425,7696874313.099778,2467886899264.039,8367104655.2779,-3685662277.686597,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,23422383.53133452,56961537752681.98,130488061684800.84,17651715874318.68,23943144757.170406,-3500588608.9529343,-111147984082.10635,779802605.7371037,442451728708.30884,-1570563619216.2344,15557083.059453106,1467714119.4982178,-44082246806.294624,106862147918.87305,82592614859.53,66052010836.01024,132195624.01626638,-301229835.8585952,-960669703.0948371,29113162.988353003,13261251936.782185,-49721063501.326,721461.6632151561,-14919549.501445841,218598340.5574012,4606277836806.302,6500634180.182777,-4158383425.9287963,3433168501415.464,9081386047.645325,621386632.5377774,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.61
500,1424781111.9333541,55913535567948.85,158754079641066.7,99851127264393.6,27252399489.23997,58826001781.40799,252240031371.5862,569009554.783806,420127230693.0508,-2754499751860.873,5749839.838423417,-9460501949.699917,-22300881421.362823,122336722665.52118,191886147502.39188,-178150214547.34814,98692858.37373424,156021928.04852626,2007503553.523333,-465121313.65509164,30931314645.364944,74033873472.62067,-1208052.3375747257,88760512.95143776,334749266.7050595,8357087695952.918,9005779324.530502,-301488712.1038991,1488485381903.9983,3139258330.7930565,6559477696.600494,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.61,606060606100.0,0.0,60606060606060.6,60606060606060.61,60606060606060.6
600,1265912161.016492,53749955648443.22,187886347966514.56,95233906938077.7,29321486167.043957,162763941960.85815,90856851818.84776,6460129742.537306,9229316513133.176,7767221332643.864,25113490.829625398,15166841998.9048,1822176010.246112,139774277873.90558,226227636253.38998,183690647872.12296,190374862.0712887,14776427.627184689,1364949774.0957298,-64996264.62068255,5610816554.886325,27425037510.58119,-218190.94666827115,11232351.9967504,52582188.73360629,230265983023.70068,6524425355.594482,-9017974894.77897,5550030490709.426,3372783575.540615,-9969340679.67349,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1398655668.9169197,53584914500941.93,214993986737415.06,81701160677107.0,34724476359.7598,160338344640.70663,-158401993926.74832,-5554996453.23093,5697335331136.474,13657478158356.928,24917319.423047718,-10507311850.335194,7322454609.312391,161102659127.0768,297063321652.44556,251527057333.47992,254160507.1588892,638310769.4898398,-258299737.52227038,331985766.131728,15338824942.51103,-49495873025.655945,1160098.3677955975,74358137.55695386,-248240385.28863612,3444002240013.274,-3096853863.12875,-5332729311.687316,10887053787985.953,11540757711.007536,12857039433.384783,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.59,60606060606060.6,60606060606060.59
800,1462980934.1010811,51946470850603.36,226196751137305.03,164383006534431.22,42832125564.855484,164176369204.29358,14269342662.419876,1088567469.662064,14192713372908.707,14965873104498.45,7366320.576967556,8212586670.300255,-21166660189.207054,194352022500.33728,331224826183.1911,-39970350653.74243,305818940.4935305,351337264.51109993,715188790.4484718,461586021.6928669,9635719281.389572,-88742583424.63577,-332501.1579963644,-48515568.895998195,-27155521.950137354,8929333064369.836,7806924405.552954,-9034476617.542257,10399875168468.404,8178607651.785982,12393996477.765987,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060605.9,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.59,60606060606060.6
900,2075793420.6488762,51473817447091.3,248567106976518.03,191589426003904.78,43915536772.390884,240790812981.84705,218295092213.90454,3589543509.455141,14224843504132.225,5936615409582.466,15934811.37298651,18614328280.25417,40007284907.040306,211715895216.9638,401116205636.0968,209996115772.42673,408231579.66826266,340332194.1948745,-1553033701.6718807,-187486976.19030297,35484558652.46474,42446691594.91164,-1181740.4849353118,-32414238.523121864,236272597.84848875,1561537945879.164,5656266133.019844,9895219885.974035,13843888771992.41,12316959639.09882,-1610638993.9037557,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.61,60606060606060.6,60606060606060.6
