miliseconds,R
0,0.0016060427530114598
100,0.09669945777798321
200,0.1986037595882875
300,0.3046904465504695
400,0.39152370161112376
500,0.49317466910965824
600,0.5284766842179711
700,0.5416178818615917
800,0.5495551412166415
900,0.5620515434842671
1000,0.5662036238368596
1100,0.5630856018604512
1200,0.5777818611627179
1300,0.5747371464673701
1400,0.5901591024267816
1500,0.599623934502236
1600,0.5910773676059244
1700,0.5973327517507387
1800,0.6134887444245786
1900,0.6127028823336129
2000,0.6184027952782827
2100,0.6143190697597622
2200,0.6202604419286813
2300,0.6204592814510101
2400,0.6332358645050616
2500,0.6407703377530152
2600,0.6348286739753886
2700,0.6463404188180825
2800,0.6441946471166631
2900,0.6535798092662115
3000,0.646640961844166
3100,0.6548331069941867
3200,0.6637922342990974
3300,0.6553306409667973
3400,0.6623902690622095
3500,0.6599515776967558
3600,0.6641571012160017
3700,0.668700345024835
3800,0.679903537674671
3900,0.6729540838078607
4000,0.6733798047355509
4100,0.6867239867123719
4200,0.6901645044271526
4300,0.6842926554900413
4400,0.6875473330312752
4500,0.6972568184757724
4600,0.7021801132595658
4700,0.6972485979537549
4800,0.6946092967117734
4900,0.7017194311363235
5000,0.7045388219976906
