miliseconds,R
0,0.0032317068689027848
100,0.09436118549140106
200,0.20406607053663953
300,0.3001375028816064
400,0.3963874330019913
500,0.4895095039309716
600,0.5169974658603247
700,0.5339250683680249
800,0.5452345763489591
900,0.553768691584367
1000,0.562152802889251
1100,0.5739263512621848
1200,0.5757680972555917
1300,0.5819239703855342
1400,0.5940983597142202
1500,0.5989387497681137
1600,0.6026433341176503
1700,0.6055972393392035
1800,0.5996115091217988
1900,0.6050140461589172
2000,0.6092253272410177
2100,0.6161065763133278
2200,0.6280338115622675
2300,0.631219600858152
2400,0.6377241472956873
2500,0.6275113918136676
2600,0.6378030515944215
2700,0.6432069156760357
2800,0.6380573579666357
2900,0.65421144887744
3000,0.6558118650531051
3100,0.6554017245852063
3200,0.6522750100986675
3300,0.6612343134698608
3400,0.6603204549195545
3500,0.6726542176751219
3600,0.6746206687332171
3700,0.677000619280857
3800,0.6697140314378168
3900,0.680710787204788
4000,0.6846403639372454
4100,0.6868346755999206
4200,0.6890782526686335
4300,0.6833318074718161
4400,0.6883500589680328
4500,0.6900830895314696
4600,0.6898255403895942
4700,0.7025564015616151
4800,0.7060777923642926
4900,0.7001170824268147
5000,0.7103504996582085
