milliseconds,R
0,-0.0066468332278553505
100,0.09780054744671307
200,0.20368362168202261
300,0.30519138999163736
400,0.39581130898835465
500,0.48248240215170013
600,0.52085998108159
700,0.5431772357057696
800,0.5454078893184835
900,0.5569864291289761
1000,0.5599278849242123
1100,0.5701337083942343
1200,0.5741621502792448
1300,0.5829341033222236
1400,0.5864295342694045
1500,0.5992561134297784
1600,0.6006578384868979
1700,0.6035404851685324
1800,0.6024688462517309
1900,0.6140231122285924
2000,0.6129826381003569
2100,0.6181326186676538
2200,0.6303782792434138
2300,0.6329678746203684
2400,0.6248359064198339
2500,0.6271761426599233
2600,0.6450705774895918
2700,0.6436924980712981
2800,0.6389252589178133
2900,0.6529653000679648
3000,0.6575749753235374
3100,0.6529096127578627
3200,0.6518717612555743
3300,0.6568432568247029
3400,0.6563666205363197
3500,0.6604808811409516
3600,0.6698743366935007
3700,0.6725059979671676
3800,0.6709553537311885
3900,0.6830283740797378
4000,0.6777907699277378
4100,0.681547831692431
4200,0.6861742196397801
4300,0.6903416516483716
4400,0.697861878917193
4500,0.6907905071068415
4600,0.690489201645366
4700,0.7031438893483184
4800,0.7022054655988617
4900,0.7009669867933785
5000,0.7086328683315468
