miliseconds,R
0,-0.00705115984883176
100,0.10395967670938729
200,0.20600307953812236
300,0.30053921332596134
400,0.39667725904151335
500,0.4893520753653358
600,0.5170308138994887
700,0.5318456553875328
800,0.5455379957220142
900,0.5574757402110884
1000,0.5698551697820842
1100,0.5721193464928591
1200,0.5777571792518316
1300,0.5874894601198897
1400,0.5891457608560094
1500,0.5935663234676761
1600,0.6020313877087003
1700,0.6094840310464826
1800,0.6004799241109646
1900,0.6092199713866455
2000,0.6207828905408821
2100,0.6245099000254895
2200,0.6277905311208202
2300,0.6225144281158437
2400,0.6258068580776863
2500,0.6397212226926751
2600,0.6338044985392624
2700,0.634263571263512
2800,0.6516862781061654
2900,0.6448617274464165
3000,0.6577940843817517
3100,0.6585593003293249
3200,0.6632395863982427
3300,0.6641599760670385
3400,0.6611235925311869
3500,0.6647917052006165
3600,0.6728047690640601
3700,0.6700390042274358
3800,0.6819461631154724
3900,0.6825966417328768
4000,0.6839534947477631
4100,0.6847513438819665
4200,0.6893925611699556
4300,0.6925866685256856
4400,0.6876113486091447
4500,0.6865840109842051
4600,0.6981534813828503
4700,0.6937473768690392
4800,0.7004727264691774
4900,0.7021775603101632
5000,0.7084921391611138
