milliseconds,L
0,5194.125279190434
100,6536.165173957255
200,9817.993413289762
300,13847.038948951425
400,18340.988811964162
500,24583.35866061951
600,31791.010559210463
700,41827.80358729267
800,54401.92624125146
900,74315.18631428028
1000,96380.2783807443
1100,92412.35778624383
1200,89059.38049465959
1300,85947.69136841771
1400,79781.8121197201
1500,77130.40343250529
1600,73337.17342144299
1700,69674.4334787045
1800,68348.2281526444
1900,65176.03085656859
2000,61237.39548715175
2100,58222.58160828566
2200,56038.05999471715
2300,54770.129266829856
2400,50727.28391478368
2500,49231.63116359522
2600,45611.90481125466
2700,44815.696347531004
2800,42444.012812872905
2900,41850.88980677207
3000,38917.85611160617
3100,35485.50284660784
3200,34008.95159011995
3300,32424.375238104007
3400,29717.263025447708
3500,27933.311363268094
3600,26105.322355359367
3700,26146.440021057715
3800,24431.011845435074
3900,21651.35175374324
4000,20234.462270343236
4100,20579.749833605612
4200,18618.454792843422
4300,17194.611235711043
4400,16916.81205563903
4500,16741.7733066376
4600,15384.116301890814
4700,13128.045501934823
4800,11970.482599394147
4900,12700.031145239658
5000,10952.86903937158
