milliseconds,L
0,18769.142590110117
100,34367.41527288163
200,39534.658209074645
300,50678.12582498643
400,70812.32308495947
500,94422.96255633206
600,124842.5999342135
700,163183.5343731189
800,213777.71062908528
900,290038.1657389271
1000,375633.36471964425
1100,361717.01108821935
1200,350156.58860188967
1300,330988.54616282915
1400,318069.0178629382
1500,300288.33846643614
1600,293196.91519754234
1700,270877.95062579756
1800,265423.4150082283
1900,248472.25314627695
2000,238362.1319091062
2100,234129.7736058846
2200,222281.05077066796
2300,213426.41665950202
2400,195141.9945637338
2500,194084.5492961408
2600,183501.16112962321
2700,176294.2462310588
2800,171690.15704138431
2900,157641.2018949759
3000,156216.02292628828
3100,141325.57189432104
3200,130157.59350557352
3300,128788.83980870752
3400,118274.09700461934
3500,110845.7906048736
3600,105393.86071805442
3700,103853.9236481569
3800,97394.32529598077
3900,91181.89339961717
4000,84877.90755262194
4100,76571.90393690979
4200,71503.49738670171
4300,72205.75241001359
4400,60387.03205021674
4500,57351.718268855686
4600,58381.699297640305
4700,55733.51901945252
4800,45205.287254651485
4900,46634.27965674996
5000,48830.8130068146
