milliseconds,L
0,1551.4138114074467
100,1727.7775312368074
200,2693.4931467457864
300,3358.737225519121
400,4212.521378721841
500,6052.499460957855
600,7843.398858559787
700,10481.513872336229
800,13702.43007614926
900,18017.89833362379
1000,23963.977224154445
1100,23079.203232564865
1200,22059.4763664016
1300,20985.447341929892
1400,19660.452606331553
1500,18810.64951841899
1600,18372.23926631545
1700,17278.760684158024
1800,16817.712553150446
1900,15947.999133017403
2000,15150.61341530344
2100,14697.040196642627
2200,13627.734477558331
2300,13012.999914915428
2400,12503.865438353307
2500,12059.082357387788
2600,11639.144867472643
2700,11037.898075751973
2800,10447.465924828328
2900,10209.012814846052
3000,9597.4342267849
3100,8953.451251508604
3200,8414.367395576593
3300,7935.063754873513
3400,7323.69961691636
3500,7328.365638025707
3600,6698.2331056434505
3700,6469.490097884767
3800,6112.874865321663
3900,5507.7558956054445
4000,4909.661934991327
4100,4659.405647290565
4200,4439.806942595501
4300,4392.911501396766
4400,3977.9245689795393
4500,4087.068179920701
4600,3309.9601777744765
4700,3274.870567029324
4800,3427.2081598638974
4900,3050.187085024038
5000,2691.156992155041
