milliseconds,L
0,104791.64881567896
100,124298.94622817403
200,162851.0255520941
300,193556.797633035
400,288585.6454915049
500,375345.4138114461
600,457048.5524058459
700,619124.3620352882
800,845259.7960832507
900,1100500.7639323308
1000,1468480.6529584124
1100,1405929.7151688086
1200,1351257.6850522405
1300,1271469.972814036
1400,1203921.723644682
1500,1172819.1182498944
1600,1107484.5122387777
1700,1071517.8876949109
1800,1018056.9664128954
1900,953698.3720567505
2000,916596.3798092863
2100,900185.1375691933
2200,866626.0465281118
2300,820316.8641653385
2400,764875.2589948004
2500,757934.7747027432
2600,696825.6906639506
2700,677111.4382720258
2800,663341.291625038
2900,626873.5793144534
3000,573935.7875325101
3100,551708.6878482678
3200,539195.9097455107
3300,471361.1602024835
3400,449684.740773476
3500,438778.7647495981
3600,418216.9051722209
3700,394447.5465346168
3800,343178.8038106447
3900,352418.49533035606
4000,309133.730392753
4100,290731.7567115069
4200,295201.0752299474
4300,277699.4952336539
4400,243315.09130985994
4500,232212.97644040317
4600,225715.718154747
4700,196786.30335335006
4800,209286.5963080207
4900,164335.00645154476
5000,154087.79598526043
