milliseconds,L
0,231.1399775535021
100,306.0131628918635
200,428.52708853339817
300,595.860008042122
400,786.3072710214583
500,1113.907189484303
600,1504.8874899643702
700,2096.7117095862823
800,2805.9279088569156
900,3660.5471388085725
1000,4933.142022162995
1100,4733.469408884559
1200,4459.943916245791
1300,4266.833455357855
1400,4089.45348135049
1500,3913.3257963385736
1600,3743.6029376456904
1700,3567.5994834239796
1800,3391.8966786754218
1900,3240.620465511951
2000,3089.41328556291
2100,2949.9287255459462
2200,2888.126204216691
2300,2732.367517736762
2400,2573.8234911501045
2500,2503.025877547484
2600,2417.0852412567056
2700,2227.948624028164
2800,2212.6156206452147
2900,2037.2896218480626
3000,1975.393133550917
3100,1866.684136337588
3200,1796.217647565289
3300,1660.0844368080081
3400,1573.3766558735963
3500,1477.920730381223
3600,1330.6015393223431
3700,1327.314375717258
3800,1230.1119544987173
3900,1145.3858389977554
4000,1073.8900168218129
4100,976.9054726707691
4200,958.5115917421292
4300,882.1205256654301
4400,799.5462919680268
4500,823.7068067480832
4600,780.2659878028594
4700,663.0710393500771
4800,622.6722344562355
4900,574.0380307694137
5000,589.8115681234943
