milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,5e-08,1.3e-07,0.0,2.2e-07,0.0,1.3e-07,0.0,0.0
100,4.988568136100449e-08,1.298686761217108e-07,1.1431863899550835e-10,2.1995471248213727e-07,1.601852553287683e-11,1.299707276180813e-07,9.870405977675419e-13,2.828173169565504e-11
200,4.979453963514239e-08,1.297396544858005e-07,2.0546036485760539e-10,2.1988909913754468e-07,4.9505428165854646e-11,1.2993860112259652e-07,5.380004115810272e-12,5.6014897401878184e-11
300,4.972296501878428e-08,1.2961261636668188e-07,2.7703498121571803e-10,2.1980646669743078e-07,9.54140925653777e-11,1.299018955256867e-07,1.4932827029840354e-11,8.318530605016635e-11
400,4.9666831748772784e-08,1.294871871019276e-07,3.3316825122721923e-10,2.1971056004551465e-07,1.487442831101396e-10,1.2985934956384677e-07,3.089528392891715e-11,1.0979862521505745e-10
500,4.962298073357595e-08,1.2936307709537912e-07,3.770192664240523e-10,2.196042400005412e-07,2.0596623987065182e-10,1.2981027872285543e-07,5.392936181317077e-11,1.358622271869048e-10
600,4.95887894391451e-08,1.2924004436862433e-07,4.112105608548971e-10,2.194898788934726e-07,2.6438480012236147e-10,1.297543572651914e-07,8.434998028640396e-11,1.6138404629079985e-10
700,4.956213676149865e-08,1.291178915014765e-07,4.3786323850134615e-10,2.1936939208844988e-07,3.220507538008228e-10,1.2969155159516644e-07,1.2218262918221212e-10,1.8637238086042048e-10
800,4.954130763695995e-08,1.2899645713104295e-07,4.586923630400446e-10,2.1924432463020295e-07,3.776150392021878e-10,1.2962205918015165e-07,1.6722250253352255e-10,2.108359977307586e-10
900,4.95252364450912e-08,1.2887563981607705e-07,4.747635549087883e-10,2.1911563427369793e-07,4.303840261392808e-10,1.2954614796476679e-07,2.1919866365640823e-10,2.3478181090336786e-10
1000,4.951280947249323e-08,1.2875533241384228e-07,4.871905275067587e-10,2.1898431824559004e-07,4.797858831433e-10,1.2946424103212095e-07,2.7767659953641673e-10,2.582188294995325e-10
1100,4.950314029161528e-08,1.2863544870282267e-07,4.96859708384707e-10,2.1885116744842449e-07,5.254951295100244e-10,1.293768015452299e-07,3.4218178687550315e-10,2.8115592984486393e-10
1200,4.949561488605373e-08,1.2851592732368425e-07,5.04385113946261e-10,2.1871672528578346e-07,5.674959355945294e-10,1.2928435839267165e-07,4.121772324998218e-10,3.036023664944549e-10
