milliseconds,C,E,T,P,A
0,9.00033959274741,10.00133329988471,1.0164982389950863,-0.0039656025100326025,0.0007655290411501549
100,8.990160577987359,9.987021437657326,1.0069359954434833,0.013168567676924646,-0.0007429966417907194
200,8.983340940530367,9.981080574266057,0.9877633651069208,0.02202597066833139,0.0014017554754623537
300,8.97391072228851,9.974843250066744,0.9834711122442157,0.02949456760046007,-0.0007316305583969253
400,8.962455205464547,9.960725284513021,0.9629880593134933,0.042697463688798,0.0015346849560711816
500,8.9547024935508,9.948372137832221,0.9573619431544856,0.047150750334503146,0.0015291035969402685
600,8.949849210540378,9.940157306062464,0.9351961417226471,0.0601533561441047,0.0018062358573160387
700,8.94354127823905,9.929063691363071,0.9316853923387975,0.06557275909920396,0.00183431778285094
800,8.934534839305906,9.925920634887325,0.9105114716846622,0.0777592455640393,0.003872226532327678
900,8.921852239585053,9.919741464013802,0.9073330324068883,0.08517158676758106,0.003876792452815326
1000,8.921322246480644,9.91006719613416,0.8849609680150785,0.09123687606717686,0.004545006328670024
1100,8.909229801135305,9.894934491332643,0.8722336505789199,0.09361507976536824,0.00626817428081758
1200,8.9019260779336,9.886377403759246,0.8615721313901153,0.10833260215845089,0.005412170061225302
1300,8.89485413377025,9.878943257698085,0.8592382547185703,0.11134191738755886,0.007474024916420623
1400,8.892169184563652,9.872583119726132,0.8446601218072706,0.12014092550255977,0.008150569282582959
1500,8.88472811630656,9.863811668244333,0.826310784492048,0.1301484444135079,0.010310100039287215
1600,8.876964937458602,9.855951502498513,0.8162904172388842,0.13280553661736152,0.012223666182581945
1700,8.868589732024992,9.853257618567495,0.8067580138157382,0.14134292004602794,0.011661417952594417
1800,8.867278860886843,9.848047469194745,0.8009273350724994,0.14384639408521782,0.015407250851990083
1900,8.861179542502502,9.83706320042999,0.7795617373368093,0.15099054707866638,0.01546784463245459
2000,8.854378481398475,9.835624973798915,0.7796768465007278,0.15531133353251161,0.01603014504838107
2100,8.84898393143816,9.82463321803977,0.7621280091999858,0.16028325815064237,0.018344140445229647
2200,8.842582893041385,9.814444190595548,0.7551440144661379,0.16980812887311184,0.019538770969163753
2300,8.84167950571416,9.808398520431401,0.7408138102007873,0.17706252690475177,0.022764060819706444
2400,8.834455830749798,9.806925847879892,0.7400289303157337,0.1779927848747186,0.02515297414979698
2500,8.82483270342697,9.802316017493657,0.7323804604950312,0.18402753270829386,0.0250330719141847
2600,8.820923494348381,9.794686793823008,0.7106505849417664,0.1922253591806627,0.028745920410500794
2700,8.815302443583349,9.787361551411832,0.7003191776532168,0.19758356574522692,0.029244083016629077
2800,8.813559068296312,9.786268374356451,0.6926700167291516,0.20180793228798333,0.03130963259422211
2900,8.807402455765633,9.780184951889671,0.6886792190396692,0.2081719346719383,0.03299181401033438
3000,8.803306762466367,9.768895953284769,0.6812042738200125,0.2087563662460075,0.034981419644073676
3100,8.803669172691965,9.764503487389781,0.6722106757152129,0.21380177523269178,0.03759969598509023
3200,8.798334610874162,9.763785607061804,0.665076743685495,0.21379904548379683,0.03942647128587334
3300,8.794072323928976,9.755979994694266,0.6534061832507535,0.2250299024310701,0.04198391709557188
3400,8.786618650961307,9.753946223592093,0.6412831464523278,0.22225989052369893,0.04537483148621494
3500,8.78489652326515,9.743269458539134,0.632570650976928,0.2255323044226241,0.04580635789751223
3600,8.782206780231114,9.735425714264926,0.6245692102666851,0.23574328107515727,0.04990677285262441
3700,8.77831866811995,9.730047793584534,0.6183685502807693,0.23890612993814717,0.05222770098428858
3800,8.775418015177763,9.727415458256912,0.6124064400179721,0.23663967973597252,0.05236292402684585
3900,8.770071654548746,9.729215210004169,0.5996029426653771,0.24477930975636414,0.05578101186079475
4000,8.767939099284003,9.717461735644962,0.5939700882148874,0.24655161479441434,0.05927156771362772
4100,8.762896189064378,9.719353368528989,0.5933047680757195,0.2482383772402788,0.061857158906307136
4200,8.763362543496756,9.712884907005382,0.588325350122086,0.2548350113421557,0.0634884938730559
4300,8.76146586851828,9.707122214862524,0.5785083319702058,0.25624380510156364,0.0645485304945517
4400,8.755060519151264,9.702159932054789,0.5601231972465988,0.2596614752515706,0.06851840368220206
4500,8.756306513071968,9.697606813000283,0.560453916295697,0.25754209745607787,0.07078168897832747
4600,8.749577781316585,9.697307209854575,0.5592154709296542,0.2641138263656916,0.07288729107952768
4700,8.747456240828752,9.694736826206887,0.5527357577733486,0.2681248587072757,0.0762925171373032
4800,8.742930889438759,9.68628809776198,0.5434916208668088,0.26961393196785205,0.07807800368130337
4900,8.740995097511117,9.683618222001753,0.5390089218175235,0.2704462233900987,0.0815645322110347
5000,8.742164940987422,9.684740824895451,0.5211660050883873,0.27124456933017915,0.08291046976603623
