miliseconds,CRP,PC,PC_CRP,C4,C4a,C4b,C2,C1,PC_CRP_C1,C2a,C2b,C4b_C2a,C3,C3a,C3b,dC3b,MASP,dC4b_C2a,GlcNac,GlcNac_LF,LF,GlcNac_LF_MASP,PC_CRP_LF,PC_CRP_LF_MASP,GlcNac_LF_CRP,GlcNac_LF_CRP_C1,C4BP,C4BP_PC_CRP,C4BP_GlcNac_LF_CRP,iC4b_C2a,C4BP_C4b,C4b_C2a_C4BP,dC4b_C2a_C4BP,PC_CRP_LF_C1,C4BP_PC_CRP_LF,GlcNac_LF_CRP_MASP,PC_CRP_LF_C1_MASP,GlcNac_LF_C1_MASP,GlcNac_HF,HF,GlcNac_HF_MASP,X
0,1.9999042219410177,0.03285012840392517,2.1487166233738208e-08,770.0000015890034,-2.864568733071875e-07,-1.483748471155371e-08,310.0000023104299,2469.999999524977,-2.9383868075507663e-07,1.5723256845632576e-06,-1.0132911774342469e-06,-7.390440224522161e-15,4650.0,2.578001670988303e-15,-9.23644165733361e-15,1.7305819041512035e-15,6.8000000002078975,-5.656015821518449e-17,-1.4278136966530858e-31,6.923342963374782e-30,20.00000000024758,-7.934350205184296e-29,1.0503113991574852e-11,-9.361388042888407e-12,-1.4171320249633923e-35,-1.0215273845960349e-35,259.99548042177616,-9.092149614341387e-06,1.7208023776199427e-33,-1.3138805059062063e-13,2.6238350914141687e-06,-5.401128199261336e-13,-5.072698795083024e-16,-2.7635375061128874e-10,0.0,9.591909025540401e-36,-9.865410126075857e-11,0.0,0.0,0.0,0.0,0.0005
100,1.9999047684508542,0.032621520311302214,7.1376639234626655e-06,770.0000014227444,1.9062279394283353e-06,2.7432757224806326e-08,310.0000022030892,2469.9999988564673,6.926553280716509e-07,-9.201849791534567e-07,5.857929337676338e-07,-8.288644650643462e-15,4650.0,-4.336248540002968e-15,1.0759276353059837e-14,4.562792400693077e-16,6.800000000190851,1.1226616848010903e-18,-7.486784010013421e-31,-2.545152529658547e-29,19.999999999162565,-6.283503405376745e-30,8.776081594431658e-10,8.173034236354487e-12,8.095328517773917e-36,6.765247692182955e-35,259.9962926988054,0.00027958214050557447,-4.775264981934159e-33,-3.764508207208089e-14,-1.8977086420962921e-07,-2.1398421407598588e-14,-6.20000903018355e-15,-3.221440329629401e-10,0.0,-1.0504526846419363e-36,-2.922792658479375e-10,0.0,0.0,0.0,0.0,0.0005
200,1.9996068139361438,0.032458774971755436,7.096272060594245e-06,770.0000006252102,-8.38796587936857e-07,2.002940234168759e-08,309.9999997953276,2469.999997564799,1.5880205268431294e-06,2.4396927354395454e-07,3.06728651610965e-06,1.2424678215357142e-15,4650.0,-1.0609120785839378e-14,6.557184989724026e-15,-3.881280379839376e-16,6.799999999671388,6.676297354349593e-17,1.8516641496709945e-31,1.9317557818713445e-30,19.999999998167706,4.1368919495395547e-29,1.5765484164386418e-09,4.3835622043196354e-11,-1.1867423456479013e-35,-4.151004139761428e-36,259.97618055193607,0.00031153209475372255,4.27307614087004e-33,-1.2216461010671415e-13,-6.669908234143861e-07,2.9862530925380106e-13,-6.565073094277104e-16,2.8497025908992934e-10,0.0,-4.78484360613464e-36,-2.299370386995321e-10,0.0,0.0,0.0,0.0,0.0005
300,1.9993924516820685,0.032344585891374886,7.118295802826723e-06,769.999998225,-1.3224678320269797e-06,5.7311529136437105e-08,309.9999991802405,2469.9999955047633,3.98195341077582e-06,2.525041411173187e-06,2.794065521860571e-06,7.987444160151012e-15,4650.0,2.1456161931266537e-14,-1.3844676711023919e-14,1.4798801749604186e-15,6.799999999961385,-3.270862114069942e-17,5.548768186949088e-31,9.411479603762752e-30,19.999999996295156,-1.1239745374532257e-28,2.2504222161249704e-09,6.617012364301104e-11,-1.1398285078650864e-35,-5.159241669540631e-35,259.97423173667215,0.000559225492392987,-1.8930609026992935e-33,3.560573268094974e-14,-1.7072288446213177e-06,3.174812602677154e-13,5.2295037528464874e-15,3.09729800248506e-10,0.0,-6.614813234941225e-36,9.238171215860007e-11,0.0,0.0,0.0,0.0,0.0005
400,1.9991868593522433,0.03204935738660478,7.207597518690877e-06,769.9999956779143,2.6750695786966897e-06,3.832078843540184e-08,309.99999606323087,2469.999995384534,6.091620657007863e-06,3.8070153598005267e-06,-1.2981580152606418e-06,1.0195293473951812e-15,4650.0,4.833364469585794e-15,1.1155642879083956e-15,-1.5524704585587293e-15,6.799999999802933,-7.879161743501933e-17,-7.4064732022593924e-31,-3.1711085267841804e-30,19.999999996037747,7.714029133452375e-29,2.716820254536901e-09,1.0993699799984207e-10,5.245129118484667e-36,5.610726853097561e-35,259.96049303131366,0.0006221579391347625,7.647428928527161e-33,-1.087625985502791e-13,1.126349038390546e-07,-1.9195266483778215e-13,-2.1976224820520958e-15,1.1350042116686277e-09,0.0,3.815714569322566e-36,7.362017599836381e-11,0.0,0.0,0.0,0.0,0.0005
500,1.9991678710480763,0.031905241376358535,7.16476064701153e-06,769.9999953214967,2.5895932237655537e-06,5.7739953873523586e-08,309.99999783595007,2469.9999938052333,6.6230837216515164e-06,6.889780100865369e-07,-4.841436085309954e-07,2.3439588591171147e-16,4650.0,1.880158226301488e-14,-5.10943568339524e-15,1.6201362869440112e-15,6.79999999963946,9.372070555500163e-17,-1.1360832953772909e-31,2.847217261369568e-29,19.999999994974665,1.1106485085651251e-27,3.1310619970284566e-09,1.5551061284498863e-10,7.896394610545774e-37,2.901097790619081e-35,259.95182820329876,0.0008481314545077228,2.5961860873492607e-33,1.1919705700444555e-13,1.9435928994122586e-06,-3.3825481402156945e-13,-2.560093897008311e-15,1.5987771166092762e-09,0.0,-5.9905430738589786e-36,-1.4545112319289093e-10,0.0,0.0,0.0,0.0,0.0005
600,1.9990023856106325,0.0317740359041102,7.176517920104637e-06,769.9999956606662,1.6951793338617997e-06,9.244328270356554e-08,309.99999600177114,2469.99999139295,8.53841224482656e-06,3.0690675401458468e-06,1.6183227728333227e-06,-2.883592519766359e-15,4650.0,1.543654004930157e-14,-8.389318658446924e-15,2.352011597376879e-15,6.79999999966474,2.73759368262273e-18,-6.69998322675611e-31,4.313148241673427e-29,19.999999994601982,1.5858641549156836e-27,3.4130378764708274e-09,2.051241819839572e-10,-2.3571439713125983e-36,3.9456889572217624e-35,259.9472118693247,0.001115095010712663,9.216582782883769e-33,9.681030938424206e-14,9.267180167864587e-07,-4.2710213868917855e-13,2.4954482936292676e-16,2.290768859693603e-09,0.0,4.131144983587629e-36,3.989654412197702e-11,0.0,0.0,0.0,0.0,0.0005
700,1.9988194563194754,0.031455692811910796,7.139918726298107e-06,769.9999948150179,1.8871048995968111e-06,8.634850740158905e-08,309.9999942034874,2469.9999915015314,1.0064350069955614e-05,5.216855775547666e-06,5.9871660978788325e-06,-1.185218851719108e-15,4650.0,-1.4824142116409284e-14,3.186428852013602e-15,2.0169183864608114e-15,6.799999999261362,9.880966203513379e-17,-2.569384960044916e-31,1.5533955699956032e-30,19.999999992347956,-2.1041368602454046e-27,3.733754583646065e-09,2.4912285872680886e-10,1.861353303068142e-35,-7.226230324942941e-35,259.9424163982804,0.001210038090141152,2.9839878673432962e-33,1.0871240171299094e-13,6.006481861003922e-06,-6.005416851504684e-14,7.313724282566216e-16,2.9051100480141277e-09,0.0,3.454408136581647e-36,1.2490343565772975e-10,0.0,0.0,0.0,0.0,0.0005
800,1.998479414550133,0.03147914509582708,7.182195156458935e-06,769.9999924378733,2.3479455973689008e-06,1.27323498499005e-07,309.99999732744163,2469.99999019278,1.107049352422836e-05,5.621007389218051e-06,3.0863615793008295e-06,-4.461687908485549e-16,4650.0,1.0501986362731663e-14,-8.292813694630866e-16,9.011131104050213e-16,6.799999999388072,-9.492143037899181e-17,-6.136551966602279e-31,-2.5370222552458383e-29,19.9999999920386,-6.0926610498596504e-27,3.994186474927934e-09,3.075844285422736e-10,-1.54481103504843e-35,-2.552619381383746e-35,259.93215382321495,0.0015050248465002082,-4.613156321316978e-34,3.17473056174794e-14,4.150029914246004e-06,3.067474141794326e-13,7.482584222695385e-15,3.141702726853655e-09,0.0,9.681972805968662e-36,6.982607275787362e-10,0.0,0.0,0.0,0.0,0.0005
900,1.998419691935117,0.03112598077785141,7.2160973963501834e-06,769.9999925057207,6.650751692576044e-06,1.3302029991250244e-07,309.9999967280835,2469.9999875843096,1.0994513404868976e-05,4.877388516615142e-06,8.828759073034949e-06,-6.339730247219497e-15,4650.0,3.252604354009583e-16,-1.1905445056363862e-14,-9.518648591398454e-16,6.799999998988828,1.0463569524411633e-18,-7.056623358538562e-31,-8.405784939223866e-29,19.999999990216338,-7.780008706878532e-27,4.131307450195224e-09,3.4714969345834877e-10,-4.715416952537776e-35,4.4604568477978176e-35,259.92266910516184,0.001609704513964712,9.194037873648418e-33,-7.895586163055109e-14,7.5806748685664186e-06,-6.699443790658257e-13,-1.964744451310612e-15,3.862821048565237e-09,0.0,-2.4172889894341495e-36,4.6008655669885586e-10,0.0,0.0,0.0,0.0,0.0005
