miliseconds,CRP,PC,PC_CRP,C4,C4a,C4b,C2,C1,PC_CRP_C1,C2a,C2b,C4b_C2a,C3,C3a,C3b,dC3b,MASP,dC4b_C2a,GlcNac,GlcNac_LF,LF,GlcNac_LF_MASP,PC_CRP_LF,PC_CRP_LF_MASP,GlcNac_LF_CRP,GlcNac_LF_CRP_C1,C4BP,C4BP_PC_CRP,C4BP_GlcNac_LF_CRP,iC4b_C2a,C4BP_C4b,C4b_C2a_C4BP,dC4b_C2a_C4BP,PC_CRP_LF_C1,C4BP_PC_CRP_LF,GlcNac_LF_CRP_MASP,PC_CRP_LF_C1_MASP,GlcNac_LF_C1_MASP,GlcNac_HF,HF,GlcNac_HF_MASP,X
0,2.000066050427575,0.03280776366066001,5.119875544535053e-08,769.999999982186,-1.5383834741045122e-06,1.5375682787199565e-08,309.99999776416684,2470.000000631453,-2.397026442248978e-07,-2.187333461310663e-06,-3.7808588645919834e-07,-5.146196634721128e-15,4650.0,-1.7253845721439476e-14,3.832234866602135e-15,6.228047458096649e-16,6.799999999889564,7.221317532676725e-17,9.281962912376484e-33,-6.087050955375548e-30,20.00000000009253,-2.1448618392955622e-29,4.634512034836689e-11,-2.09563218865365e-12,-1.2122092081411088e-35,-2.8822360060336623e-35,260.00415652065413,7.950509597647428e-05,8.671140238491075e-33,-1.6134305047843175e-14,1.8627861756122893e-06,4.853988036672243e-13,-4.295586656127061e-15,-5.6153040106656137e-11,0.0,-7.138448015536093e-36,-1.5217690223359226e-10,0.0,0.0,0.0,0.0,0.0005
100,1.9997624347385223,0.03255633223617063,7.1734635597079074e-06,769.9999969751018,2.9366687170868464e-06,-3.196730486099872e-10,309.99999841467627,2469.999998648896,9.94065348081908e-07,-2.2914023959084706e-08,2.2076698443498813e-06,-3.2210132897230756e-15,4650.0,7.395624997926019e-15,-1.3413553463144717e-14,2.0694974710007563e-15,6.80000000024551,5.045207811603384e-17,-4.3420120605006415e-31,1.5980435594456115e-29,19.9999999984291,2.9255049156688593e-29,8.506997836179446e-10,1.0982268743096514e-11,-1.368243467382151e-35,-4.082707498199338e-35,259.9967913068072,9.390669391896187e-05,-4.1283993769318025e-34,-2.0414159806739853e-15,-3.8416267977633693e-07,-5.964887800705619e-13,-5.411317750220924e-15,2.960977937895414e-10,0.0,-5.630048487281738e-36,-2.0339018260418595e-10,0.0,0.0,0.0,0.0,0.0005
200,1.999613152039466,0.03243443426429493,7.1646635984954224e-06,770.0000016512713,1.5153348158863064e-06,4.0628641914082825e-08,309.99999703116134,2469.9999967393055,2.356680174546538e-06,-1.4881015658759075e-06,6.317955786679468e-07,1.9326918791319484e-15,4650.0,-1.3476507505846203e-14,-8.1246302312295e-15,2.3227607513243643e-15,6.800000000219824,3.7929760399557045e-17,3.2865859305753547e-31,-1.546426810584187e-29,19.999999998670386,4.886718298261321e-29,1.6242215666744837e-09,3.763190406664423e-11,-1.5137719676420205e-36,-3.0657846085028524e-35,259.9767961207231,0.00043171046578513336,9.266229000027612e-33,-2.6523962299439237e-14,3.085579371325636e-06,4.1520473344506133e-13,-1.980605724338819e-15,4.269584635741986e-10,0.0,-9.59713483236937e-36,2.82356542131774e-10,0.0,0.0,0.0,0.0,0.0005
300,1.9995658672190297,0.0323205761427878,7.171404353757779e-06,769.999999955022,-9.36773017823375e-07,5.859525922676468e-08,309.9999988519498,2469.9999959064057,3.3313235554874715e-06,2.674596558850793e-06,6.03676918749672e-07,7.319787758504838e-15,4650.0,1.1732008581329327e-15,8.976378384714416e-15,-2.6549119408759224e-15,6.799999999843863,2.4492896696627953e-17,3.166737966790428e-31,-2.2891807281885475e-30,19.99999999711426,-3.965781848262786e-29,2.268713543410259e-09,7.95940702128571e-11,1.5087969244749322e-35,3.578913977095822e-35,259.9723458514765,0.0005105934916147573,-2.7050712452321523e-34,-8.208098733915894e-14,-1.6951922739467386e-06,-3.163396088212129e-13,-8.312770223204775e-15,9.044046635783642e-10,0.0,7.062641749705892e-36,-5.795913877088839e-11,0.0,0.0,0.0,0.0,0.0005
400,1.9993820269156506,0.032005833926489646,7.1207661290288024e-06,769.9999993414085,1.0270632525686744e-06,6.724285064439712e-08,310.0000001513678,2469.9999945828026,4.924611631154337e-06,-1.2539936986849252e-06,1.9505435048071856e-06,6.156251635915149e-15,4650.0,1.0094880255348893e-14,1.0024532083830222e-14,-2.8352059215893166e-15,6.7999999998529725,-5.47983536377417e-17,5.926418503743544e-31,1.837888431661856e-29,19.999999995525442,3.573113111365254e-30,2.7593906882656218e-09,1.1551564099584841e-10,1.6193794588138924e-35,-1.8546484699212317e-35,259.9592089756404,0.0006322445288646886,-1.0300269446441404e-33,1.0142497803946454e-13,1.3849193790570904e-06,2.399610153631736e-13,-7.103036663044719e-16,1.0984116276078978e-09,0.0,1.5329861670580214e-36,-2.207093965192178e-10,0.0,0.0,0.0,0.0,0.0005
500,1.9990665664626202,0.031968160542689535,7.180402560538428e-06,769.999996004226,2.342775672718251e-06,6.01121189778526e-08,309.9999981241324,2469.9999938741225,5.890322336803257e-06,-4.78709613509712e-07,3.0276462782429515e-06,1.1290578717424642e-15,4650.0,-8.619321869211837e-15,1.368779293886258e-14,4.840025335817981e-16,6.7999999994518845,-1.6240111479112088e-17,-2.536230618503394e-31,1.8528591706484476e-29,19.999999995755186,9.633472339738468e-28,3.0754321570490796e-09,1.6464998165269268e-10,1.5793200809764896e-35,7.283679904072857e-35,259.9551578996003,0.0008657328894083797,-5.614636466810316e-33,9.894690417781734e-14,-6.689363482415503e-07,3.894962267639715e-13,4.546363420811817e-15,1.2263579372972453e-09,0.0,-5.362842717654226e-36,1.438979244356312e-10,0.0,0.0,0.0,0.0,0.0005
600,1.9988461013079248,0.031690589993309065,7.170066287958149e-06,769.999997978633,4.816072006358905e-06,1.0109774672119924e-07,309.9999962008985,2469.999992610605,8.614535368304992e-06,2.532643286573308e-06,4.451301546404414e-06,-5.94843015533475e-15,4650.0,-1.0905376340111468e-14,-1.7491340775234995e-15,2.4012096169804565e-15,6.799999999510918,1.4434010589451025e-17,-4.771474359910482e-31,9.58097116602527e-30,19.999999993953264,1.5732418198586667e-27,3.464406878593003e-09,2.1159879787889343e-10,7.42643658302204e-36,-1.6979545063255301e-35,259.94433084358104,0.0011346620433295594,8.417327853101635e-33,1.3041521268905926e-13,1.8453786124827953e-06,-3.6517985586985157e-13,-6.403637349141031e-16,1.876895761194923e-09,0.0,6.115300061501695e-36,3.6202129434793413e-10,0.0,0.0,0.0,0.0,0.0005
700,1.998654622065011,0.03160506895110684,7.213970919088776e-06,769.999993341967,4.136274475266306e-06,9.235579990474625e-08,309.9999945667015,2469.9999915613857,1.0005204141856599e-05,3.3496551610173305e-06,7.620649714749521e-07,8.092218851319518e-15,4650.0,-6.356477745225523e-15,1.3573473657181496e-14,-2.3159958002866126e-15,6.799999999188943,3.669875497951711e-18,4.604639859215522e-31,4.2424202557488494e-29,19.999999993154148,-1.8882523039867286e-27,3.712935156491245e-09,2.6349048741679187e-10,8.150992366724663e-36,-4.827960612948735e-35,259.93184015009234,0.0013376898431858106,-5.047381338908284e-33,8.947761587194418e-15,6.122489509056567e-06,7.085538564323494e-13,-8.107780992677766e-15,3.1560101541453257e-09,0.0,-8.136033016657203e-37,4.424178735600001e-10,0.0,0.0,0.0,0.0,0.0005
800,1.9985074678289916,0.03143379223816749,7.184009027403664e-06,769.9999948835228,4.091807896887948e-06,1.061621925973325e-07,309.9999955891321,2469.999989363692,1.1051753755521567e-05,2.1784444959292493e-06,3.910551029463194e-06,4.269578412934443e-15,4650.0,-2.5756176704487785e-15,-9.08884584512334e-15,-2.457908283631059e-15,6.799999999235099,-7.817362001986953e-17,-3.381370280010927e-31,-2.86729355804589e-29,19.999999992636546,-6.190695948365911e-27,3.921407509008768e-09,3.003286487771657e-10,-1.9550492998449275e-35,3.8355313817124047e-35,259.9309055409493,0.0013647011681235477,-3.0588996864799493e-33,-1.3487218555903577e-13,6.048215262271613e-06,2.2413527989122243e-13,-2.5930572728303766e-15,3.342058537249336e-09,0.0,3.344824289720671e-36,2.1303044186227331e-10,0.0,0.0,0.0,0.0,0.0005
900,1.9983051349035656,0.031193309480988755,7.231440001082066e-06,769.9999962336134,7.139552779021076e-06,1.0565692462045609e-07,309.99999656827885,2469.99998812649,1.1026115136799711e-05,4.52185376856601e-06,6.32458442169106e-06,8.532229651731045e-15,4650.0,1.9533089839111587e-14,6.845208610221605e-15,1.874547729136085e-16,6.7999999993386595,-1.1641940631652979e-17,5.986759649541753e-31,-1.010838413688809e-28,19.999999990620413,-7.957570226390394e-27,4.1542634112988355e-09,3.432414930627907e-10,-5.111197733671134e-35,3.6531880893942644e-35,259.9183509121415,0.0015199524988434407,-4.341050219450196e-34,4.171937449425683e-14,3.64837351036329e-06,2.5672110242812343e-13,3.80858644752742e-15,4.202038635767424e-09,0.0,-8.401801504127334e-36,6.21233655794059e-10,0.0,0.0,0.0,0.0,0.0005
1000,1.9981987312029006,0.03108167246947072,7.236715364354506e-06,769.9999893300161,8.191194109978027e-06,1.520927005386122e-07,309.99999424675826,2469.9999867982583,1.2234340052005612e-05,8.327445244868168e-06,7.336416522315719e-06,-2.0591501457359279e-16,4650.0,1.4181346779808963e-14,7.591549460233355e-15,1.090741948474689e-15,6.799999999001866,5.268568237994903e-17,-1.280687469592002e-30,-1.7584544672241608e-28,19.999999990087474,-8.106926863993102e-27,4.225266180053254e-09,3.793602684676886e-10,-9.68994323698754e-35,-6.040204216402969e-35,259.9047662907246,0.0018254154668290374,-9.599827085782805e-33,8.112745544253696e-14,6.811199113314043e-06,2.3759534347691494e-13,5.205805877069258e-15,5.014366874879288e-09,0.0,-1.7840874727356193e-36,6.226879209916916e-10,0.0,0.0,0.0,0.0,0.0005
