miliseconds,CRP,PC,PC_CRP,C4,C4a,C4b,C2,C1,PC_CRP_C1,C2a,C2b,C4b_C2a,C3,C3a,C3b,dC3b,MASP,dC4b_C2a,GlcNac,GlcNac_LF,LF,GlcNac_LF_MASP,PC_CRP_LF,PC_CRP_LF_MASP,GlcNac_LF_CRP,GlcNac_LF_CRP_C1,C4BP,C4BP_PC_CRP,C4BP_GlcNac_LF_CRP,iC4b_C2a,C4BP_C4b,C4b_C2a_C4BP,dC4b_C2a_C4BP,PC_CRP_LF_C1,C4BP_PC_CRP_LF,GlcNac_LF_CRP_MASP,PC_CRP_LF_C1_MASP,GlcNac_LF_C1_MASP,GlcNac_HF,HF,GlcNac_HF_MASP,X
0,1.9999152660946342,0.03271716989417796,-5.1604822057253016e-08,769.9999970079651,-7.749540015743422e-07,-2.557473713675773e-08,309.9999977576948,2469.9999995614126,4.5026610023431717e-07,2.931511538964392e-06,-2.444584652297769e-06,-6.406551675502378e-15,4650.0,-5.347639484993878e-15,-2.944868860452926e-15,1.8967366747306016e-15,6.799999999970682,-5.937738210555332e-17,-7.642365040723077e-31,2.003800198712418e-29,19.99999999999409,-3.939095198950715e-29,4.1297505353315655e-11,1.669090558571339e-13,1.400567487589385e-35,-5.932158637659374e-36,260.0046300768582,-1.278071978761979e-05,-6.827756838199312e-33,-2.0329788871633544e-14,2.1574886882559705e-06,1.2997611369741484e-13,2.700311697444969e-15,-3.8565481844146834e-10,0.0,-8.160557960301157e-36,-6.040207088678692e-11,0.0,0.0,0.0,0.0,0.0005
100,1.9999195335544995,0.03248996232613512,7.137201500407586e-06,769.9999981938627,1.3328884585911052e-06,-2.808172542057462e-09,310.00000146423287,2469.99999898875,2.0532694694418065e-06,-8.559841726267704e-07,1.5358163316009259e-06,-4.86668635632341e-15,4650.0,1.6547585660434727e-14,9.00655163040955e-15,1.0079571283763989e-15,6.800000000167196,-1.0069224791347155e-17,3.576986028964868e-31,-2.5391958382131894e-29,19.999999999324423,-1.028040670200374e-28,8.578607890028383e-10,4.620270164262672e-12,8.84570352741031e-36,8.019203407120219e-35,259.995218859299,0.00012760200489029863,-5.855160259487309e-33,-1.2803747228708113e-13,1.5242984519493837e-06,7.293563531647938e-13,6.653022889482593e-16,3.625102219296647e-10,0.0,-5.0202542416781304e-36,-2.51449373533866e-10,0.0,0.0,0.0,0.0,0.0005
200,1.99962240946973,0.03241492118987496,7.111414389891494e-06,769.9999987050618,-5.434509422591276e-07,-5.494706698281689e-09,309.9999989836342,2469.9999970547533,2.561005646407077e-06,1.490195275078456e-06,1.1947192289379188e-06,-8.693856748303509e-15,4650.0,3.9829722151592944e-15,-1.1966578880614045e-14,1.0060388732951825e-15,6.799999999909988,4.087794313428827e-17,5.843805209873006e-32,2.032656541766834e-29,19.999999998003986,1.3895670125828605e-29,1.6178770056812978e-09,4.507756389991166e-11,8.614392628185407e-36,-4.861717041521117e-35,259.98399225573144,0.00042138288010910987,7.746376894018398e-34,-2.2992295958083644e-14,2.958464289313062e-07,-9.593644905967576e-14,6.152633647046526e-15,4.702123408026902e-10,0.0,9.53003199671543e-36,-1.1268511043196088e-10,0.0,0.0,0.0,0.0,0.0005
300,1.999543418172006,0.03233847621997704,7.196650582839216e-06,769.9999962748882,-1.6065306751303228e-06,5.780732837852602e-08,309.9999976755967,2469.999995334524,4.1779347876023695e-06,5.27168183324813e-07,2.957027201972639e-08,-2.179694845276701e-16,4650.0,-7.072749873066172e-15,8.50550097094825e-15,-2.1207601017146067e-15,6.799999999916902,-4.4485461689998154e-18,-8.432072234997669e-32,-1.6195225486706385e-29,19.999999997183473,1.0012913695393605e-28,2.22829156030732e-09,7.174215081349047e-11,1.6037815019449216e-35,-2.9012642150428713e-35,259.9680697590386,0.0006158869846265617,5.4980910893895014e-33,3.743749240187188e-14,1.5896367402679098e-06,-5.610201439327456e-13,-1.5393986700063024e-15,6.065440210468922e-10,0.0,2.7532218232467663e-36,-1.748281428432557e-10,0.0,0.0,0.0,0.0,0.0005
400,1.99936956541261,0.0320900779181587,7.1317730559888595e-06,770.0000004667327,4.009037303357102e-06,3.727799179384923e-08,309.9999980174326,2469.9999944992924,4.723598658698843e-06,-7.071159832511906e-07,2.358242740972803e-06,-5.606147238354267e-15,4650.0,-4.879003271060098e-15,1.2700245721599154e-14,-1.6736582143241882e-15,6.7999999999995895,-9.255112284978588e-17,2.3388676298624894e-31,-3.784037366045566e-30,19.99999999664734,5.90719307786892e-29,2.7733318704541977e-09,1.1193737695601746e-10,-1.362623499611333e-35,3.9690817816982384e-35,259.95783445081275,0.0006885261905434695,-2.670457786790578e-33,-4.9836720877392186e-14,7.098884317014178e-07,-4.0380034691127024e-13,5.345925546053802e-15,1.0592130861204398e-09,0.0,-5.5589767680197667e-36,-1.3693804455730803e-10,0.0,0.0,0.0,0.0,0.0005
500,1.9991912914388417,0.031983057251031344,7.183712169171609e-06,770.000000107681,3.8081397267501365e-06,4.1295349219563045e-08,309.99999635388957,2469.9999937749017,5.747674752138452e-06,-8.86361164028832e-07,3.4217067055454984e-06,1.9555285962013633e-15,4650.0,1.1811121581972801e-14,-2.8262909264743442e-15,7.90740014030426e-16,6.799999999636621,1.98888240447459e-17,-7.710059125727682e-31,-2.9667475656811174e-30,19.999999994661017,1.1553645673275072e-27,3.1681664911999253e-09,1.7374713379840984e-10,-1.1671783296452917e-35,3.620558736290063e-35,259.9595588440041,0.0008542626208884195,6.271789245003688e-33,9.167095666337384e-15,4.01545926215025e-06,2.4559946353304224e-13,-4.492623661810596e-15,1.7067232565936617e-09,0.0,-1.1660106701662666e-36,1.7722415442301178e-10,0.0,0.0,0.0,0.0,0.0005
600,1.9988720333730672,0.031612605763966746,7.20820089026583e-06,769.9999996543211,3.0005982264624637e-06,5.251378515246118e-08,309.9999960053129,2469.999991823802,7.112744776941032e-06,4.785994362816556e-06,3.852545890062535e-07,2.6476337828368216e-15,4650.0,9.182682947592748e-15,-2.986143112905744e-15,1.3630600376822706e-15,6.79999999929209,7.651603434232972e-18,5.453577245600624e-31,3.882999802481602e-29,19.999999993257685,1.4379211613459086e-27,3.507962907283441e-09,2.1723798687165887e-10,5.740167823238874e-36,-1.017016702543031e-35,259.94942872349,0.0010023305911876141,-6.491329619960665e-33,1.2505257064999673e-13,1.8106073528800686e-06,8.935311533426786e-14,-5.952992317984479e-15,1.9819769001459218e-09,0.0,-1.645042737374845e-36,4.774741739462396e-10,0.0,0.0,0.0,0.0,0.0005
700,1.998869088490224,0.03151627362288786,7.215929242275727e-06,769.9999966155874,5.6785978119333e-06,8.81744945084549e-08,309.999997651811,2469.999990942028,9.298193118396129e-06,4.984202253016285e-06,2.143958926630029e-06,2.746507805892938e-15,4650.0,-1.0406368729641757e-14,1.0728208462097918e-14,1.3383695974764572e-15,6.7999999992360705,2.7224852125814895e-17,6.401116465668589e-31,9.646050496230647e-30,19.99999999370874,-2.024816766156759e-27,3.766023051058502e-09,2.475140935505546e-10,1.2558173295753002e-35,-3.183448159922527e-36,259.9317283519341,0.0012686068977351746,-2.9397516835169406e-33,-1.1211586128962256e-13,4.280230336575682e-06,-3.2245430829740426e-13,-7.864943393961379e-15,2.528206597438541e-09,0.0,4.1450374081480905e-36,4.547704149746809e-10,0.0,0.0,0.0,0.0,0.0005
800,1.9985358204189092,0.03132713549956205,7.213794964340895e-06,769.9999932489319,7.056258298921082e-06,1.0054360544242498e-07,309.9999935269119,2469.9999901828883,1.0996959314733954e-05,5.642174055646233e-06,4.161875049550658e-06,4.7090232895516654e-15,4650.0,-7.008506152888054e-15,1.0681316554534423e-14,2.745091635950744e-15,6.7999999990363245,8.00692173752539e-17,-4.849046205375686e-31,5.175465268500905e-30,19.99999999138238,-6.159923923545236e-27,3.938027554209377e-09,3.0640676401633294e-10,7.452927154593493e-36,6.956545508698047e-35,259.9327079157545,0.0013149974925408766,-7.434622536156939e-33,-4.157661440473847e-14,5.288641672604714e-06,-1.8890665368102692e-13,2.1042138468070522e-16,3.323667299086918e-09,0.0,-1.4956600418775947e-36,6.334383579958443e-10,0.0,0.0,0.0,0.0,0.0005
900,1.9983338559167008,0.031082802128409942,7.169592547733158e-06,769.9999946347,5.211012330709229e-06,1.4391441696040503e-07,309.9999960111077,2469.9999892163733,1.1873977847308144e-05,6.404087386351703e-06,7.981967214120004e-06,-6.370358237530537e-15,4650.0,-8.049661656425639e-15,-1.7854568628664837e-15,1.66451319636108e-16,6.799999998791933,6.074873419904081e-17,-9.209870530072632e-31,-1.0665790097453625e-28,19.999999990923826,-8.010872363417634e-27,4.098095105346355e-09,3.314266127221082e-10,-4.988977080590648e-35,7.672372162582178e-35,259.91798961312185,0.0016286719548967207,4.002460257094119e-33,-9.077088273656269e-14,8.744393529888878e-06,-2.2918951384541146e-13,1.8918256464005336e-15,4.076334792643233e-09,0.0,8.957190503672658e-36,5.819698351929835e-10,0.0,0.0,0.0,0.0,0.0005
