milliseconds,Susceptible,Exposed,Infectious,Super_spreaders,Asymptomatic,Hospitalised,Recovered,Fatalities
0,43990.55805955714,-0.7856510121314956,0.8829652782315249,4.945418181213375,0.10844224512619491,0.008054488634097638,-0.1184582777371509,0.0029871423606983053
100,43990.54392693531,6.447005762440808,0.8623557250529081,3.966375276924547,0.2526012203403417,0.6584677260894087,0.4241286841662375,0.3730164447124077
200,43987.12510172107,8.808670222281394,0.811414042154662,3.316229884845867,-0.05013854399454709,0.9421296197134534,0.13137551748745968,0.7737219634619148
300,43984.18931499811,8.405315933216015,1.0142893718453743,2.6782950295652923,0.7909675064916742,1.2765443935284302,0.08768698731057223,1.1092820042659293
400,43982.15602051695,12.588414889874826,0.8055730489105033,2.0311731312761414,0.30139589615021417,1.2455052017644483,0.9147940167596804,1.3438881418791842
500,43977.547803211935,15.932047355379865,0.7649989924777252,1.647079081127753,-0.10966335460867754,1.757171553569969,0.38286305144576477,1.5723502278176829
600,43980.670104581244,15.89961004531948,1.012007461009969,1.3582852922768127,1.2359646411253675,1.9324792981554995,0.8943806932188327,1.6588541754964463
700,43973.042697481906,16.32197872964662,1.1882294689074882,1.0339996459356442,0.9723162110485069,1.7214689779292138,1.2546496519780332,1.842272720855087
800,43976.22211940972,18.949047002820798,1.203590701757306,0.9137805248100315,0.9726045014339744,2.1093230166175885,1.0301781363729405,2.087293308428441
900,43970.55056512676,18.85203151556189,1.2913074170700691,0.5915634950606921,0.5575633915210289,1.935277837626121,1.23417458048337,2.1522432084336662
1000,43970.090016323775,19.565425207362498,1.4280159055003756,0.6074270904619523,1.4053856388377528,1.9510426351847139,1.47198254275289,2.0855862846695157
1100,43965.52240552483,21.85970470116107,1.5587865999476616,0.531137416772725,1.4110153667111005,2.2245931718475958,1.5519017657065495,2.227995111598786
1200,43966.33829138596,23.84122885833215,1.714842893011353,0.3473036506983509,1.7351915148674788,2.1741880128050863,1.7130992612625113,2.3611924790422663
1300,43965.093211933716,24.016125315110195,2.0908866064142466,0.34803294608209,1.9166752701732186,2.28332966255454,2.121412358593654,2.3556340395104356
1400,43965.83240604051,25.251771167417143,1.7903384902877728,0.2948286748217317,1.8617045821422713,2.585603247552977,2.044540019759302,2.372425309640719
