milliseconds,EpoR,Epo,Epo_EpoR,Epo_EpoRi,dEpoi,dEpoe
0,517.6588288862168,2034.2732665318506,-2.1913563024712372,-0.8217111261912947,0.0079041893173605,-0.03336732043082444
100,498.948670940907,2025.2023571993439,13.111432019025429,0.3665175110778521,-0.005723344691794477,-0.0077337106725348164
200,489.49020017554113,2014.3052625930154,25.551506651368598,0.26059178780991665,0.0035084457852763784,0.05204140641943358
300,476.2371977307361,1995.1878530787915,24.9309478369599,2.036621033972312,0.0025958387868826004,-0.011063666107736628
400,478.383447179688,1992.2949705169192,38.69888617015987,0.24519504709604228,-0.008478824634398995,-0.05103273370744536
500,464.97387571580526,1970.6209121180677,56.12163788950254,1.578337949339456,-0.007792953586822719,-0.04289400857805954
600,454.862729982628,1973.384923470948,61.81426115113756,2.767424351608925,-8.002797080283112e-05,-0.02961589523521879
700,454.16233572201236,1954.8186956435868,62.58380270407649,1.3486674446015925,0.00685052423163789,-0.0412423222109758
800,436.6221074393374,1950.824326784148,83.56172520713577,3.6868105830170728,-0.005885816140281312,0.02867698680661298
900,435.285603171727,1941.8151445655926,88.38622759310327,2.3844381951802833,0.0029561748680427733,-0.020417416852608516
1000,413.9762004919725,1933.6755836833383,88.60586847779192,3.8124634066399317,0.011235983989350742,0.02014830731133442
1100,417.84256488128307,1918.0233795799804,103.47965951314973,3.848814634137059,0.0068256660432926735,0.07528894164111484
1200,403.7911745337144,1923.5196654001695,113.14172081885938,4.122915504578175,-0.0026671393929325136,-0.0027464561977071367
1300,389.9509193558925,1917.4452261213257,112.11894450834757,4.3456138708186,0.01844840605646516,0.05801481400183342
1400,393.82370475221825,1897.93392173452,123.43198155878008,8.059178179771592,0.01924204478273766,0.06924800959723998
1500,391.33903521215075,1888.377934475831,126.24609112072781,6.410022846945499,0.0222170536119759,0.0579750233037154
1600,379.14729703865584,1883.215909404717,140.18368335143506,9.301787486638858,0.011637280021934126,0.07034898835096048
1700,364.1095192575904,1881.3193781793357,134.94465252986788,9.145559481998108,0.008254915466712977,0.07242148163866763
1800,366.89150142814054,1880.1565488638662,149.15576175247256,11.294646305120034,0.023119721371487604,0.07510648531758049
1900,365.17182291980527,1859.315877172398,144.64851817002247,11.45097491228025,0.01540020620972077,0.11585423757922136
2000,356.24192753337087,1852.4420804200493,154.23301400019741,13.698983744603936,0.022509626564062652,0.2014351884425538
2100,339.687993382304,1847.9056182721101,156.23965081026913,15.846992222203863,0.039259803328152196,0.21995791136477075
2200,342.4787797620936,1850.4480277096943,161.16730042496627,16.260602573534797,0.03508897265933217,0.16189132586253002
2300,336.7925358283825,1842.5693869477957,167.18953614771627,16.33783800338692,0.05139924664224245,0.25465682712346277
2400,329.45038962245684,1839.9560094931412,176.6486994281794,18.413745424738682,0.0428704616390892,0.2399775635016493
2500,331.13473516014994,1826.960838161692,178.8816505723034,20.568111574044366,0.0609987867506173,0.2706990402016735
2600,310.6874690892133,1830.6281968442954,182.93140467563157,19.29416205983807,0.06840366536329619,0.2820639940623736
2700,305.2333904422873,1819.90598225234,189.0802303884014,23.168491520850377,0.07119680154302038,0.34482819313348073
2800,304.3830505193649,1807.6009792026955,192.9137123179947,21.443385154440634,0.0668425876082047,0.4350477105763113
2900,302.883282538005,1812.9916400653774,203.0242217996878,23.489124061652497,0.08189586452012088,0.46458767804154655
3000,298.56472902891517,1795.255074949134,207.64278635104054,24.12984665790188,0.08990865187557474,0.5156544971804532
3100,297.7658182571284,1786.7613384575557,212.22896103294545,27.59322334397303,0.10101827298459314,0.5592214671420995
3200,296.03755346000156,1781.3219568292966,209.19262913870446,27.13445361888258,0.111095800636819,0.5100275357268754
3300,292.9233559404571,1789.7168290254274,212.14055474732731,31.98694878226193,0.12031023228945112,0.6013120145723894
3400,281.1935864985764,1778.169775064384,213.64479967704978,30.561831792738637,0.12779483276500214,0.6415668370738936
3500,272.3663232771202,1770.8237015262278,223.74759599292565,34.55286660914466,0.13193273316812099,0.7540615301844475
3600,279.7167529337401,1770.0100129656971,222.71522604718163,33.5791574887953,0.15493589872742528,0.7871189156303562
3700,262.2938200725661,1773.6225261287004,220.91936852079374,36.93561985727537,0.15810813641604513,0.7830440626171189
3800,267.0627280599585,1759.3903266360958,236.02793628444192,36.75474717776637,0.1608329095880942,0.9193658880577875
3900,268.3035874543291,1765.6294245345366,232.48588454478897,41.28693907854337,0.17783088247371545,0.9062650139351033
4000,251.70906306691856,1754.0779929226487,233.39185398996258,41.1484255739678,0.19705830813775962,0.971848819772821
4100,261.13316422653804,1742.591864692408,234.9533027784504,42.35492844106317,0.21658724593947037,1.038056422364857
4200,251.70298544044147,1739.6488070621274,239.31027026527946,45.9627538772268,0.22391004287700758,1.11311404622358
4300,255.3526244056628,1740.8361809903427,245.5351733331342,46.79320988495362,0.24123444643845823,1.2051884791655207
4400,246.44725980077743,1741.5339651022766,246.00035865194783,47.184331099815815,0.24871847351184145,1.3424044986302315
4500,240.94412349354485,1732.005606540563,242.76770979292084,48.612692715872996,0.2765596514873777,1.4091505447630983
4600,240.1354874959291,1734.1008265101555,253.60938882801602,51.33905727176089,0.28135457460305785,1.4426974948744125
4700,242.63765874227974,1730.781796691684,247.03069582573568,52.20265622953575,0.2955118825215453,1.5977377123949974
4800,240.91038032393456,1713.264589534819,255.40650600986135,54.04825709751722,0.31383927420475877,1.6633203173570963
4900,227.48412275465645,1726.3590367465797,260.3025702128725,55.302178044314715,0.3445269210896594,1.7690325962717566
5000,222.94282049487674,1719.6464953334053,250.88916238893145,58.18304861143318,0.35953044220812713,1.8314273425456704
