milliseconds,G6P_F6P,FBP
0,3.71728,0.00063612
100,3.719024313724614,0.0006304272947236585
200,3.720768883464578,0.0006299367429896779
300,3.722511588390576,0.0006307001109081026
400,3.7242519164398096,0.0006317643196247593
500,3.7259897437186886,0.0006329014479400579
600,3.727725039414274,0.0006340572257908377
700,3.7294577946401417,0.0006352181658425078
800,3.731188006335956,0.0006363815950708582
900,3.732915672373432,0.0006375465483788593
1000,3.7346407909330837,0.0006387126289831762
1100,3.736363360422224,0.0006398798417085959
1200,3.7380833792552126,0.0006410482383599046
1300,3.7398008458373453,0.0006422178446548395
1400,3.7415157585874614,0.0006433887094979214
1500,3.743228115885457,0.0006445607898082707
1600,3.7449379161489844,0.0006457341349002955
1700,3.7466451577648114,0.0006469087106437485
1800,3.7483498391277728,0.0006480845051716688
1900,3.7500519563372965,0.0006492615306981916
2000,3.751751498806939,0.0006504397612410382
2100,3.753448475405908,0.000651619218254805
2200,3.755142886134203,0.0006527999017394918
2300,3.756834730991825,0.0006539818116950987
2400,3.758524009978773,0.0006551649481216254
2500,3.7602107182310593,0.0006563493120059444
2600,3.761894837039172,0.0006575349071440953
2700,3.7635763822804447,0.0006587217303146689
2800,3.7652553539548776,0.0006599097815176653
2900,3.76693175206247,0.0006610990607530846
3000,3.7686055766032234,0.0006622895680209267
3100,3.7702768098308237,0.0006634813091496939
3200,3.7719454000912767,0.0006646743011043429
3300,3.7736114044173594,0.000665868525153339
3400,3.7752748228090716,0.0006670639812966823
3500,3.776935655266414,0.0006682606695343727
3600,3.778593901789386,0.0006694585898664101
3700,3.7802495623779877,0.0006706577422927947
3800,3.781902637032219,0.0006718581268135264
3900,3.7835531257520802,0.0006730597434286052
4000,3.7852010285375712,0.000674262592138031
4100,3.786846345388692,0.0006754666729418041
4200,3.7884890763054426,0.0006766719858399242
4300,3.790129221287823,0.0006778785308323914
4400,3.791766714015498,0.0006790863569842798
4500,3.7934015583003546,0.0006802954614754813
4600,3.7950337992405405,0.0006815058109415086
4700,3.7966634368360563,0.0006827174053823618
4800,3.7982904710869017,0.0006839302447980408
4900,3.7999149019930765,0.0006851443291885456
5000,3.8015367295545808,0.0006863596585538764
