miliseconds,s2,s4,s7,s15,s19,s21,s22,s23,s25,s27,s26,s28,s32,s29,s24,s35,s37,s38,s39,s40,s1,s18,s41,s42,s48,s53,s60,s63,s64,s65,s67,s75,s76,s77,s81,s82
0,5.0,5.033965932078969,5.019179110170495,4.9997776502917075,-0.00026129619857306625,0.5,-0.0014374536598205112,0.5,0.6411349169913314,0.49994638221760007,5.000061423110782,4.999816727622755,-0.00010509996113335463,0.4999793408001817,0.0008652356878374039,-0.00033701834657526763,-0.0001419911065367993,0.6,0.5000979909844083,6.207590509492021e-05,5.016727379788617,0.00047862692920544393,-0.005568674067945413,5.0,4.990812458339641,-0.00755559844854795,0.0017799100618533367,0.0002227917787071527,-0.0017397449094616406,0.33,0.01838307600787634,-0.00011443994633977527,5.0002226728364745,5.0000060649827756,0.0,0.0004537073794477566
100,5.0,4.6488042162428345,4.87673064975604,4.99805965828594,-0.0011179498999857036,0.5,0.05374965073639581,0.5,0.6348866691035923,0.4999637638233149,4.999591240626684,5.0004244468618,0.00010619821986958413,0.5000502256081911,-0.0009091539012306137,-0.00025868578074592834,-2.0371452458133956e-05,0.6,0.5001672752119013,8.702687124924349e-05,4.685547833754146,-0.000434027935310609,0.25706850036857165,5.0,5.001933462810434,0.015419778055291256,-0.0014415450729991738,0.00018731694398519509,0.006350860121046024,0.33,0.04995534562057258,-0.0001089628770828037,4.9909951441542315,4.991381438610104,0.0,0.008996723924094353
200,5.0,4.379622200704964,4.750935802842711,5.002169709214121,-0.0005160778642503891,0.5,0.10222213142657023,0.5,0.6319315203531258,0.5000587137688897,5.000480940726756,5.000550940815518,2.7498877248529474e-06,0.5000004531540404,-0.00023403392960991783,0.0002151335775114986,-9.129071818873456e-05,0.6,0.5002368724441394,-8.558731110741907e-05,4.367185365120326,0.0010242960879017595,0.407273424985017,5.0,4.910942682154382,0.07871864128297408,0.0033170409993305413,0.00047875682988267007,0.007069944470205189,0.33,0.1747090509130144,-4.073255457976683e-05,4.983205558072263,4.983601507787989,0.0,0.016395653142224992
300,5.0,4.08612440169387,4.56781548380427,5.004351569716932,0.0025579722248162376,0.5,0.1423337703729854,0.5,0.6248833814610804,0.5000205504292882,4.999865950023496,5.000094509923723,-1.286323556333677e-05,0.49995681490715277,-0.0005059741010880579,0.00017828021978497723,9.941770823629703e-05,0.6,0.5001293696778767,8.976953642112247e-05,4.109822624046803,0.0045230788800385505,0.5022925451048174,5.0,4.8597353623853055,0.16516300995915476,0.0027336110591701245,0.0013014246843332327,0.01252861492852925,0.33,0.2687317372595375,8.947840049091663e-05,4.977712369870234,4.977066702788587,0.0,0.022945129889271262
400,5.0,3.7747306194652084,4.388624246014362,5.006958071847029,0.0022315249718194417,0.5,0.18780443336075806,0.5,0.6224775032241725,0.5000487050302823,4.9998922933374335,5.0004612248577205,6.729641228835083e-05,0.5000072288706153,0.000993891450355488,-0.00013080011689851608,2.9704821599948996e-05,0.6,0.4998769511389895,1.088725345797016e-05,3.8200955215015173,0.006082555519027861,0.5685002747157094,5.0,4.763834541183594,0.22310244635683607,0.0053024500095571695,0.0023809867874628014,0.016915277118548424,0.33,0.4247240935385312,2.201730444719961e-05,4.973186614161924,4.972390907217558,0.0,0.02691237734947858
500,5.0,3.496830148071838,4.250172598812901,5.009146934354999,0.0030994738818770824,0.5,0.22131483601987678,0.5,0.6196181601317382,0.49995735203538866,4.999816687004091,5.000290967758608,-4.298109468971498e-05,0.4999952973202455,0.0011345881436798265,0.00019138630590290185,0.0001444654018400425,0.6,0.49996804861599814,3.574775145805153e-05,3.5508003943110835,0.009693946476537553,0.6046677246163789,5.0,4.697242628888354,0.2994111610243217,0.00739378875584387,0.0032587367248866363,0.0210117296299345,0.33,0.5326708912481595,2.107488422542705e-05,4.968125761441157,4.968390008497246,0.0,0.030934641032205466
600,5.0,3.3174711755393993,4.086713655710031,5.014453413880017,0.00478289072376794,0.5,0.2425684848667636,0.5,0.6133728767183125,0.49996324655144364,5.0001204278417575,5.0003684473100005,0.00015170906678376716,0.49998891149100155,0.0005359435031777594,0.0003863503486078765,-2.2410872073183466e-06,0.6,0.5000835937933819,3.583930705127404e-05,3.2483635263640136,0.013000716035646674,0.6386452543161654,5.0,4.599972642705757,0.38612416345631806,0.005739110905025308,0.004126391025583508,0.027176726123289113,0.33,0.635615188444833,-2.4324522059601688e-05,4.965645925368433,4.965559465722918,0.0,0.03502087465490793
700,5.0,3.03988435913852,3.951416744952356,5.019614827185088,0.007543609709628368,0.5,0.2843410456504329,0.5,0.6124942456321634,0.4998262694748521,5.000286914057013,4.9999835857902895,0.00010221236111692125,0.49984545447386725,0.0011249164864766134,-6.032325312700719e-05,5.758972215023988e-05,0.6,0.499713295857119,5.809595824534427e-05,3.031271851631915,0.01800832377518042,0.6642590291493976,5.0,4.505912503769598,0.48998498464503165,0.0085329966222587,0.004983850642789845,0.029226267244675877,0.33,0.7614363982471747,-6.707612902530886e-05,4.962418981682943,4.963140289300985,0.0,0.03687401733358689
800,5.0,2.7930418867194535,3.7696098743383186,5.023894275038574,0.009520316695722638,0.5,0.3026104635891683,0.5,0.6052727373317183,0.4997501187611935,4.999723537373706,5.000344283224333,3.444390125620279e-05,0.49985589380256257,0.002164977104858848,0.0003543510517792645,0.00013469053977487874,0.6,0.49985056804655814,-3.1510306339725195e-05,2.792203649351031,0.02177516906506572,0.6770230898089873,5.0,4.390057044765841,0.5804916632735622,0.015935865420007488,0.005748984205184424,0.03278632142151549,0.33,0.8927948634258389,-6.644993256234981e-05,4.9601162068627325,4.960272775064099,0.0,0.038957840823680916
900,5.0,2.682540252704845,3.652001575793571,5.033273879344742,0.008876172161861809,0.5,0.31978109458187753,0.5,0.6045189672134869,0.4996349195721064,4.999128178597656,4.999431726553741,0.0001703474831108,0.4996502718036805,0.002750114825789164,0.000641971158083194,0.00017405980935337464,0.6,0.4997481690678493,0.00012571361942890016,2.6339840579733496,0.024408894587269,0.6900597427778807,5.0,4.353528516477423,0.6481675642731914,0.01564411017482256,0.006672133469915794,0.03678019440706814,0.33,0.9916084259086038,0.00015657347923752807,4.95901418896711,4.95843467882282,0.0,0.04160202944966497
