milliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195097.037793666,28684882.53319714,22773493.36057201,19.2199,0.0,0.0,0.0,0.0,0.0,0.0,208184371.8079673,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447906.026558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14811.031664964248,47178243.105209395,13047242.083758937,5092441.26659857,237222931.5628192,6.4944,0.009790030992237657
100,32195013.19483971,28685053.666844115,22773428.754487,19.21994844245376,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.793275676448,47177761.13154604,13047233.186829008,5092450.504987859,237222931.22135985,6.494405958174241,0.009790030748856579
200,32194953.032985535,28685187.595274925,22773376.83073513,19.219949690577266,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.791162460611,47177761.13154604,13047233.530290192,5092450.507101075,237222930.87578544,6.494406096478118,0.009790031439520315
300,32194910.483350135,28685292.897242628,22773334.81716013,19.21994843169788,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.793019593386,47177761.13154604,13047233.876028098,5092450.505243941,237222930.53190467,6.494406094231545,0.009790030873034766
400,32194879.907534648,28685377.693882436,22773300.062794097,19.219948023852606,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.793297553799,47177761.13154604,13047234.218368975,5092450.5049659815,237222930.18984172,6.494406095845917,0.009790030692000632
500,32194857.95040462,28685446.977214973,22773270.910410333,19.21994830278534,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.792526462794,47177761.13154605,13047234.557861684,5092450.505737073,237222929.84957793,6.494406096204203,0.009790030817908956
600,32194842.777954765,28685503.478773277,22773246.452743642,19.219948191300663,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.7922928081,47177761.13154604,13047234.896119228,5092450.505970728,237222929.51108673,6.49440609435225,0.009790030766567842
700,32194836.058725487,28685544.713464595,22773227.5152053,19.219948669408875,0.0,0.0,0.0,0.0,0.0,0.0,208184853.78163064,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.79115323571,47177761.13154604,13047235.231674131,5092450.5071103,237222929.17439222,6.494406091158127,0.00979003097848515
800,32194830.88749896,28685581.238919582,22773210.545284443,19.219948676079603,0.0,0.0,0.0,0.0,0.0,0.0,208184853.7816306,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.790746697054,47177761.131546035,13047235.56622009,5092450.507516839,237222928.83943975,6.494406089523396,0.009790030980355302
900,32194830.314542275,28685608.391477466,22773197.112244673,19.219948680005665,0.0,0.0,0.0,0.0,0.0,0.0,208184853.7816306,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.790349212126,47177761.13154604,13047235.899008939,5092450.507914323,237222928.50625336,6.494406088166343,0.0097900309812533
