miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,IR,ROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,AbetaDimer,AbetaPlaque_GliaA,GliaI,GliaM1,GliaM2,GliaA,antiAb,Abeta_antiAb,AbetaDimer_antiAb,degAbetaGlia,disaggPlaque1,disaggPlaque2
0,5.000104313823746,4.999444364579641,94.99942883278779,10.000080223730313,10.000000000012141,5.812962444907876e-18,200.0,9.399254108279053e-21,-2.855628064190753e-17,0.0,-3.652982485997327e-11,9.52900000745782e-16,100.1757372183841,100.28796981245698,-0.26214653268623184,-0.37363996037402114,500.0000001355834,4000.1833008329772,200.0,200.0,200.0,0.002866493188061731,-0.0005937508397638327,8.547546087019198e-05,5.171926289960989e-06,-1.4649990107318377e-06,1.0372909053130306e-05,-1.5666962874714528e-06,9.563960840269475e-09,-5.087706430705269e-09,1.1682663791121415e-20,8.344575915119523e-22,3.11865925581319e-23,-1.5408198643801703e-25,-2.1596580152639863e-09,-4.994878205083668e-13,-1.2587267734035035e-28,500.0001282476173,0.0003005264720187807,5.679377999730688e-25,-1.2472095492049827e-07,4.738110038752366e-16,-7.869603828418497e-13,0.0003782090722976494,-6.844690966045493e-05,6.308546330007365e-06,100.00053406368167,-6.720276729761731e-12,-6.90442436869567e-16,-1.338466448192635e-07,50.0,2.3660303405721857e-14,1.0277725782754889e-12,0.0,100.0,-5.2953249051456875e-17,1.249122645711667e-34,0.0,0.0,0.0,0.0,0.0,-1.8997739183708718e-16,0.0
100,4.99754402479784,5.002258278234561,95.00255387520646,9.999653576598925,9.999999999966194,1.806818802430814e-17,200.0,-1.2831582999452614e-20,1.7023076609003298e-16,0.0,8.90373679191579e-12,-1.049807585605492e-15,94.02822487641463,100.365570194207,5.823799257555018,-0.2554741122095481,499.9999999202833,3995.175838420046,200.0,200.0,200.0,0.000776960771475729,0.0005689835900927556,-1.2802319201135522e-05,-1.146166495948129e-06,-4.0607947998756636e-07,1.4337771143006039e-05,1.1758855613278042e-06,9.605569314946837e-08,1.1542784540367655e-09,-7.985204360965285e-21,7.872768244715735e-22,9.46653776911037e-24,-5.201795314689647e-25,-1.941925956825167e-09,2.3954220907676198e-12,1.0894059511736044e-28,499.9995733085733,0.00015791624822028284,1.373904408423255e-23,3.1919158014025125e-06,2.4420681402872587e-16,-3.233534006401882e-13,0.0010214938046505411,-5.0678439271907685e-05,2.7095752963431958e-06,99.99926519004796,-7.727450757520368e-12,4.245924576108927e-16,1.8414054699005065e-08,50.0,1.0717974605910757e-14,3.887523159380012e-13,0.0,100.0,3.988347850488917e-17,-3.350472601084735e-34,0.0,0.0,0.0,0.0,0.0,-7.35963976414019e-17,0.0
200,4.994073916561351,5.005420009643142,95.00525864007244,9.999563017428727,9.99999999999153,-1.2917695719105189e-17,200.0,1.8794166379744273e-20,-1.1004814025850514e-16,0.0,2.4412552032177322e-11,1.07267075121736e-15,90.39383015555136,99.63372814389795,9.878758952505772,0.1112472039242078,500.00000000889384,3990.1479398188903,200.0,200.0,200.0,0.0031000997600860243,-0.0003699330701833683,-8.654702847864885e-05,-4.511430744943234e-07,5.396776707636375e-06,1.431619405501257e-07,1.3185391502710756e-06,6.223858742526487e-08,1.3220463161527325e-09,-2.310332137842171e-21,2.1015396677866628e-22,-4.3717504733218636e-23,-5.173482343603799e-25,-1.8685679222640303e-09,1.9588778569083837e-12,-3.726181950297887e-28,499.99872685381285,0.001170085448320687,-1.5278567012380157e-23,4.463103258307057e-06,-2.366121178147784e-16,1.033512538111535e-12,0.0019442072497035492,-2.7787528592183604e-05,-1.7129115070122223e-06,99.99752560374158,5.990085264607511e-12,-9.919091591820742e-16,-8.884203686482758e-08,50.0,2.434822327850721e-14,5.252964131317133e-13,0.0,100.0,2.2156909194024552e-17,-3.4258646397985172e-34,0.0,0.0,0.0,0.0,0.0,2.102988421509085e-16,0.0
300,4.991880458208275,5.011693729789004,95.01012735568635,9.999399496979681,10.000000000031761,2.575406190882316e-17,200.0,-1.4144304224402793e-20,1.536470414810545e-17,0.0,8.28399505629451e-11,-1.7409940908166487e-16,84.35497605000714,99.50749239858007,13.636705295168035,0.04590189588697591,499.999999994503,3984.736128728236,200.0,200.0,200.0,-0.0028972514928548043,-0.0004721263749617577,1.1574266379802149e-05,4.6774356030913465e-06,7.03009976892636e-06,-1.1922640370034133e-05,-1.3775492448617642e-07,5.639995968542544e-08,3.866701563246586e-09,1.0123544417811872e-20,7.615006748958088e-22,2.6426782993660603e-23,-1.832022222584763e-24,1.6141198421550885e-09,-6.506871212875893e-13,6.086996308942179e-28,499.9984908649667,0.0011953662678099314,1.2849716262877095e-24,6.541919224867195e-06,3.5554069252104166e-16,-5.91819390843462e-13,0.0027501511483403584,-1.1496647914747915e-05,6.443782350491342e-06,99.99743903246119,1.7876207328860363e-13,-1.0862973755634658e-15,1.3650242830973904e-07,50.0,-8.21855717070593e-15,4.630325832825127e-12,0.0,100.0,-6.746512809898184e-17,1.245287430872168e-33,0.0,0.0,0.0,0.0,0.0,6.384868137560452e-19,0.0
400,4.991440007109766,5.015450927411031,95.01265363582246,9.99886031665272,10.000000000049733,-4.0744813850317463e-19,200.0,-1.7465350635900266e-20,-2.820581490655014e-17,0.0,-5.5805495872475074e-12,-9.593558297113e-16,80.10941918942089,99.66327803560728,19.242878972829892,0.2265166724659352,499.99999983199984,3981.4299017919643,200.0,200.0,200.0,0.0013394700930478085,0.00038054701792338707,1.5935693725893664e-05,3.002652411736321e-06,1.4449889851180737e-06,-7.243284618419474e-06,-4.837324506794014e-07,1.1717536011798098e-07,5.45399873866525e-10,1.8381589866791837e-20,5.445276622640877e-22,-9.20007174587324e-24,9.322931803665486e-25,5.5008146425392e-10,-1.8748114946876613e-12,3.209704023771791e-28,499.99831260492226,0.0019847265713068244,-1.029141440852366e-24,6.107072938836343e-06,4.2039043662831006e-16,6.414131112479441e-13,0.0034842021685569094,2.3713127868912698e-05,-6.6211963376030874e-06,99.99566542855628,-2.3821155822289037e-11,1.0458765951214655e-16,-4.870378848744979e-08,50.0,2.5266593565169523e-14,3.6198186152997182e-12,0.0,100.0,-5.491776226059874e-17,-1.1966150460320003e-33,0.0,0.0,0.0,0.0,0.0,7.925973814159354e-17,0.0
500,4.989043534424978,5.016293406321623,95.01376013323191,9.99893235061064,10.000000000007113,8.661949307136415e-18,200.0,4.387172413993476e-21,4.570325383646982e-17,0.0,4.448347891253837e-11,-1.01798811353599e-15,76.66232727310704,99.25840053368712,22.30854104366461,0.3570124791889303,499.99999985335677,3975.3469844622496,200.0,200.0,200.0,0.0006197468065193177,0.00018770360090924066,-1.764920185290042e-06,1.1424856149715461e-06,-7.262952269444221e-06,1.551803364426663e-05,-4.152754573025323e-07,-1.1399920122478674e-07,-2.6768761987817528e-09,-9.295082239401409e-21,5.70782778566501e-22,-4.373015194664593e-23,-4.033877379559742e-25,-3.1196460709320573e-09,-2.872554328521008e-12,2.9787935522629414e-28,499.9978328265952,0.002692585595063782,-1.51089578770189e-23,8.716349546635939e-06,-1.7944780394200373e-16,-4.0698435316459853e-13,0.005255697976570536,0.00013195177620030997,1.0155938452066339e-05,99.99539420318926,-1.7596463730453666e-11,3.057400140565561e-16,-1.3717320342977417e-08,50.0,1.349085497530481e-14,-1.1041809474344782e-11,0.0,100.0,7.800350580745982e-18,1.4962430585743167e-33,0.0,0.0,0.0,0.0,0.0,1.3342360403564503e-16,0.0
600,4.987110992131577,5.024564044705886,95.01686187408295,9.998382645750642,10.000000000019368,8.983415855760166e-18,200.0,1.2794545343882232e-20,-8.53393544613731e-17,0.0,2.0686751807021885e-11,-4.1206075530804954e-16,73.80822213236871,99.4379548032213,25.43014893478855,0.630238799815039,499.9999999330117,3971.759512811802,200.0,200.0,200.0,0.001733298362962113,-3.117715315197522e-05,2.869815362301853e-05,3.5538436820149803e-07,-5.012616429641606e-06,7.5012419517276366e-06,-1.1416549681421674e-07,4.250776502417178e-08,-5.382731160857002e-09,-1.5591244228683914e-20,3.8856613330093093e-22,3.4775239716652893e-23,-6.447337891835107e-25,-1.0130562673055842e-09,3.1052946100937056e-12,3.9406062910361236e-28,499.9971473003094,0.003104124647496448,1.0941628245099575e-23,1.2198777855469508e-05,-2.8946287740710463e-16,-6.11958780657712e-13,0.005885408592055924,0.00022013804652549134,6.5025145346204055e-06,99.99435729317194,-1.7366645820792974e-11,-3.1298657847710635e-16,1.4136532620188073e-07,50.0,-5.102392195074892e-15,-1.1943053239506855e-11,0.0,100.0,1.4191214663844008e-17,8.556819641830746e-34,0.0,0.0,0.0,0.0,0.0,-1.8829811786684573e-16,0.0
700,4.98531216527537,5.024913339597223,95.01622239191026,9.9982517402063,10.000000000042995,1.4636442423153246e-17,200.0,-1.6801380324874613e-20,6.991106728218343e-17,0.0,1.314870478923348e-10,5.230977671729692e-16,69.19797421751413,98.77938558880015,31.174619107282613,0.8236759152703388,499.99999965545743,3969.5308748523894,200.0,200.0,200.0,5.698782651423974e-05,-0.0003575751495712845,-7.82851185236627e-05,3.953869933791257e-06,7.411250421114376e-06,-7.766337351453098e-06,1.5230759475089135e-06,1.2504381925659503e-08,-5.755255956767317e-09,2.6349983252030676e-21,-9.981522937232829e-22,2.426172439412156e-24,-1.6989009572959256e-24,3.248892809899999e-09,-8.440343648140191e-13,-1.67857158867172e-28,499.99639781407257,0.0033449838661527794,5.432238392826254e-24,1.2551418389462067e-05,-1.8149312699201908e-18,-3.5434278631097147e-13,0.006313610130278017,0.00025175070840092166,1.3178785196159734e-05,99.99367832715865,-1.8406446578824953e-11,-1.9851919971431944e-16,1.0384170832909055e-07,50.0,-2.0553996111919576e-14,-8.21220086292505e-12,0.0,100.0,-6.135647258682908e-17,-1.1822854861907931e-33,0.0,0.0,0.0,0.0,0.0,-9.626040097929549e-17,0.0
800,4.980599082528923,5.030594357536663,95.01952603182991,9.997974486408811,10.000000000064839,1.834144321256e-17,200.0,1.2186700686372165e-20,8.380506974734131e-18,0.0,5.677760455386703e-11,1.3547619639602565e-15,66.56316152474899,98.3566265863095,32.61159443533564,1.7149007682364958,499.9999995709525,3965.547535354832,200.0,200.0,200.0,0.0025831675410563867,0.000337623645274786,-9.311200988500107e-05,2.670629194978877e-06,-3.7088787760916175e-06,2.4019784632999193e-05,1.1849134254332639e-06,6.600847612029195e-09,4.640646950739158e-09,-1.4760436706681969e-21,8.148255601257455e-22,-1.1947245875394192e-23,5.933381298431484e-25,6.219162257262075e-10,6.449191043984595e-13,5.68679235320715e-28,499.9962318656812,0.003960684381357252,-8.747503912475812e-24,1.5960214462800522e-05,-5.536549434475638e-16,1.3378384971483403e-12,0.007049469616002613,0.00024610688848143594,-1.7818745793504015e-06,99.99222807617745,-2.6731863705754082e-11,-4.316683662269351e-16,2.2005069390558414e-07,50.0,9.965908205023203e-16,-9.26854266307013e-12,0.0,100.0,-4.655479253127609e-17,1.616007776113022e-33,0.0,0.0,0.0,0.0,0.0,-2.3172633814035586e-16,0.0
900,4.978675741000638,5.031686218241916,95.02140684321817,9.9978198207245,10.000000000093642,-8.67086336093223e-18,200.0,-5.112839712014382e-21,-9.468855478255014e-17,0.0,9.727137601235972e-11,1.3529198306674283e-15,62.73970506987183,97.83876428154466,36.9315270464217,2.007443547354487,499.99999963192477,3962.849147316934,200.0,200.0,200.0,0.0035720348372060137,0.0002856423551159554,-3.0883821588452804e-05,6.546794934342543e-07,6.33928136107297e-06,1.2845566625312993e-05,-8.003143639766583e-07,1.124711171055342e-07,-1.6114015882432426e-09,7.882844998281132e-21,3.562512577998022e-22,3.604486821134296e-23,1.7596967993332956e-24,-2.9917310024736e-09,-1.2257047108860725e-12,1.6463937664767105e-28,499.9951708618254,0.004610996009516386,-6.565585022790949e-24,1.601166937801117e-05,-6.374859160239757e-16,-5.613544123951438e-13,0.008411486580397276,0.00037506515945060685,1.2596269881396452e-05,99.99183172489346,-2.8183437998078308e-11,-9.744701239654945e-17,3.8188386133181145e-07,50.0,1.8064207276619116e-14,-1.1910599097366287e-11,0.0,100.0,-1.8328977502312746e-19,-1.9114937459943052e-34,0.0,0.0,0.0,0.0,0.0,7.655141166391626e-17,0.0
