miliseconds,CC,CCPT,clkp,perp,clkm,perm,PT,vrip,vrim,VRI,pdpp,pdpm,PDP,CLK,PER,timp,timm,TIM,prcper,prcv,prcpdp,prvc,prpc,prct
0,0.5811340095317695,0.497614869742517,0.003185,0.003185,0.2583400313282517,0.24015820834227733,0.40267875818837656,0.003185,0.25758456214565145,3.172858924216015,0.003185,0.31732840555699054,4.193117801287268,3.670077468089745,2.7515339139577657,0.003185,0.23925355892348216,2.7495802583481246,0.04042119089993026,0.06294904045325102,0.08048533052261188,0.4894940182098216,0.4259542333904486,0.0430033916493317
100,0.6180712092440147,0.4934706775807276,0.003185,0.003185,0.25881192819263504,0.239336057268199,0.36014345368781614,0.003185,0.25542643216417643,3.1543962176499285,0.003185,0.3172038157757021,4.189334470949934,3.6800285112893087,2.729208998200761,0.003185,0.23907444493833246,2.73156126921646,0.0485112254812627,0.05829986888750631,0.08362793313960803,0.4884645777617097,0.4267823674897345,0.043935564358491164
200,0.6546793056931897,0.4907543983254984,0.003185,0.003185,0.2591272243037134,0.2383561206591198,0.3273377796360042,0.003185,0.2558313599473742,3.161934786389672,0.003185,0.3163993455289558,4.183595154824696,3.70552247264484,2.7107072843494873,0.003185,0.23858754983904235,2.7108586010987383,0.05272837605620862,0.06966530461354241,0.08264846552232642,0.4874282508264434,0.4269579349504121,0.052000211748854344
300,0.7221913873331078,0.4859716323925,0.003185,0.003185,0.25978351224160173,0.23785008382338135,0.29807814919711223,0.003185,0.2551292400212187,3.1462347106452473,0.003185,0.3158622703894169,4.179166839221383,3.7218422620991554,2.6903619511397836,0.003185,0.2373884881722016,2.69023563800751,0.054498989939250626,0.07399696515811363,0.0840025432610754,0.4865921363746979,0.4281923763121035,0.04747558472453647
400,0.7886512986830667,0.4838074357270397,0.003185,0.003185,0.26004133007538843,0.23707422722499708,0.26897731576287115,0.003185,0.2547943008157085,3.1267941703576754,0.003185,0.3147382355607877,4.172896349218172,3.7470192661319692,2.6695854518051907,0.003185,0.23742246663980635,2.670981797574908,0.060479539700889956,0.07142602414222769,0.09333957886333148,0.48575056925468973,0.4286319760816933,0.058136074900354585
500,0.8647438519507364,0.48024252206633816,0.003185,0.003185,0.2605183656797641,0.237931240178872,0.2465945528781859,0.003185,0.2551652165690969,3.117528142869217,0.003185,0.31445693156546084,4.165414207047825,3.7900305122314517,2.6573280383373525,0.003185,0.23786958460202012,2.655454432943408,0.06044186666109684,0.07875188344768606,0.09500356720914867,0.4855160125678297,0.4286552740628549,0.059898710607440724
600,0.9781937406721954,0.4772599137510152,0.003185,0.003185,0.261092355949856,0.23734553449805018,0.22031171801717506,0.003185,0.2553635575045134,3.119978415659432,0.003185,0.31425588312084624,4.157397823679456,3.8169433808145112,2.6441371672425156,0.003185,0.23709197390039685,2.6410721416127805,0.06117873320727651,0.08362917156876817,0.0968791825823738,0.48416179806656157,0.42921017406815565,0.060390472513368786
700,1.0064850944001154,0.4730603425306797,0.003185,0.003185,0.26156544056915165,0.23678487954680685,0.20882625662454773,0.003185,0.25445918390060007,3.114306237748923,0.003185,0.3139998919788153,4.153258850939027,3.8283236903250724,2.632144684341302,0.003185,0.23618593192723886,2.627266608140649,0.06505419121337454,0.0939022865214614,0.09994514916953831,0.48363347369097826,0.4299807581870811,0.07030459420554382
800,1.1525536120299305,0.47165308955717844,0.003185,0.003185,0.2619404813244562,0.2370609823224569,0.18654582492617267,0.003185,0.25479113338053044,3.0911554368050567,0.003185,0.3135679796276072,4.145295725749022,3.859198232802947,2.6163149564227903,0.003185,0.23680250507903156,2.619146091133563,0.07690653652260371,0.10122045169634399,0.11102625458290939,0.482825417999797,0.430561552899781,0.07403467300155579
900,1.1774028730486716,0.4690789559540185,0.003185,0.003185,0.26228632699353555,0.23659386049389075,0.1803800701446347,0.003185,0.25466311222728005,3.0924856603358957,0.003185,0.31303932687508296,4.1393702876544065,3.8899864672877564,2.612569626294065,0.003185,0.23606540699924114,2.6103351496757234,0.0755090872785738,0.11277000429998883,0.10978390404673999,0.48217705901663144,0.43070843956487087,0.07676694705410196
