miliseconds,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11
0,299.92443486967437,0.8320669424163275,1199.9885208596418,0.006622107888789395,0.00044099540102672633,1199.9999418159764,-1.8841210842049508e-06,6.705100958073016e-11,100.0,200.0,20.0
100,297.8909626942186,1.2875256073908021,1199.9873786197686,0.013426355214366222,-0.0006786521464464712,1199.9999353082846,5.994199023637043e-06,-6.26997581990276e-11,100.0,200.0,20.0
200,296.4721804035294,2.236204931763918,1199.9960328148857,0.006941929553745195,0.00037336943778278623,1199.9999421389732,6.050432269630574e-06,-3.319760511299706e-11,100.0,200.0,20.0
300,296.3808704441481,3.817781473833274,1199.9783107899243,0.008933125622526931,8.804732957583276e-05,1199.9999403158658,2.495916094130599e-06,8.374067597443203e-11,100.0,200.0,20.0
400,293.40577087276137,4.98185301260756,1199.9725561967323,0.026122855310061782,-0.0005732906509096997,1199.9999471255478,6.479173621136342e-06,-1.0136022509787728e-10,100.0,200.0,20.0
500,292.2804725208314,7.308599291979898,1199.9932346761764,0.014596048309638811,0.0005797832988945736,1199.9999422978153,6.009226378813562e-06,-7.981291745589788e-11,100.0,200.0,20.0
600,292.16109738476814,9.321270763290899,1199.9868230223308,0.009048892987428801,5.5306016326151337e-05,1199.999945652946,5.103559228764686e-06,1.899821390035939e-10,100.0,200.0,20.0
700,290.8268692047945,10.534927321490065,1199.955040474712,0.04365520499333501,0.00012473983825716633,1199.9999439280127,-3.287179111678379e-06,-3.7851072848311784e-11,100.0,200.0,20.0
800,288.55466454530927,10.80891834831534,1199.9448546013639,0.034991237103507294,-0.000247104927259567,1199.9999458425561,-2.2527677397560705e-07,4.672569537753795e-11,100.0,200.0,20.0
900,287.43777185516853,12.619058899891968,1199.9486188060382,0.04510264373792663,0.0008422502678083259,1199.9999422958444,-1.1819699386053104e-06,9.529803238889593e-11,100.0,200.0,20.0
1000,285.35935955492005,13.795995575207987,1199.9518020620735,0.07951974574278076,-0.00011060608352031839,1199.9999418598184,7.108931642007316e-06,4.272325914250735e-11,100.0,200.0,20.0
1100,285.47050697641106,15.416938510631573,1199.9343424129988,0.08859526422463038,0.0009460849345204528,1199.9999399993676,4.578394768900071e-06,3.0447422493894726e-11,100.0,200.0,20.0
1200,283.0407539862617,16.1283536979284,1199.918015142203,0.0882780095503451,0.001114689420190433,1199.9999442910926,4.249433018019217e-06,-4.2615993045653905e-11,100.0,200.0,20.0
1300,281.37514047141224,18.261187365166887,1199.9105695334636,0.10913093805232646,-0.00011226896437289198,1199.9999472802704,3.0373220837070018e-06,-8.691622689244242e-11,100.0,200.0,20.0
1400,281.7403147843796,18.509034943669853,1199.877234170336,0.1157739849655411,0.0004018456014978158,1199.9999391604474,-2.6101587736359484e-07,1.676116248343172e-10,100.0,200.0,20.0
1500,280.13139044332945,21.01207241205439,1199.868641776366,0.13006229012537687,0.00042533215835231157,1199.999942687726,8.243482664692162e-06,1.7816253399725082e-10,100.0,200.0,20.0
1600,278.16461530992365,20.839122032106108,1199.8414964671192,0.14865531961225584,0.0015087119194371274,1199.9999343538116,-1.8723118352809182e-07,1.0756075616005716e-10,100.0,200.0,20.0
1700,277.728464422954,22.901241715132922,1199.822371115425,0.1698121354342686,0.0017286625415691155,1199.999938152332,8.332410992006294e-06,-1.7859382634411657e-10,100.0,200.0,20.0
1800,275.6437075797312,24.391853879953104,1199.8199352209601,0.1711190534482826,0.00143462987044585,1199.9999296629658,7.272762192425764e-06,4.798005773376138e-11,100.0,200.0,20.0
1900,274.6391215759705,25.712086813873025,1199.775902197142,0.18980257817352536,0.001621870897016338,1199.9999354053205,1.179024441014677e-05,-2.8961575802485737e-11,100.0,200.0,20.0
2000,273.22838621849206,27.07146759972507,1199.770319948636,0.22901205194681876,0.002446021194391316,1199.999928396503,5.751321254620129e-06,1.758518319404732e-10,100.0,200.0,20.0
2100,272.8809158516975,26.681234616945538,1199.7563415856334,0.24329381136328573,0.0036001377636525845,1199.9999263351035,1.3746627296287155e-05,1.8720402157673832e-10,100.0,200.0,20.0
2200,270.9393734851275,28.73172355407365,1199.7210540901133,0.26507167036927215,0.0030851638961441365,1199.9999279941476,1.3787066569975654e-05,4.534590190921898e-11,100.0,200.0,20.0
2300,270.2661282463756,29.76246432807337,1199.710538453011,0.278778182725663,0.003968075349304455,1199.9999248345127,1.615580086215211e-05,-1.5285207523707874e-10,100.0,200.0,20.0
2400,268.2337088521422,30.543405267479105,1199.6766962750494,0.3085815172804696,0.004993943838335135,1199.9999246477191,2.3779413511603008e-05,5.251081914540384e-11,100.0,200.0,20.0
2500,268.35151670152965,32.11997470636169,1199.643522204123,0.33844725073840926,0.005405951421264864,1199.9999160170046,2.544277466481366e-05,3.4938506625317215e-11,100.0,200.0,20.0
