milliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
0,9999.43455737939,99.33836835230889,99.41599598815931,10.0,10.0,10.0,10.0,10.0,10.0,0.0013483790535448262,-0.031455797831564596,-0.025466604527741934,0.0596952880706608,-0.020180746235105542,-0.02135905119721578,10.0,10.0,10.0,10.0,10.0,10.0
100,9900.076048973366,0.5880376609013758,200.23710358210207,10.0,10.0,10.0,10.0,10.0,10.0,0.3625399012982155,0.5071472486466926,0.5402488565307103,0.0712514951339833,0.6253158401986562,0.6070242904942744,10.0,10.0,10.0,10.0,10.0,10.0
200,9899.723159569223,0.49591263999001023,199.37496178588455,10.0,10.0,10.0,10.0,10.0,10.0,0.7740257975426472,0.8636228704072599,0.9280088857906409,0.1869489202894308,1.1159746132352486,0.9399383414272766,10.0,10.0,10.0,10.0,10.0,10.0
300,9900.487686045517,0.12552329376137455,200.0198247800383,10.0,10.0,10.0,10.0,10.0,10.0,1.1791108866714457,1.1128647257211146,1.186593131143747,0.2661213493022846,1.4475228465661067,1.3066269769597103,10.0,10.0,10.0,10.0,10.0,10.0
400,9900.635132755539,0.6211229632401211,200.3970139691195,10.0,10.0,10.0,10.0,10.0,10.0,1.5285021655479216,1.325263423896345,1.4105580138530802,0.3423435275510789,1.6899753157416457,1.4856005648166666,10.0,10.0,10.0,10.0,10.0,10.0
500,9899.544137696,0.4245937307097391,200.42585063788655,10.0,10.0,10.0,10.0,10.0,10.0,1.7837137407553612,1.5292069329294553,1.627128583490793,0.541051791468352,1.864884696197016,1.69179542830947,10.0,10.0,10.0,10.0,10.0,10.0
600,9900.484231899558,0.17311696440573818,199.33795240844472,10.0,10.0,10.0,10.0,10.0,10.0,2.110459434515982,1.6253186493051195,1.7322203014974122,0.5852681246125384,1.9405365849011527,1.8416078541845278,10.0,10.0,10.0,10.0,10.0,10.0
700,9899.66775802832,0.5746021963940718,199.66098098357023,10.0,10.0,10.0,10.0,10.0,10.0,2.3613276134577954,1.7314612446073456,1.8804333903597612,0.6728565259858098,2.081531327198112,2.0097877587980575,10.0,10.0,10.0,10.0,10.0,10.0
800,9899.440951663131,0.4987677992976924,199.35779822099155,10.0,10.0,10.0,10.0,10.0,10.0,2.640098510584115,1.8828305903143048,1.9770857504226482,0.8096130160893761,2.158542156819928,2.163871062316975,10.0,10.0,10.0,10.0,10.0,10.0
900,9900.522033229054,-0.03618796989512048,200.2149588000002,10.0,10.0,10.0,10.0,10.0,10.0,2.8736562823055207,1.988634868168244,2.0422864190372687,0.8325242500493987,2.2118076429772637,2.2352220532007214,10.0,10.0,10.0,10.0,10.0,10.0
1000,9900.205458345603,-0.09636870334687504,200.41193486106096,10.0,10.0,10.0,10.0,10.0,10.0,3.0573460655705778,2.097097258852497,2.1178103562818484,0.9912978421444695,2.2631576478841007,2.4003948685748466,10.0,10.0,10.0,10.0,10.0,10.0
1100,9899.404538950932,0.4107491092727062,200.30524204633463,10.0,10.0,10.0,10.0,10.0,10.0,3.200746106457874,2.1336150346013003,2.24615938809596,1.000204945515701,2.3322936378705075,2.484538416709428,10.0,10.0,10.0,10.0,10.0,10.0
1200,9899.528398566212,-0.48862324087139963,200.37025422097568,10.0,10.0,10.0,10.0,10.0,10.0,3.328290446910856,2.2484166228884397,2.332125687432175,1.1878186318029589,2.401754238253606,2.5882066016749943,10.0,10.0,10.0,10.0,10.0,10.0
1300,9900.21744179162,0.23121305847501974,200.07033651712868,10.0,10.0,10.0,10.0,10.0,10.0,3.4394088918888475,2.3022650635206094,2.352060188550346,1.247426250134682,2.4161559576018763,2.630592946038317,10.0,10.0,10.0,10.0,10.0,10.0
1400,9899.641268237883,-0.34311344873098276,200.14409407731046,10.0,10.0,10.0,10.0,10.0,10.0,3.605450134177696,2.3794639591862845,2.4473848166359993,1.3428941188431682,2.4673302895820464,2.678047213464315,10.0,10.0,10.0,10.0,10.0,10.0
1500,9899.849134288705,0.3847997646856674,199.98801337305844,10.0,10.0,10.0,10.0,10.0,10.0,3.7420477999016533,2.4470226070399446,2.4706609001804876,1.434567415786491,2.4877889403117113,2.7955791099057814,10.0,10.0,10.0,10.0,10.0,10.0
1600,9899.577933214592,0.1559642664195707,199.327879922574,10.0,10.0,10.0,10.0,10.0,10.0,3.8293530373610483,2.472703510153381,2.5375525365596183,1.5263478467004346,2.5559021108094746,2.8848229429860885,10.0,10.0,10.0,10.0,10.0,10.0
1700,9900.566227516021,-0.3096002623939212,199.93886808746285,10.0,10.0,10.0,10.0,10.0,10.0,3.834347510363788,2.562648510707545,2.5952418197246874,1.6020809170100656,2.543135508013562,2.860153159160693,10.0,10.0,10.0,10.0,10.0,10.0
1800,9899.894451373939,0.3343270949529027,200.4036184257522,10.0,10.0,10.0,10.0,10.0,10.0,3.9060099019623156,2.5907861265033003,2.6521444300970636,1.6480571146877485,2.6145172579624383,2.936976169187656,10.0,10.0,10.0,10.0,10.0,10.0
1900,9900.136557631444,0.28774296515576286,199.7929895967152,10.0,10.0,10.0,10.0,10.0,10.0,3.9811191304203684,2.6449293211695637,2.6927599842948418,1.7873216421603286,2.6242434132162504,3.003200565234613,10.0,10.0,10.0,10.0,10.0,10.0
2000,9900.665765171372,-0.09557772915346913,199.93500287457888,10.0,10.0,10.0,10.0,10.0,10.0,4.05958172531518,2.7250393582726593,2.7542146382055974,1.9267884582986483,2.6529301001208476,3.05624390047334,10.0,10.0,10.0,10.0,10.0,10.0
2100,9900.649601783107,0.19372656257850518,199.3917224698303,10.0,10.0,10.0,10.0,10.0,10.0,4.1431973794615535,2.765819305815235,2.8112932222840006,1.9660139906163232,2.6376537370038644,3.118562029713335,10.0,10.0,10.0,10.0,10.0,10.0
2200,9900.53038238036,0.5777798427349365,200.14092443081432,10.0,10.0,10.0,10.0,10.0,10.0,4.101155348207387,2.819785241430577,2.9152973891191523,1.981343177055741,2.729716484008693,3.168299128382409,10.0,10.0,10.0,10.0,10.0,10.0
2300,9899.594933381704,-0.4521184189873962,200.23977061962182,10.0,10.0,10.0,10.0,10.0,10.0,4.1642258982063485,2.850907509322742,2.9241637679483214,2.130234103538208,2.7461803566222858,3.1793741352989975,10.0,10.0,10.0,10.0,10.0,10.0
2400,9900.19138500374,-0.6547072740527657,200.07144105090063,10.0,10.0,10.0,10.0,10.0,10.0,4.268563427459958,2.89893086495923,2.9351608911339935,2.191466130594495,2.737780355503383,3.2259095879137427,10.0,10.0,10.0,10.0,10.0,10.0
2500,9900.167379316434,0.5464951580505154,200.2424222504526,10.0,10.0,10.0,10.0,10.0,10.0,4.280359814880501,2.93668682265585,3.0087799988338575,2.354905181739887,2.74603988199594,3.2635659593004425,10.0,10.0,10.0,10.0,10.0,10.0
2600,9900.35586834733,0.22731502163665956,199.48559480888886,10.0,10.0,10.0,10.0,10.0,10.0,4.302663502896302,2.955394459561719,3.069889289630622,2.3563103380155797,2.7954633227804147,3.315713404840595,10.0,10.0,10.0,10.0,10.0,10.0
2700,9899.450576931946,0.582204480293286,199.84090277329042,10.0,10.0,10.0,10.0,10.0,10.0,4.274478925477739,2.9538618278815663,3.121763904260493,2.4011216078412114,2.821478450367297,3.3607127726525254,10.0,10.0,10.0,10.0,10.0,10.0
2800,9900.465291442515,0.6831531672972545,199.35639490036456,10.0,10.0,10.0,10.0,10.0,10.0,4.288546678538934,2.9891660617212055,3.1305310247805602,2.5328369916442925,2.8204694926099156,3.361598135697992,10.0,10.0,10.0,10.0,10.0,10.0
2900,9899.822077014016,-0.4328376408222056,199.30585148330834,10.0,10.0,10.0,10.0,10.0,10.0,4.2921281106986084,3.0599715440884316,3.117239829438906,2.59673108166739,2.859043777569487,3.4001845525385663,10.0,10.0,10.0,10.0,10.0,10.0
3000,9899.871871782452,-0.0806596426417274,200.04917797806488,10.0,10.0,10.0,10.0,10.0,10.0,4.324616644059597,3.057441901579109,3.2310656683527497,2.646458930731318,2.9099529166664566,3.4609053550333035,10.0,10.0,10.0,10.0,10.0,10.0
3100,9900.558038540146,0.6688990996332406,200.6336961610761,10.0,10.0,10.0,10.0,10.0,10.0,4.336690316303341,3.1130014500333516,3.236314625057658,2.8469529434872847,2.9283815161414006,3.470887935258565,10.0,10.0,10.0,10.0,10.0,10.0
3200,9900.686810143623,0.1203989514364445,200.39929917651705,10.0,10.0,10.0,10.0,10.0,10.0,4.285530553719543,3.1637162869413955,3.274150726438223,2.857772235458289,2.951306251712442,3.5063266110313203,10.0,10.0,10.0,10.0,10.0,10.0
3300,9900.052319733526,0.2191141167427171,199.8206136893286,10.0,10.0,10.0,10.0,10.0,10.0,4.297088618613331,3.184208581280366,3.3184378563665877,2.952457331150849,2.9566397636004225,3.5503097098858847,10.0,10.0,10.0,10.0,10.0,10.0
3400,9899.609328685801,0.1465762030436609,199.41058308765844,10.0,10.0,10.0,10.0,10.0,10.0,4.335905196721765,3.203508621790833,3.364337396104706,3.002711464332389,2.9480854896184017,3.5993043225170394,10.0,10.0,10.0,10.0,10.0,10.0
3500,9900.283969984637,-0.06763736508520893,199.68072406471074,10.0,10.0,10.0,10.0,10.0,10.0,4.3423085076401815,3.2184715517763687,3.3538933671023456,3.078217595714029,2.980961252768605,3.6213283272406014,10.0,10.0,10.0,10.0,10.0,10.0
