miliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
0,9999.767214626123,99.687684432332,99.88781580547193,10.0,10.0,10.0,10.0,10.0,10.0,-0.010311590877904734,-0.021959549064840735,-0.005120490249447683,0.05955695079054846,0.020667898527955003,0.003127056020073549,10.0,10.0,10.0,10.0,10.0,10.0
100,9899.886143000229,0.2703770276966203,199.9511805381888,10.0,10.0,10.0,10.0,10.0,10.0,0.360669991202341,0.4887043393558481,0.5259332635773367,0.1142979836608172,0.6327932148348951,0.5786606857466903,10.0,10.0,10.0,10.0,10.0,10.0
200,9899.507070607806,-0.25526655356182126,199.5821372444638,10.0,10.0,10.0,10.0,10.0,10.0,0.8416419246594034,0.8658248440912276,0.9134206830706673,0.15185527505231272,1.0978062506745536,0.9537980513037275,10.0,10.0,10.0,10.0,10.0,10.0
300,9899.361696947386,0.02456271961695233,200.0710558471126,10.0,10.0,10.0,10.0,10.0,10.0,1.1187889381894347,1.1268496336139935,1.2259142994304266,0.33313421645503805,1.4586812173369446,1.2883866587834107,10.0,10.0,10.0,10.0,10.0,10.0
400,9899.545805767439,0.03177174566632452,199.51719826341164,10.0,10.0,10.0,10.0,10.0,10.0,1.4575993857297724,1.3358034643271637,1.4555645950768874,0.33478247385527204,1.694847175912845,1.5181467835356548,10.0,10.0,10.0,10.0,10.0,10.0
500,9899.687307186314,-0.4634688063726939,199.80087761815489,10.0,10.0,10.0,10.0,10.0,10.0,1.8509844657235939,1.4951164307089408,1.583786111114538,0.4960214015312226,1.8689013235124379,1.7501994129782212,10.0,10.0,10.0,10.0,10.0,10.0
600,9900.614212053651,0.15074941931271305,199.75002966414615,10.0,10.0,10.0,10.0,10.0,10.0,2.09880891439559,1.6188617687594842,1.6991811412850897,0.568231405544128,1.9805989537242117,1.842056961913789,10.0,10.0,10.0,10.0,10.0,10.0
700,9900.126612775532,0.04010643773155839,199.8236687290396,10.0,10.0,10.0,10.0,10.0,10.0,2.3773435964526555,1.7574924852023641,1.838092222719752,0.6760873989554171,2.038105113974395,2.0209809755404393,10.0,10.0,10.0,10.0,10.0,10.0
800,9900.152122465215,-0.4520509187120746,200.69206443935784,10.0,10.0,10.0,10.0,10.0,10.0,2.5996485306958412,1.8641757907202607,1.9770229687600962,0.7491762902869843,2.1710893467123378,2.1705861953129686,10.0,10.0,10.0,10.0,10.0,10.0
900,9899.943266316153,-0.4646656902113514,200.41375817005516,10.0,10.0,10.0,10.0,10.0,10.0,2.8832577160980652,1.9463272001350984,2.0946401588916457,0.8549394678885199,2.187647219307219,2.2746730088881693,10.0,10.0,10.0,10.0,10.0,10.0
1000,9900.628647739262,-0.3642736494933399,200.47030434679576,10.0,10.0,10.0,10.0,10.0,10.0,3.0603253425669648,2.1059957313505135,2.188591599893279,0.9787228645042576,2.263552578139725,2.375770757364962,10.0,10.0,10.0,10.0,10.0,10.0
1100,9899.301806655012,0.6846632633239259,200.4146688228389,10.0,10.0,10.0,10.0,10.0,10.0,3.252226854428276,2.158619143496491,2.199181247611113,1.0360637297806776,2.331905954051819,2.4582555425489923,10.0,10.0,10.0,10.0,10.0,10.0
1200,9899.701612321958,0.6718599820427459,199.43412183022068,10.0,10.0,10.0,10.0,10.0,10.0,3.3581369578759435,2.272218053731238,2.298601631652493,1.1946466781097573,2.383415067825058,2.5170945791233645,10.0,10.0,10.0,10.0,10.0,10.0
1300,9900.66964076665,-0.17966703540383788,199.95252689359359,10.0,10.0,10.0,10.0,10.0,10.0,3.4735490541375236,2.339491118551893,2.3411347707783348,1.2643579339424986,2.402050409736407,2.5872830536195264,10.0,10.0,10.0,10.0,10.0,10.0
1400,9899.448679314517,0.593781057292524,200.6114020351643,10.0,10.0,10.0,10.0,10.0,10.0,3.6015576568229255,2.3548606125749156,2.485569658028892,1.2972566407795831,2.433630385948285,2.7170656659500114,10.0,10.0,10.0,10.0,10.0,10.0
1500,9899.35209800626,0.1400071999498827,200.67196589384486,10.0,10.0,10.0,10.0,10.0,10.0,3.7465869395945512,2.4347549446959604,2.5128869856130187,1.478775145266763,2.478088717765147,2.7899648639025054,10.0,10.0,10.0,10.0,10.0,10.0
1600,9900.59366511044,-0.4595266829218512,199.89267934004977,10.0,10.0,10.0,10.0,10.0,10.0,3.8110036065167345,2.5010429108423873,2.543365492549111,1.4712073075373877,2.496917260011204,2.8363297896814004,10.0,10.0,10.0,10.0,10.0,10.0
1700,9900.39743737564,-0.5707290152481392,200.55694838711895,10.0,10.0,10.0,10.0,10.0,10.0,3.9331388667873903,2.5306836045266397,2.6371892368272007,1.6073584162763854,2.57861459450062,2.929174495052284,10.0,10.0,10.0,10.0,10.0,10.0
1800,9899.710716472182,-0.3102663269508988,199.51459223697344,10.0,10.0,10.0,10.0,10.0,10.0,3.9105241303550304,2.623085547572964,2.666024776890482,1.6399569784416073,2.610060784884701,2.9835570217899923,10.0,10.0,10.0,10.0,10.0,10.0
1900,9900.479364123601,0.6190683985097969,200.11168395543874,10.0,10.0,10.0,10.0,10.0,10.0,4.017304784297361,2.640006392952806,2.7275599422846377,1.8000234666195651,2.6455783009189053,3.0203513794949313,10.0,10.0,10.0,10.0,10.0,10.0
2000,9899.488157345071,0.46886091658699425,200.23430539984489,10.0,10.0,10.0,10.0,10.0,10.0,4.046214495921728,2.733343943901251,2.738700249106253,1.917226171194306,2.6264718845749866,3.0638678084045616,10.0,10.0,10.0,10.0,10.0,10.0
2100,9900.336245042927,0.5956082502371864,199.97990661407752,10.0,10.0,10.0,10.0,10.0,10.0,4.160663089593352,2.780440017484642,2.843147357214386,1.9773335214095176,2.6589964473187555,3.129484132279474,10.0,10.0,10.0,10.0,10.0,10.0
2200,9900.585810187473,0.45546840454470294,200.49041610394158,10.0,10.0,10.0,10.0,10.0,10.0,4.143656872566523,2.7997204975145586,2.8805062033792908,2.059015881477005,2.6776258381077307,3.1247521678034698,10.0,10.0,10.0,10.0,10.0,10.0
