milliseconds,ERKc,pERKc,ppERKc,ERK_ppMEKc,pERK_ppMEKc,DUSPc,pERK_DUSPc,ppERK_DUSPc,ERKn,pERKn,ppERKn,pERK_DUSPn,ppERK_DUSPn,STYXn,ERK_STYXn,pERK_STYXn,ppERK_STYXn,duspn,DUSPn,u_ppMEKc_tot,ppMEKc_tot,ERKc_obs,pERKc_obs,ppERKc_obs,ERK_ppMEKc_obs
0,566.7459913234378,-4.291872252031552,-1.6045039460496515,-0.9530293646173592,-0.5380680766202421,101.13105143672551,-0.6689590213090094,-0.41498005468220656,1622.5576643511363,-2.0535114829121683,-2.677788019635179,0.023896352387077283,0.16701807118161405,2969.6402836849265,11.271164828047286,0.5293704802770868,32.418302751984456,1.0115916121766688,9.95531681236675,1.0,100.0,562.687294182628,-1.308080520052632,-1.1998182720288422,-0.9679157441260364
100,439.2350905800364,38.993634671476364,2.1577072250907627,51.2967673236149,4.544779750228707,78.79423522279554,19.273278942839607,-0.42122919215661336,57.36001633931733,-0.8794302665034064,0.6057015284931139,-0.05068143137971665,-0.05102134410413343,1400.1340067242081,1579.0064959735932,8.594171864084803,1.8732685598833918,1.0346877526049147,10.231997547971368,1.0,100.0,455.55650272051844,38.79754558412257,0.47512366819504914,51.876110769344365
200,374.7626051559221,76.35258882737843,10.22547767865947,45.76538591276609,9.102556154822436,64.42760917942778,30.638003311329058,6.535642049747668,73.8548077684592,1.0727282600696897,5.05646311811712,0.041896493427023326,-0.2616231434186535,1384.8164998117454,1591.3394138522156,19.613637372539532,6.952634851430392,1.0388965886356287,9.944805676376902,1.0,100.0,373.25664722107365,82.94727861106963,6.429477613295222,44.76606713357529
300,335.74986789042276,110.85735897026542,17.292997023551443,40.52166194160692,12.221118084610577,52.164109288278205,36.71758443161793,10.809449731894858,88.11020254078088,2.836295908811829,4.828564577114556,0.027269075135217653,-0.11285187374874958,1393.9637383734887,1591.7417672589577,-0.46385804203873704,8.735230733286302,1.0421399528075748,10.16300439147274,1.0,100.0,328.34214055238357,113.51271528847519,9.759126854929072,39.841991242306875
400,279.19216591651616,135.85206519388456,22.719044022228196,34.319695570741615,16.417790050032945,44.507890915437464,37.25405251396939,15.186111664300988,86.39388098451073,-1.2765943653404173,2.7071262919510612,0.00910765047627355,0.17009458996315188,1349.6761167794,1644.9041557008563,28.68895342101183,26.273868301835492,1.068968971278447,10.312599080061714,1.0,100.0,276.5463361433348,136.87161485082743,25.986900549289686,34.28213642804005
500,238.7239602152024,154.7496051004479,32.99056317569036,31.120892887100524,18.32205156843238,39.4765139169223,36.6099220499196,21.86844909911888,53.94801308703332,-1.2950235030089052,2.3466415522823003,0.0583064292215634,0.10798917872087603,1339.2567513912181,1650.7912942994576,13.491817162150511,35.04832293904928,1.099112098757426,10.076856862064885,1.0,100.0,249.08664560903074,146.91161154538165,35.87420317508919,31.799430329630898
600,223.03674830898925,162.587023326199,54.661699781672056,27.960055878114016,20.78746016943488,33.8808756061073,34.19782964260373,31.54608173546993,63.46696755436879,2.7634847157466442,1.6046359098544611,0.015988428423121634,0.08348166601911351,1310.8119760656589,1651.7210944962178,50.18663844128772,42.85871601680587,1.1339608564777475,10.03613818541479,1.0,100.0,198.67670252494813,158.07060139138787,57.736180824786274,28.413308620318503
700,188.4337869713838,160.74919546023776,70.55858913005827,23.4288837588193,22.259676186320366,30.60313699296465,32.71553268516944,37.33749668704165,66.18736233775915,2.6250820810191624,3.994401820049109,0.1304252741853671,-0.011533756654261679,1311.9145393274036,1637.9427229415728,33.47596021632013,48.024552114162375,1.1621408604862702,10.116310529773008,1.0,100.0,176.68114945794252,164.90652487875397,71.75147589960864,23.886128228991502
800,150.7506164329266,162.70386325447507,90.54309942051361,22.3618702028384,23.65045340337962,28.63200905762455,30.003026386321704,41.3507465658939,74.0459361942486,1.4507333829586992,6.250118703593812,0.16182156281040258,0.07991410030495633,1226.2864417066642,1638.0060043891904,63.00046299687655,73.02836641887859,1.2132658042065947,9.884827876779413,1.0,100.0,147.68062172391396,165.20105144959373,84.89840172224588,20.589658047853234
900,142.03098984762903,163.56653972438767,103.49217557908773,18.904420948782466,23.860871344542304,25.881324921880005,27.98408476661904,48.142511960454044,65.50604255836544,1.7308378566379647,0.5107680889666861,0.09619755705449339,0.6616098626844823,1237.478179126326,1622.7178438969668,79.58343319242864,64.44039232884577,1.246353762438109,10.049987761441379,1.0,100.0,138.10290552171367,157.54798794370626,110.08846922428476,19.57576060824456
1000,111.07417641466618,156.4932275341143,126.8895636649829,16.736601496938494,23.442980354340165,26.398492989805938,24.687387906375022,52.408946272908295,83.93304051104367,1.8126756591448503,6.879628564495185,0.15876715913578876,0.4016585180931751,1178.4669089599881,1620.9743735730233,72.15201347175298,114.96027310625378,1.2733546833392728,9.744668009978017,1.0,100.0,110.61696158058429,159.7930755990979,121.80122566819168,17.63038900509695
1100,87.06315502803969,147.8638445146923,143.12880347041792,15.09408060359454,22.64474303486052,24.350768555135673,22.072487166690568,55.26899817784728,87.4608288916674,5.831181839472157,7.0553541915002125,0.22763640274863628,0.8203027749101205,1179.796747529787,1618.9462515155662,89.10740206765786,147.01314872145585,1.2833645721911568,9.590822074119014,1.0,100.0,103.32311867500547,151.64154937494314,139.76218622395214,13.60629768133958
1200,78.70904594666362,132.92069111481197,153.0377265984015,14.135591111738542,23.158259291587996,23.64346902692579,20.451886050627206,55.80787542930841,74.11882253850803,5.672422310839012,5.875615416717994,0.18912943369654828,1.1665859097058453,1124.2621634332509,1624.8432599951745,86.95800593819865,193.83808603709335,1.2788644552476638,9.592799846273827,1.0,100.0,89.57798254134656,135.53606244062553,160.92713404467642,11.948889341727558
1300,55.462443997977545,127.51604707206253,167.73836502333054,10.780266982780386,21.647747916883535,20.846150321685883,17.117418280590428,61.1306948519212,77.9076889509659,8.130898120518983,14.438317225829964,0.22223143728573141,1.3157274117371112,1082.3594247377641,1616.7214510196598,88.84511997867754,202.6216339308501,1.3006433055784443,9.208265478105767,1.0,100.0,71.14121488121901,128.29346148193054,171.10900928763147,10.85622519670697
1400,45.9910163378904,115.16544924667863,185.15008268791516,9.571792125613626,19.979116691290574,22.370162611371192,14.517709822165475,61.8495878741435,105.01323743537306,8.876531726499099,20.466197326888985,0.30498909452537004,1.5782874881018514,1010.3105667154242,1614.28225315538,104.96372236466557,265.6289643476027,1.355854005210182,9.096772024931688,1.0,100.0,55.214245291886144,115.90303710431925,176.24842172290025,10.740508657520666
1500,52.04064797331092,105.29835882088462,187.1234636900497,9.337507544125389,18.90057803415377,20.221099067420337,14.144274912564383,66.09257617186984,84.35067717429511,7.9591204498548445,22.130812926082317,0.36824553305595126,1.800936843378446,959.549077564666,1588.217644587886,109.8823045498831,272.94526965781716,1.3455775714959102,8.858001602538739,1.0,100.0,52.02235223603814,104.61390591192297,185.49118104737687,8.642770980870475
1600,49.080856908766776,94.4598549243464,203.50829366623626,6.6379509394631615,18.740849391767792,21.45370026204987,13.047231524512593,65.62660011041328,107.13065356348342,6.694278048432521,19.408582524261917,0.34908528077371426,1.7791372627315796,922.5972668735209,1567.1906614193674,118.16078038871893,369.2954795713412,1.3829430560868239,8.695299980248043,1.0,100.0,34.36604780802848,97.15735651318144,202.72608104138163,7.560591966571349
1700,25.62998150289208,80.75753868599357,199.2276295123056,7.413156770646665,17.371025301931258,20.40203587061363,9.961417278795015,68.22717802520913,94.97278719405479,10.400644760121223,24.00158603828662,0.41387200166213256,2.0578212273599448,851.2507308188106,1603.2485697635102,148.35899887181083,392.5462592513393,1.3988305725035877,8.701148842490051,1.0,100.0,22.00354233704152,81.97263083792143,200.1657322706426,7.192609861858325
1800,29.717137327453592,76.21720560504409,202.56643329181293,5.538817932058592,14.769613109581728,19.97426160704196,9.737721991616933,72.03771446874136,103.48389016347699,10.079774284562307,30.11691685925767,0.46396735383362253,2.492874746410531,850.034334302065,1550.9981777547464,160.82950094906772,421.86617513311546,1.4141656976850114,8.334644194572881,1.0,100.0,30.160385087846045,75.52742476770618,204.73270039250096,6.3204692049189575
1900,18.429089167191172,68.56899660235239,213.88323452175462,6.055938281809665,13.490898113014303,20.881736867721415,9.039215861659873,72.37255627054101,133.92092884951717,12.04740442759257,31.403885513994517,0.43633822800846817,2.976440006221709,847.3016778525534,1548.4185483351932,175.10393165884634,457.04751524047845,1.465526730723618,8.091131926565351,1.0,100.0,35.82043224648628,69.12764904762982,210.1360980981869,4.247982848944145
