milliseconds,M,B,A,L,P,I1,I2,I3
0,0.000626,0.0,0.038,0.372,0.0149,0.0,0.0,0.0
100,0.0005996865799078267,2.4054886522046906e-08,0.03599764869215417,0.5490604671337833,0.013940669364978248,3.0514226664050276e-07,9.480965168702439e-07,0.0005646540195089491
200,0.0005746601133987283,9.323004778577764e-08,0.03413003223889005,0.5971719646335739,0.013062282549441931,3.87342363286831e-07,1.8102701101678066e-06,0.0010860695273498036
300,0.0005507307098636889,2.0328150478921705e-07,0.03241834450929858,0.6121516691239974,0.01225814219613385,3.912214620396527e-07,2.592535424112883e-06,0.0015668342550242103
400,0.0005278056312987106,3.5026237839910844e-07,0.03087957903316048,0.6171494036066738,0.011522071067788913,3.699259014780345e-07,3.3004078812091044e-06,0.0020093233707317616
500,0.0005058287610757691,5.305006799182276e-07,0.029527182259358832,0.6188387064691652,0.010848372238008393,3.428571244849679e-07,3.939023425230851e-06,0.002415763739747298
600,0.0004847582212579826,7.405812445209675e-07,0.028371607827495017,0.6193353561556748,0.010231793306874171,3.169657277037678e-07,4.513193437440414e-06,0.0027882607810338213
700,0.00046455808001856296,9.773297379689332e-07,0.027420647200081093,0.6193615747274461,0.009667493577525558,2.9461072182514e-07,5.027435093318305e-06,0.0031288113440777598
800,0.00044519527386409564,1.2377979444963291e-06,0.026679669959095407,0.619177345484476,0.009151013709322909,2.764624945623392e-07,5.485992114291762e-06,0.0034393112955932543
900,0.000426638452122477,1.5192500118215254e-06,0.026151832829772684,0.6188812518892065,0.008678247564982082,2.6259085854525127e-07,5.892851500978069e-06,0.0037215610503702123
1000,0.00040885754531076545,1.8191494996225364e-06,0.02583827857529374,0.6185127455053356,0.008245416033947338,2.528776486304499e-07,6.2517583314141734e-06,0.003977270239099567
1100,0.00039182362054130206,2.135147182263906e-06,0.02573832692207841,0.618088052435365,0.00784904274868002,2.471662467703423e-07,6.566229389602204e-06,0.004208061952644184
1200,0.0003755088325789374,2.465069561158459e-06,0.025849661337307345,0.6176139235503137,0.00748593157341819,2.4532565938569366e-07,6.839565985283196e-06,0.0044154767605747765
1300,0.000359886411384086,2.8069079540880305e-06,0.026168508230884978,0.6170941904665135,0.007153145510881783,2.4728088408170343e-07,7.074866188023274e-06,0.0046009765874270945
1400,0.00034493067573878835,3.158808215058804e-06,0.02668980894219139,0.6165314236539879,0.006847987136137267,2.5301674899925714e-07,7.275036442905067e-06,0.004765948444891377
1500,0.00033061705085405584,3.5190611483749285e-06,0.02740738354428282,0.6159270896822736,0.006567980682602696,2.625732634490791e-07,7.442802541757783e-06,0.004911708025062722
1600,0.00031692207376480684,3.886093435886973e-06,0.028314080098250632,0.6152816696978993,0.006310855303748324,2.760452239789136e-07,7.580720132548484e-06,0.005039503196584271
1700,0.0003038233935003094,4.258459041214563e-06,0.029401929967853294,0.6145968110970327,0.006074529401306983,2.9357819711894564e-07,7.691184776136235e-06,0.0051505173948341405
1800,0.00029129976918516805,4.634831123930634e-06,0.03066229095283117,0.6138750763341303,0.005857096093008423,3.1535794347536234e-07,7.776441504098009e-06,0.005245872889813884
1900,0.00027933105883995847,5.013994496800546e-06,0.032085968380318276,0.6131180072227002,0.005656809872912071,3.4159878478994597e-07,7.838593842560744e-06,0.005326633920756291
2000,0.00026789819599899983,5.394838522487002e-06,0.03366333313704082,0.6123265356885947,0.005472074205805716,3.725343740781884e-07,7.879612389814186e-06,0.005393809712358375
2100,0.00025698315708740576,5.776350429580046e-06,0.035384448700362135,0.6115032478619391,0.00530142999323834,4.0840848507363887e-07,7.90134294677888e-06,0.005448357363996221
2200,0.0002465689221757957,6.157609039132338e-06,0.0372391767701719,0.6106513142329871,0.005143544886872676,4.4946455730512135e-07,7.905514192133807e-06,0.005491184603691493
2300,0.00023663942755449102,6.537778898525873e-06,0.03921725341017631,0.6097721237968162,0.0049972034333872935,4.95935876016719e-07,7.893744893156025e-06,0.005523152399821663
2400,0.00022717950971926483,6.91610483147071e-06,0.04130838547169541,0.6088676706004756,0.004861298051938483,5.480375333299929e-07,7.867550620922647e-06,0.005545077413678087
2500,0.0002181748477543988,7.291906648128592e-06,0.04350232684133121,0.6079398888793283,0.0047348203263339935,6.059587194437633e-07,7.828350262359742e-06,0.005557734383018296
2600,0.00020961190118532567,7.66457415059251e-06,0.04578895066594454,0.6069904967968234,0.004616852880087639,6.698562112499674e-07,7.777472164319182e-06,0.005561858382505842
2700,0.00020147783845865728,8.033562833098808e-06,0.04815829469687357,0.6060204638240547,0.0045065626212746086,7.398502525219688e-07,7.716159404882398e-06,0.005558146790199563
2800,0.0001937604703839342,8.398389557663769e-06,0.05060064220828811,0.6050321586603606,0.004403193916427715,8.160200661699547e-07,7.645575042682805e-06,0.005547261231604566
2900,0.0001864481820657641,8.758628316032602e-06,0.05310657479410874,0.6040288109911568,0.004306061939159675,8.984008946045e-07,7.566807267401904e-06,0.005529829493230887
3000,0.000179529860941206,9.113906959820626e-06,0.05566702257653825,0.6030153583036673,0.004214547888094387,9.86985405756491e-07,7.480873239072921e-06,0.005506446967657354
3100,0.00017299483832048884,9.463903294840005e-06,0.05827325202638796,0.601993524109394,0.004128092946953436,1.081721757015695e-06,7.388723707310015e-06,0.005477678356327703
3200,0.0001668328242682148,9.80834173716218e-06,0.06091687674983173,0.600962605180543,0.004046193348492389,1.1825126784031573e-06,7.291246914606292e-06,0.005444059128438091
3300,0.0001610338493203376,1.0146990157551524e-05,0.06358985566336499,0.5999188177728617,0.003968395782588738,1.2892162523929606e-06,7.189272191435074e-06,0.0054060968560677505
3400,0.0001555882081732433,1.0479657032739146e-05,0.06628457450771112,0.5988632853582175,0.0038942933994843398,1.4016483792887918e-06,7.083573134192291e-06,0.005364272400366273
3500,0.00015048641107773936,1.0806188613910289e-05,0.0689938654097668,0.5977985633162848,0.003823521835290396,1.5195907196299913e-06,6.9748707398986644e-06,0.005319041076990546
3600,0.00014571913647427415,1.1126466178967936e-05,0.0717110162447081,0.5967290604225407,0.0037557553970479457,1.6427913623782919e-06,6.863836424962747e-06,0.0052708337794577734
3700,0.0001412771983938381,1.1440403711965485e-05,0.07442976648448324,0.5956568494310565,0.003690704053354046,1.7709704035450259e-06,6.751094425600794e-06,0.0052200578714547705
3800,0.00013715151360315083,1.1747945451624484e-05,0.07714426665775216,0.5945814269967774,0.0036281101688524064,1.9038190687491105e-06,6.637224396548364e-06,0.005167098154706082
3900,0.0001333330709343056,1.204906365207613e-05,0.07984905004779987,0.5935003801891381,0.003567745641257054,2.0410056736932543e-06,6.522763724360866e-06,0.005112317735044651
4000,0.0001298129061573023,1.234375639126652e-05,0.08253904451439258,0.5924107552871248,0.0035094091235875592,2.1821788332081823e-06,6.408209769790784e-06,0.005056058861278512
4100,0.00012658208668655588,1.2632045688634634e-05,0.08520965289263742,0.5913167992782784,0.003452923820001224,2.3269755830507758e-06,6.294021712736655e-06,0.004998643625906507
