miliseconds,GP,pGP,mRNA,PEPCK,IRS,p1IRS,p2IRS,p1p2IRS,Akt,pAkt,mTOR,pmTOR,Foxo,pFoxo,PYRout,GLCex,F16P,PYRin,LAC,OAA,GLY,G1P,G6P
0,0.4733135072377204,0.17285786231404343,2.9055666452369264,0.768559501409713,889.9564179757195,-221.97003689418764,1.6770648683535836,4.017570635935054,1.1277266407496815,0.0041626307632548895,880.250049243492,0.0001164898762217161,1.0695434629313747e-05,-8.788930433637668e-09,34374.999166826376,28726.129456612514,362518.4802168978,37394.42615292422,37916666.67732207,87.23773929978019,182757.43213521413,200876.67300572383,19676.147614412494
100,0.6424797172563486,0.002397426241374895,2.903636922586625,0.7684840650301078,18.066964892915962,1267.5770093049548,-9.062180381520617,-0.08221004236519751,1.1199168098990981,0.0025794642110981017,880.25064405934,-0.00014853266678078282,1.0655969821282185e-05,-4.380616536456195e-09,34375.00145518215,28696.60052541922,362029.1519801646,37392.96747585329,37916666.700248085,89.40952322679888,182758.14851497055,200851.7412095635,24350.99566622372
200,0.64242366685273,0.0006460627463181557,2.903541871425648,0.7683087758546195,22.041818045722454,1479.6241593809814,0.08516886765446088,-0.6703998135089625,1.103394833701718,0.024446644574289356,880.2494665566181,0.00016243044899773884,1.0669683751064583e-05,7.818189613642634e-09,34375.00295367872,28684.555762307802,361673.52658392297,37392.76744743946,37916666.71431926,98.91899469397885,182758.2387204652,200839.82895136322,26635.34385565131
300,0.6437055178122474,0.00209987293720979,2.903076677634738,0.7683092458542524,22.007886673849097,2234.5393359543523,5.15021276309064,3.324336008093485,1.0991437639252333,0.0228670639981836,880.2504137818198,0.000759913741152081,1.0711892600979093e-05,-3.916938617358092e-09,34375.00388402169,28678.100512697183,361668.5730022455,37391.36004830883,37916666.717747755,100.87761579371549,182759.01734104392,200823.6876633701,27748.939582995292
400,0.6430246796788001,0.0015822254248865455,2.9012601582636326,0.7680825671166255,23.741379595547354,2735.117811595984,-2.274032728620445,-5.617425602060475,1.0880764710062258,0.03651200702591807,880.2502090126812,-0.0005537091452737862,1.0645303704024124e-05,2.417675177294771e-08,34375.004095816286,28676.419491502736,361488.8120571126,37390.953351001765,37916666.73134591,109.09971820607502,182759.59979672477,200820.93632387312,28453.716410953224
500,0.642845040660996,0.000938076703766921,2.9006779125825584,0.7681107250566205,16.13258669684148,3465.289402049543,-8.619431731672641,5.727628019872118,1.065324920528694,0.04173927792675105,880.2498438687373,-0.0005274207061891881,1.0678038301689345e-05,3.5264947974038475e-09,34375.005156618085,28676.57693255326,361017.6588247535,37390.10217190969,37916666.75236361,109.1635500412489,182760.21554110173,200805.2081457338,28813.268915465815
600,0.6443195128831304,0.0014037322771214334,2.9000490491384956,0.7678714880506089,21.55129408845808,3531.4416762412598,-2.5927464738643,-5.229846673519172,1.0448866536934676,0.06994280724596158,880.248903521726,-0.000200746892692355,1.0652548525556562e-05,2.7887014317331862e-09,34375.0070583095,28677.758493144494,360476.88068392046,37389.26518129049,37916666.791405275,115.39410677671698,182760.4770064675,200796.23166444813,28955.002235802775
700,0.6425166105289698,0.0013857939836505702,2.8991765946709203,0.767887555270099,24.762687311573647,4055.1507497152093,1.4001723439176201,-1.9134661585636297,1.0467564802456506,0.08423035350574293,880.2488379279537,0.0011794143992522573,1.0694081305022723e-05,5.244378557464526e-08,34375.007580549296,28677.679525579686,360255.4131041812,37387.76031274748,37916666.79587438,122.8654518852754,182761.00841077094,200786.33586181313,29111.76889165221
800,0.6437651700022768,0.0002879894490396041,2.8986619057903047,0.7676576829324634,21.493939071767553,4709.672506043054,8.23001281725255,0.33165053639873004,1.011502506949238,0.08219528557704964,880.2485529530547,0.0015899443761130776,1.0613939042837108e-05,5.15672118495787e-08,34375.00942741849,28679.79276794057,359758.6940430643,37386.992576665514,37916666.835180454,124.80964499115868,182761.33079329217,200776.85946249933,29143.674292003023
900,0.6445511716602169,0.0022924329735490006,2.897386116084273,0.7676317928168351,22.64028915482583,5086.760304126501,11.58352969176088,-4.023284800666693,1.0100741050355204,0.1019917174275331,880.2495988020705,0.0008702729260029348,1.0674778535528256e-05,5.86714624566977e-08,34375.01119023015,28682.48743364052,359462.95715015306,37386.358640293794,37916666.83075305,130.49099429756907,182761.75022342984,200755.90319618877,29168.190572762698
