miliseconds,GP,pGP,mRNA,PEPCK,IRS,p1IRS,p2IRS,p1p2IRS,Akt,pAkt,mTOR,pmTOR,Foxo,pFoxo,PYRout,GLCex,F16P,PYRin,LAC,OAA,GLY,G1P,G6P
0,0.47379692127256345,0.17252976761999,2.9045319343294103,0.7686230292414568,887.1448202599839,-249.06731384754184,3.505592886078612,0.5213626613445722,1.1088210689642093,0.0030974585847205888,880.2499970184477,-0.0007892854156971641,1.069959045681035e-05,-2.252157264375038e-08,34375.000483562806,28725.919069645617,362502.00347851694,37394.566968793755,37916666.66023692,81.88537662213172,182757.71941798888,200879.0887854468,19602.331247981296
100,0.6425008944504145,0.001442853660970641,2.9039537379198515,0.768561644930162,24.56306144031051,1159.8909841356053,0.8173975627438085,-2.1978453315449653,1.108726915796848,0.0035824243935278976,880.2504976278693,-0.00017031255014049915,1.0660090324394924e-05,1.042698944930465e-08,34375.00106114085,28695.510743245984,362051.5986400904,37393.124634878644,37916666.69299363,90.50196882091832,182758.3655612568,200855.11703921418,24234.14777546216
200,0.6439801298879504,0.0012520679185219475,2.9035446039767105,0.7684128052987705,24.144367670552818,2078.4693531251937,-4.291190472393578,1.7130956763096545,1.0932260019632,0.011109263013346282,880.2495172687987,-0.0003603595612266599,1.0655389443598904e-05,3.1857200922457085e-08,34375.0026865475,28684.57162425597,362096.0836729241,37391.87011250257,37916666.70578219,97.49828400923103,182758.26499042797,200843.7218935099,26527.157818649994
300,0.6440429452289433,0.0007718588326896274,2.9030963464676507,0.7682466039540332,23.866379158501474,2303.315015860186,-5.973500924146602,5.419253481678066,1.1014241301507257,0.0201417123546506,880.2493320833677,1.4052093910289911e-05,1.0672009467156946e-05,-3.1251351671680923e-08,34375.003887171624,28679.234147179992,361746.3726112704,37391.34926990979,37916666.73463836,99.9020877244331,182758.82166921382,200836.51316448237,27789.621145855122
400,0.644427785171989,0.0017957324975982646,2.902232175858079,0.7681321484663707,20.74698063632867,2976.5934731078582,9.580025075640098,1.297830914994651,1.0952673724050563,0.03654414005611551,880.2492727779407,-0.0003832026840805656,1.07004938918525e-05,-2.2385307247839366e-08,34375.00547068687,28676.74579883171,361450.851840737,37390.279260951065,37916666.734256774,110.16309941539826,182759.1198019683,200819.87763747203,28447.498257074167
500,0.6439237705727212,0.0016180136436899587,2.900949824036444,0.7679635914616919,15.261347114020648,3361.560167799488,-0.854978123348525,-5.36294808135836,1.0664022171239547,0.05425757326552662,880.2490241667779,-5.690530803281865e-05,1.070407005822354e-05,1.210273843599652e-08,34375.00636081136,28676.050164170134,361049.0165988427,37389.60674301134,37916666.7777497,114.0350462115536,182760.19865359497,200802.28372764646,28727.18478459179
600,0.642784667048981,0.0016914537097339267,2.8996070735331907,0.7678810026400417,21.27002824277146,4006.896283195746,-8.80034664097606,5.985404222563612,1.0492790105115524,0.0577720469066275,880.2503666633054,0.00014126740435736952,1.0652230021753973e-05,3.749161748257078e-09,34375.00657844752,28675.64663685888,360616.47300091013,37388.430255971754,37916666.77920677,121.30159553790476,182760.12123988316,200805.3263173121,29021.973870865517
700,0.642866836106796,0.0018479075067248144,2.8988389371907552,0.7677742462696548,24.940983880069457,4212.212262381174,3.917229286073583,2.4623037653523836,1.0429729432112405,0.0822981529747509,880.2488392123738,0.00010706824285160925,1.0673645990125476e-05,4.265733220185745e-08,34375.00908485879,28677.846736326162,360451.93596664356,37387.48725123228,37916666.79592797,119.77271706946675,182760.50352756644,200778.97579539774,29111.04372636931
800,0.6437988215327923,0.0007522509524063722,2.899026256182928,0.7677584233006429,22.252074608780006,4527.067498054825,-5.4628934734666466,-1.7503850155096177,1.0241461133873524,0.09643305472052502,880.2500855718928,0.001324586700072342,1.0625167532843168e-05,1.4798895188104794e-08,34375.009749956014,28678.648017842086,359916.85433105327,37387.11532603577,37916666.809441485,132.4314802694452,182761.29519387532,200776.44089688966,29096.390819869248
900,0.6432922409860117,0.0015462823041965086,2.897609546700112,0.7675203929510458,16.523932659467867,4984.815263330621,3.5530088091663377,-4.623999198255443,1.0171429932537281,0.11717141032043864,880.2486067773876,0.0003484296416671125,1.0655588139892439e-05,8.443309540730361e-08,34375.011080286786,28681.773490124986,359530.26119934116,37386.37192311319,37916666.8526136,134.93721570125732,182761.86125324204,200758.23443115785,29136.62623044835
