miliseconds,GP,pGP,mRNA,PEPCK,IRS,p1IRS,p2IRS,p1p2IRS,Akt,pAkt,mTOR,pmTOR,Foxo,pFoxo,PYRout,GLCex,F16P,PYRin,LAC,OAA,GLY,G1P,G6P
0,0.47244896071281994,0.17260772521285783,2.9054005130575606,0.7686688028492006,885.8012136885102,169.35253116916493,-3.5287566388013007,5.008992747582504,1.1270865427655434,0.006786060153951889,880.2506435978444,0.0002540630024633091,1.0670253211360748e-05,-1.8670552920204337e-08,34375.0005559838,28723.677191801416,362435.92190759705,37393.40360203905,37916666.67092916,82.73592057514708,182757.82027043842,200869.865064816,19654.953250624378
100,0.6444087152751625,0.0012923533149504516,2.9047858422748236,0.7684648999757923,14.371801683319603,1507.9082720561664,5.932654346110269,5.32445308622304,1.1022588783982525,0.000123404350406078,880.2492853052595,-0.0008405188000018907,1.0680852349021049e-05,-5.9302664230389485e-09,34375.00132870453,28696.73360693264,362352.1511614544,37393.48062587027,37916666.67941251,89.1392946302862,182758.0099645214,200856.34681473117,24289.46909070542
200,0.6442886667346613,0.0016596736138758082,2.9030331714924813,0.7684231638793371,21.92456600849624,1545.5498835711467,-9.834882693827812,-4.874073780605798,1.1042490761578028,0.018207409978833352,880.249182144336,-0.0001111637622225595,1.0686899537134832e-05,-1.2991200244277783e-08,34375.00302211607,28682.23830470939,361838.2633913742,37392.4222380107,37916666.699737206,94.74836418251576,182758.65465849696,200845.10449506086,26642.968969821846
300,0.6436086941533059,0.0015593579499262324,2.9029504943609665,0.7683470714010278,21.28492500284029,2107.0486987982886,5.598930312178435,-0.4327447559778208,1.1047095748207698,0.024234990029518823,880.249893995025,-0.0007826436912272743,1.0716457097869924e-05,3.4259155433219205e-08,34375.00423723985,28677.4187972604,361405.05131548364,37391.37282557244,37916666.731829144,102.33576283242616,182758.92429015524,200836.46095443642,27762.630623777364
400,0.6432409351388517,0.0015818516557819758,2.9019859205598495,0.7681180313661455,21.303195338314794,2712.350231196359,9.03066792303759,-1.1687836765212345,1.0800859089454353,0.02512756166246192,880.2492628368523,-0.0003104589351542106,1.071958319170112e-05,1.5178840453803048e-08,34375.00479977818,28676.259509274372,361484.99121717346,37390.08369709537,37916666.749135666,107.68414085935234,182759.58179752226,200827.96089167634,28402.19963286353
500,0.6434913751237643,0.0014162764333862403,2.901469339702128,0.7680497289610235,24.81840485649186,3053.7810495282597,-8.604348043263293,-2.4103624580410616,1.0769405033013861,0.038604087467155324,880.250357466946,-9.008728434272328e-05,1.0688351655637042e-05,3.053756885397062e-08,34375.00602930242,28676.85158651894,360797.53375374916,37389.18173323074,37916666.762656465,112.21292750591466,182759.56556635266,200807.58870956546,28757.54185779695
600,0.6436503424651872,0.002156855591125568,2.9005837254642692,0.7678789947770385,22.68605869938247,3961.5460452597918,9.697428071516969,3.940855941204456,1.053491370612107,0.07004259084223409,880.2501198823795,0.0009367331692824795,1.0691991926912443e-05,1.4566641472932998e-08,34375.00758513349,28675.043113484968,360828.0890471665,37389.235614856036,37916666.78964939,117.94968395451485,182760.4046199006,200790.4014005945,28998.949096010158
700,0.6437638199584768,0.000677304061032697,2.8992044842764706,0.7678686631768531,22.030758370868202,3995.1857897672903,-7.88002948499621,-5.966942229169734,1.0445701626424853,0.0868946518073012,880.2496794809815,0.0008586095220926742,1.0648835550987422e-05,5.5634588923279143e-08,34375.00870091452,28678.65087924557,360352.7235364932,37388.34800353029,37916666.79362651,125.15740020142619,182760.58960539842,200792.27642717093,29089.713539993172
800,0.6437636627584192,0.002263798400213273,2.8980249457085523,0.767668489991114,25.502006128744686,4853.519787576805,11.90373125863688,-6.242834401878181,1.0137279986377876,0.10685491398197422,880.2493549332669,0.0009911572513162852,1.0664510417518637e-05,3.903287281846257e-08,34375.008728295885,28678.527913227314,359750.69269897084,37387.40730393276,37916666.82192264,131.45261473124245,182761.0916399996,200775.47146522702,29124.841134540864
900,0.6442935314575657,0.0013636115309971413,2.897318574887514,0.7675649250519417,14.526037621957464,5178.1076826818,8.26176402906597,3.373229160793558,1.0138450315803098,0.10295489422690778,880.249164515157,0.0014027489755206349,1.0605697973758e-05,3.589821152366148e-08,34375.01035365343,28681.810813059736,359691.61270942725,37386.32190763252,37916666.83275527,138.42988732693883,182761.65640815365,200761.10938507583,29192.72861974888
