milliseconds,S,ES
0,0.0,0.0
100,0.09987511670264836,-0.09987511670264836
200,0.1995008523676982,-0.1995008523676982
300,0.2988778283632545,-0.2988778283632545
400,0.3980066686306024,-0.3980066686306024
500,0.49688799629283953,-0.49688799629283953
600,0.5955224034538498,-0.5955224034538498
700,0.6939105227781558,-0.6939105227781558
800,0.7920529764474559,-0.7920529764474559
900,0.8899503866434487,-0.8899503866434487
1000,0.987603375547833,-0.987603375547833
1100,1.0850124973835564,-1.0850124973835564
1200,1.1821783841394558,-1.1821783841394558
1300,1.2791016633739152,-1.2791016633739152
1400,1.3757829497592777,-1.3757829497592777
1500,1.4722228579678867,-1.4722228579678867
1600,1.5684219502929089,-1.5684219502929089
1700,1.6643808146260877,-1.6643808146260877
1800,1.7601000864651253,-1.7601000864651253
1900,1.8555803719041815,-1.8555803719041815
2000,1.9508222770374168,-1.9508222770374168
2100,2.0458263587760985,-2.0458263587760985
2200,2.140593126049999,-2.140593126049999
2300,2.2351232433051536,-2.2351232433051536
2400,2.3294173054032523,-2.3294173054032523
2500,2.423475907729124,-2.423475907729124
2600,2.5172996461907386,-2.5172996461907386
2700,2.610889117219206,-2.610889117219206
2800,2.7042449177687775,-2.7042449177687775
2900,2.797367645316842,-2.797367645316842
3000,2.8902578978639317,-2.8902578978639317
3100,2.9829162739337165,-2.9829162739337165
3200,3.0753433085834985,-3.0753433085834985
3300,3.167539300719284,-3.167539300719284
3400,3.2595050769271134,-3.2595050769271134
3500,3.3512412190264147,-3.3512412190264147
3600,3.442748308483176,-3.442748308483176
3700,3.5340269264099486,-3.5340269264099486
3800,3.6250776535658455,-3.6250776535658455
3900,3.7159010703565407,-3.7159010703565407
4000,3.8064977568342697,-3.8064977568342697
4100,3.8968682926978313,-3.8968682926978313
4200,3.9870132572925856,-3.9870132572925856
4300,4.076933224938093,-4.076933224938093
4400,4.166628428268766,-4.166628428268766
4500,4.2560996818975285,-4.2560996818975285
4600,4.345347547919958,-4.345347547919958
4700,4.434372587211068,-4.434372587211068
4800,4.523175359425316,-4.523175359425316
4900,4.611756422996598,-4.611756422996598
5000,4.70011633513825,-4.70011633513825
