milliseconds,s27,s45,s47,s48,s50,s51,s52,s57,s58,s60,s61,s62,s63,s64,s65,s66,s116,s117,s118
0,1.723,0.041499340686496494,2.8269988775140753,347.52000074967617,2.119974088454543,34.98036660852252,7635.359795640976,199986.99992914617,1.0369950823733403,0.00889982919274617,10.980118824594593,0.10599579638842122,499997.13451672014,-0.9427239968629308,0.6430124801237168,0.08300077077474738,-0.00018552514898802265,-2.7064371670136752e-05,1.3445261047125974e-06
100,1.723,0.04147625580123136,2.8271389499882016,347.5200428613374,2.12077969650445,34.97974699130999,7635.359836493693,199987.00085488585,1.0373107227996943,0.008867858476253218,10.978724218913243,0.10599244478121611,500000.9710280968,2.846478815578912,0.6431165317827952,0.08301538953105302,0.00040826659905013394,4.0857622162895705e-05,5.261554522617156e-06
200,1.723,0.04148182586346453,2.827140598546808,347.52015928060837,2.121009254401137,34.97863324073437,7635.359965989552,199987.000960739,1.0373157603400753,0.008865667820585477,10.978495026144172,0.10596534928941298,499993.10947147047,2.4719188827215897,0.6431190752309995,0.08302245372118834,0.0007366792309177091,1.3237391209157766e-05,1.1232460255041106e-05
300,1.723,0.041482190738069864,2.827140561139779,347.52020873740616,2.12109186607406,34.97853293163259,7635.3598325208095,199987.00124323304,1.0372864011826233,0.008864404664102637,10.978292634315226,0.1059360109490472,499991.624711596,9.738518524532054,0.6432057940702969,0.08303298919845266,0.0006728461515642217,6.386322715876768e-05,1.5502120222612378e-05
400,1.723,0.041482906904714664,2.827141355790045,347.5202168199538,2.1211227185118173,34.97879882498907,7635.359995182198,199987.0013576042,1.0373013164063072,0.008862609290953356,10.978195845986443,0.10592114275954662,499990.344682921,8.429832394345246,0.6433246516422442,0.08304062994797037,0.0016729988237112981,8.886944294215173e-05,2.1847987416071633e-05
500,1.723,0.041483216469086516,2.827139263994711,347.5202393227347,2.121114725678911,34.977626046347595,7635.360240305058,199987.001294519,1.037293385259732,0.008860166953028542,10.977994096853807,0.1058995221976419,499990.4717813565,12.099240016526515,0.6433505251056131,0.08303753893727263,0.0017852517254946258,7.449359218371406e-05,4.070995803105698e-05
600,1.723,0.04148236497339622,2.8271415137110862,347.520246381731,2.1211197357318734,34.97744063080509,7635.360440684062,199987.00134111362,1.0372556497288552,0.008859269052599726,10.978015694236877,0.10588413341220179,499987.2698030746,13.225913354464979,0.6434273484249449,0.08305248491635646,0.0022118581846509986,0.0001126279865782706,3.1091276900873356e-05
700,1.723,0.04148238994948515,2.82714155306881,347.5202490882749,2.121043687599359,34.977168514036315,7635.360492148883,199987.00153771497,1.0372432532885054,0.008859166145634208,10.977672506152027,0.10587082006757839,499982.39455956296,18.638002963295932,0.6434303937494653,0.083063519659051,0.0018784872614917808,0.00014313859742618148,5.137979875243713e-05
800,1.723,0.04148217880201525,2.8271426941705893,347.5202682247397,2.1210746464104804,34.97707307709955,7635.360891257952,199987.00158792143,1.0372385652539666,0.00885751283368564,10.977593359585848,0.10585858318960312,499979.15269883187,19.26434815932096,0.6435050949037626,0.0830757286985741,0.0025825386046277638,0.00019022036244262334,6.17615948087168e-05
900,1.723,0.04148131067061024,2.8271416807662417,347.52025947045354,2.121001527175875,34.976110386456966,7635.360852595986,199987.00185315523,1.0372194394213514,0.008857394372835756,10.977662276300393,0.10585480222658578,499981.5835682291,19.596275806139,0.6435657208995352,0.08307507235592036,0.003382841163577294,0.00017847976153482204,6.774485489787816e-05
