milliseconds,E,R
0,996436.6511057452,1.986971256274248
100,1003168.4557057217,2.0098343598086372
200,1016251.093336512,2.018640584532492
300,1004604.4980661856,2.0552050001454036
400,1014554.5651396182,2.1247360524154124
500,1016515.6072664922,2.15006034472485
600,1022208.9292771346,2.137200875888239
700,1040726.9100996852,2.2143294099225503
800,1030374.2170030591,2.254637791279132
900,1045259.2453620086,2.2390488384253913
1000,1048357.5608394754,2.25421305246648
1100,1059129.156187435,2.2795962741659928
1200,1059711.792359013,2.36193688574351
1300,1061346.8583953087,2.3973963606808835
1400,1069293.256886989,2.4220303134878765
1500,1085661.9010606764,2.4084949195022056
1600,1082132.8764532094,2.4813461359621583
1700,1104083.3108100486,2.507091733701964
1800,1108616.2412529942,2.5616380545064263
1900,1118146.569888342,2.514706498359407
2000,1113606.044514691,2.616817545954473
2100,1132177.3817449172,2.5739523613228337
2200,1141329.457184519,2.668424070452388
2300,1150503.285403049,2.643190844921459
2400,1154432.9477862054,2.735865453733938
2500,1158423.49951284,2.7182360752958394
2600,1157999.728039804,2.7437580786037157
2700,1174451.0980919558,2.837355080774581
2800,1177902.124212192,2.784784134374904
2900,1191798.6950364122,2.8788338894366032
3000,1197687.4902976565,2.882555896408805
3100,1209861.3548432484,2.9068329483592863
3200,1222035.8514140735,2.9149592310631545
3300,1212876.0124884362,2.9567717015340547
3400,1218468.4133670628,3.0077656013673177
3500,1242418.080636181,3.0225523164686194
3600,1248108.5392507229,3.034808424084944
3700,1245573.191081545,3.096740501790196
3800,1259409.0671555274,3.1682979153065176
3900,1254568.1014685147,3.1491987054996797
4000,1272601.9212243366,3.1663354641582626
4100,1275050.0601369878,3.2091236198918724
4200,1273495.8652751723,3.2878112310488317
4300,1277620.1436999096,3.2454993871518427
4400,1300184.1655094055,3.319028417302754
4500,1305171.4402075387,3.3453732034122146
4600,1300967.4774689854,3.4063562650984816
4700,1315478.1127412352,3.4152289858130356
4800,1310112.6120722366,3.47989962178384
4900,1311254.813181669,3.4585233381203015
5000,1315568.1194836127,3.4732092866944897
