milliseconds,E,R
0,1000398.6866874633,2.001505244931214
100,998233.627386983,2.066220155220453
200,1011151.7554819735,2.076809772027974
300,1001778.0437727472,2.1132005074278584
400,1022939.0092914519,2.152014486158314
500,1030798.222496496,2.1556875475067505
600,1025197.472652748,2.1718416473923234
700,1025402.1015926815,2.2004366258374772
800,1034735.5833873118,2.1922623095302574
900,1042633.3459428309,2.2597356259097365
1000,1051943.5033199044,2.2649117303622903
1100,1057173.8031676484,2.289061715699851
1200,1068788.4087974927,2.3462426203975695
1300,1068775.8333449804,2.3489600313969365
1400,1075932.291125094,2.4134212111179556
1500,1082804.4074026605,2.4533340310049923
1600,1089310.7798977525,2.4955391464654157
1700,1088935.388074337,2.5235074649296303
1800,1104808.4382213578,2.5319520716862307
1900,1121631.8140856347,2.58364825369927
2000,1127617.3172828008,2.5900911271822245
2100,1129697.5470480716,2.6333363038012845
2200,1129869.8227118158,2.623061688667771
2300,1147283.399733537,2.6441288521230106
2400,1141318.8358382871,2.689950818666707
2500,1148481.958154972,2.7329777531554424
2600,1167366.8621923998,2.7908792987169946
2700,1175416.9670860951,2.8352115287537
2800,1179758.433767596,2.814126720575302
2900,1184268.4766118734,2.8381390842289917
3000,1193064.7838295454,2.9072715339782103
3100,1211594.329151687,2.9141598730458624
3200,1211706.5597461034,2.9249225420422484
3300,1228276.0758058133,2.987301574770715
3400,1221027.6119507183,3.036499031251782
3500,1229746.4833919094,3.052491818807073
3600,1241028.0934949054,3.046986428546443
3700,1253780.5448204426,3.0847031400777656
3800,1244606.5310584344,3.1519035223049943
3900,1256634.2558039653,3.186908434940623
4000,1276420.7876839433,3.1950399376844705
4100,1279655.0087066463,3.2187970054567896
4200,1277711.9358952562,3.215289249829028
4300,1279137.5728320875,3.3090477000600766
4400,1289047.6924334746,3.2935698365729817
4500,1289882.3201882723,3.3131022856949506
4600,1292721.9636575098,3.3428492757178696
4700,1314401.091937853,3.43207212243323
4800,1317070.2472292408,3.4601493458088957
4900,1321299.4798547856,3.4811762247649374
5000,1316496.045329676,3.513713818640177
