milliseconds,E,R
0,998339.2601823426,1.9996787021509397
100,1009721.608849836,2.0199074903818937
200,1002007.2344296862,2.096172960785123
300,1017374.1341946837,2.085698965449651
400,1006904.2817427646,2.068806766069519
500,1031209.9245936868,2.183918388031427
600,1029137.8534284037,2.1943771691959504
700,1031941.87528373,2.2262067348175143
800,1030501.9907626539,2.23232260358101
900,1040951.5234965589,2.286258645791742
1000,1057422.9339697931,2.275039843468866
1100,1064441.9582075204,2.2740911152186163
1200,1062900.4981245657,2.3614172332659065
1300,1078851.942142448,2.395194736021836
1400,1078707.0349427094,2.3815941713912134
1500,1085004.4360582419,2.4683710772141567
1600,1087988.7709148861,2.486892207298918
1700,1087723.9852587676,2.514041451634592
1800,1097130.3010929425,2.5402290066473707
1900,1106607.0624516634,2.5362544733068098
2000,1110426.2298636045,2.578277721356845
2100,1131593.7270985388,2.6123674248763025
2200,1127308.2157041882,2.6594224448703896
2300,1134285.3390987962,2.673180535426248
2400,1142792.8437634273,2.68411123287481
2500,1163019.6009840928,2.756086027799163
2600,1164445.4814767577,2.771058222676226
2700,1172192.8183271307,2.759914754812587
2800,1173116.0176514522,2.7967098439894826
2900,1194988.7707330252,2.842171912084054
3000,1187906.3981805982,2.9094391928866394
3100,1197746.3003789014,2.9290703497234207
3200,1215324.698128884,2.986670368600473
3300,1215726.6980370348,2.9448391315189117
3400,1235851.3782946297,2.9898047915616774
3500,1234830.0793009729,3.057150714085075
3600,1232718.9300176508,3.041232672599102
3700,1255107.6535086064,3.1017422426621906
3800,1256528.187624666,3.15183798286032
3900,1268093.0816757944,3.2048999847244772
4000,1272474.220686708,3.209484027339309
4100,1270384.3244461473,3.2615772678425405
4200,1276456.5105295228,3.226946865660899
4300,1275656.3026552766,3.3269001129722673
4400,1283971.1106430222,3.2844801612647125
4500,1288577.7601173143,3.3152275097258346
4600,1292614.7068734714,3.357113122657599
4700,1307559.477225051,3.4225806039844437
4800,1311314.139840957,3.4257695349152053
4900,1318991.1605062915,3.4654884832379484
5000,1310709.5105825178,3.5010986726653557
