milliseconds,E,R
0,994601.0004063034,2.0057980855383883
100,996781.5829731169,2.026826841741565
200,1015716.514235284,2.022597439367439
300,1020057.9452083384,2.076123473882068
400,1007045.2705703813,2.1167378570863042
500,1020934.7873214681,2.172096354807113
600,1024899.6121833021,2.1574956378009227
700,1023244.6818463221,2.165707669555214
800,1031536.0687146627,2.2191884667310644
900,1038056.468291757,2.241606660998256
1000,1052417.749314716,2.2766468367986903
1100,1048353.0027645356,2.311495258876471
1200,1056146.963894693,2.383976480343851
1300,1074098.3250724284,2.343059742525125
1400,1083006.8956805314,2.3868294150326057
1500,1079827.0321881978,2.461740061006199
1600,1095819.0092427675,2.500018384362408
1700,1092084.891003136,2.5329231073425853
1800,1102227.874648491,2.501135868170923
1900,1114943.0033828698,2.543507197092466
2000,1116160.2306008304,2.6144920337889044
2100,1131481.9644839382,2.6516513923191494
2200,1140295.0646237158,2.639861895845488
2300,1139787.4886209187,2.640528138550543
2400,1152560.9040099562,2.7221532408726774
2500,1150591.5839915585,2.7382096052005234
2600,1157866.2602312814,2.8020155466070755
2700,1173224.5726636613,2.7675468022765126
2800,1177370.9541182271,2.807730435069453
2900,1188616.0373273988,2.8137000911342036
3000,1199298.9738140998,2.908395406922979
3100,1204821.6126252026,2.9237074907843703
3200,1202682.5447154837,2.9373743546133047
3300,1214009.3958847094,2.983764723216253
3400,1218156.077261182,2.9827478873417927
3500,1233739.1398214542,3.0428110622733664
3600,1248254.6102834607,3.0474461534429724
3700,1239320.1611104445,3.128794682071129
3800,1264874.9477784745,3.09454290075806
3900,1267977.9193386238,3.1173301944660374
4000,1265826.6259938253,3.1653745464119503
4100,1267341.8112599219,3.216532078092031
4200,1279587.7964353277,3.2779388714154516
4300,1278482.1328214367,3.2907396031996243
4400,1297826.4097186783,3.3348728704673825
4500,1289016.4126153958,3.313559994953048
4600,1293978.7165356078,3.3549530710511166
4700,1312117.1327491442,3.4199938070538556
4800,1302107.9918543366,3.414269068659685
4900,1312254.6393621643,3.477650941195752
5000,1312779.6026448137,3.4883893348387276
