milliseconds,E,R
0,1009127.9801794303,2.0314481851363935
100,1001116.2555560829,2.031023228501129
200,1000575.8454190308,2.088045008565189
300,1007431.6760991608,2.12283220237354
400,1023248.9634400883,2.140254431125756
500,1027425.0114123301,2.145450512921962
600,1035805.374371955,2.148156493083743
700,1033085.8956597468,2.1817498484931126
800,1041996.7359303462,2.2690565496085457
900,1052725.6978476343,2.239818900317
1000,1043999.1987396507,2.255031581053427
1100,1057194.167975729,2.346333012449981
1200,1065794.9441312556,2.346731088198891
1300,1060478.683297271,2.3569626460782684
1400,1073500.5697504266,2.4132683330215006
1500,1092825.3951612532,2.4015315086129365
1600,1082798.7685667688,2.4789101374320515
1700,1092082.8011364634,2.4669727867875255
1800,1114180.1107473853,2.5144880897824735
1900,1114893.0582754875,2.533388336076005
2000,1116385.3471851717,2.5383256642076724
2100,1118767.433108397,2.6551075479436888
2200,1140993.1408031401,2.6785659589809776
2300,1141958.876888777,2.7114936090356516
2400,1151609.8839201734,2.6804687686109654
2500,1162158.1440900185,2.7705984175787344
2600,1164607.879314503,2.80174163648279
2700,1170203.9655869869,2.7762551107523206
2800,1179742.9328480533,2.809915589982074
2900,1180885.0567587612,2.839795704765808
3000,1189579.818637818,2.9255954864270737
3100,1212878.1037304832,2.8914401961710543
3200,1212146.8230966462,2.9842256742179085
3300,1224786.7596733193,2.9626776881278385
3400,1235294.1331118578,3.0107074381018095
3500,1230789.051991881,2.995744789895836
3600,1237909.1001259512,3.0917085733183094
3700,1243823.4224340043,3.133437749163143
3800,1259795.15360455,3.13550826835118
3900,1264231.4834693952,3.1456940067374815
4000,1274022.3546703807,3.2047575042213334
4100,1268431.6866409685,3.226152024174084
4200,1285333.2927678223,3.2343640345266675
4300,1288953.2176082397,3.2520976514803523
4400,1282025.8553394065,3.2846973354422957
4500,1296262.549470422,3.351647740838366
4600,1293567.4873117236,3.424020336077093
4700,1303518.0129307425,3.368744210688791
4800,1319638.26889106,3.4001547294595964
4900,1315742.4683636941,3.4907353585340664
5000,1313482.3163617412,3.504603185108892
