milliseconds,G,M,C_T,T_beta,I_gamma
0,99868.22714209718,101006.65090587652,0.9970714901667695,4939.372091676191,8983.97872007875
100,100116.34078393888,942.2309395899591,0.9902083078215977,7087.267450265266,8879.63525613483
200,100210.10254242508,-253.9913602141956,0.9958696307581251,8035.782371636029,8763.680440601955
300,100386.47233751953,105.04229891908247,0.988232186245063,8592.524615550878,8658.878129502871
400,100377.74399749734,-641.1988130958385,0.9803580394865746,8920.366461593436,8540.962945320802
500,100544.46948276967,365.35638260374697,0.977462867196838,8942.281018789437,8567.244431937088
600,100611.18018795535,-688.1221700407023,0.9750518889888364,9080.89203828802,8505.423723127682
700,100556.61725853832,-534.2132008332086,0.9673964742846974,9110.402065818427,8343.538200350453
800,100813.87542509989,-508.5479250518495,0.9684680327793665,9154.005442301484,8377.833913626948
900,100669.23546887662,324.14164601450364,0.9631813482601049,9091.434982627168,8298.67459365012
1000,100765.8527275715,113.25838644707517,0.959717238280983,9072.096920355096,8025.690115180915
1100,100978.9115426919,-1381.4215602374475,0.9555990176559308,9129.776823601653,8076.072356206444
1200,101178.02000855908,463.4988881162836,0.9410354728747603,9144.737087856778,7897.42339217577
1300,101137.77963239176,-893.5752656096458,0.9390425351518414,9120.044893844264,7857.779725221834
1400,101191.64906381682,604.4279663436566,0.9399678669850482,9170.409433745286,7809.311725937185
1500,101239.05003506386,123.48715966481072,0.9311119943121993,9188.393160296422,7814.925691186271
1600,101525.0525372191,423.83652431059386,0.9232764747039445,9184.167381838266,7734.120278191768
1700,101608.1365496138,1285.6772441946873,0.9197756692888621,9168.180834243025,7599.191296605123
1800,101485.69414262788,-355.00634085794997,0.91685215858866,9090.995831325727,7553.475168430787
1900,101742.7751487139,682.8128037931486,0.9174605075800908,9181.68948108015,7484.270522775855
2000,101787.26139281606,1147.4889236422082,0.9076379697318987,9200.487618252313,7288.593292902909
2100,101915.84720200248,-696.4693660077695,0.907613474985312,9151.782444577206,7304.106584631551
2200,102017.98145640231,-789.5292439066288,0.9038363523572663,9171.995418612549,7131.462988068647
2300,102152.92463418726,-754.8696596423993,0.8940819471168835,9199.794289592692,7083.136952166527
2400,102014.64242549657,1294.5951580055246,0.8919977818771397,9152.190800962855,6978.868128059906
2500,102193.36847931759,-364.79362251353325,0.8916925720733794,9080.306533938998,7019.3546463203165
2600,102461.47465988244,1188.2266669347043,0.8811620349317265,9074.942781664653,6876.782975436392
2700,102534.26346376985,-780.1731219096632,0.8882985266955701,9084.48328067137,6763.6233274388815
2800,102561.89956816261,258.52188933240774,0.8809734625372708,9180.802092173597,6786.5883172850245
2900,102548.40853998509,277.3632659246258,0.8761651899117339,9170.264334096793,6611.226481927304
3000,102808.95052156757,-1307.0339246695867,0.8718139851788813,9197.79646115808,6588.759744149238
3100,102676.1489732419,1146.238217246194,0.8679500539376092,9158.135493692911,6640.461078362697
3200,102781.68308086069,-868.9209742911129,0.8590453704834536,9145.609191721416,6456.392051052302
3300,103038.88705808362,-394.3202897595929,0.8630122184450922,9094.312224871093,6425.940500312503
3400,102969.23861077905,-175.66281944150447,0.8568739169766405,9151.503723684778,6262.757108258449
3500,103264.1898300986,-66.60984707990221,0.8476607926956579,9150.62281324314,6364.656608759138
3600,103280.992114777,201.80623592705132,0.8476528248237507,9151.728046668108,6260.736739050165
3700,103367.94105481649,-1289.5612926660847,0.8442685658589509,9174.849167725164,6133.275741703895
3800,103322.29719888914,-388.0466158662101,0.8319548836132034,9094.716727521061,6158.973747356213
3900,103397.1973912953,-1300.6396833375175,0.834808777594415,9102.481898841888,5978.149357542912
4000,103701.52740042353,-859.8066234393054,0.8359872620147103,9173.525117182111,5905.592603136986
4100,103568.56009208257,-857.4167710567256,0.8300162721577535,9124.238804917783,5980.851315957619
4200,103727.63523049292,-647.0770053768384,0.8262442922808501,9188.986566063617,5882.079214452738
4300,103891.48481974812,534.9400219405445,0.8170815787275187,9159.371048747676,5702.607905298113
4400,103853.51291845173,1048.5599639859568,0.8101797951376694,9174.700214808197,5707.693049527303
4500,104099.19697686896,-1195.6228329939397,0.8083970909610683,9178.525573025292,5657.88838851574
4600,104111.25633523392,-1330.2212126686609,0.8100554769219289,9089.42293049966,5699.639691930601
4700,104198.71173427947,-392.13817100253556,0.8002076345649914,9111.597131485403,5562.277656550787
4800,104418.36492340725,1370.4344497529466,0.7960110230477303,9147.904610945514,5416.510724685249
4900,104427.00024678637,-130.67880198765556,0.7898597459198825,9155.510020315027,5449.090461409618
5000,104421.19167636466,-906.8153193117365,0.7872161110356359,9150.887275920857,5452.321702681616
