milliseconds,G,M,C_T,T_beta,I_gamma
0,99892.55133042192,98613.26887476024,1.0034770582520118,5012.707180011679,9096.355672015421
100,100071.22163304182,1345.5239502910702,0.9945125914099378,7045.640797408101,9007.253460956012
200,100206.91649169757,-604.560743024939,0.9894793129061598,8085.516621522474,8818.93577949619
300,100250.14192610138,-820.450920495638,0.9852395730980859,8617.380351052347,8706.703194745753
400,100391.32183560445,-1031.704662213321,0.979428536399645,8831.312363992574,8548.09968196287
500,100575.06123784657,-389.09079598807733,0.9824619598836453,9025.969376781797,8460.946910274977
600,100469.28233247944,-1037.3094896514012,0.971875597975619,9085.851584620526,8558.43040657638
700,100682.68803690876,-1232.0465054899223,0.9742652964313222,9155.117098378088,8481.24434361348
800,100804.92102515907,344.5708095214324,0.9610021045066536,9167.650407255338,8308.364175152215
900,100926.40295484387,-1141.8769937921832,0.9643082180930712,9192.365563005018,8271.504625365747
1000,100973.47272296177,519.2900737874387,0.958779227266537,9124.607250612302,8146.838901676074
1100,100942.37095352134,-1363.5173772231858,0.9512343772839861,9085.741320206163,8006.900593041997
1200,101189.65058900153,-919.1638748821169,0.9445970442456002,9093.69494623167,7955.429413890661
1300,101189.46792803566,-331.33977885514355,0.9370320009950165,9195.525048939824,7930.22909279777
1400,101233.30297060052,878.6209767493003,0.9406215390982036,9099.807739900667,7707.638863389327
1500,101469.28536134523,233.38480696678707,0.9353293495657528,9128.657842830204,7684.468718390929
1600,101302.38489466862,576.1343609224731,0.9326356430492354,9141.90630291114,7651.518869135122
1700,101503.14349388973,-272.7814470390188,0.9218206402627344,9187.340414121098,7619.731532654067
1800,101485.1698408063,945.7745899078865,0.9149429470812719,9109.817546287775,7553.321926424229
1900,101805.00991609014,-189.36003205278794,0.9119028761580417,9161.684314558659,7432.890557860267
2000,101766.33057867986,-1154.0108031734087,0.9149129062194228,9089.697765869922,7291.52540701072
2100,101757.10695437761,923.3466628020344,0.9043871714621178,9135.584634059034,7225.709964130438
2200,101960.2738274733,-313.05345227122785,0.9061776526591748,9117.879783558443,7136.305492584651
2300,102128.88891823446,376.4575179288522,0.9014794436701613,9176.01960601019,7082.3969955712255
2400,102237.47337446635,-147.90217861203274,0.8923183803890471,9193.426263358686,7118.090459526916
2500,102215.65504145177,170.05468946823717,0.8900982929386874,9083.04984905521,7033.190101145083
2600,102417.81273424072,143.16215239112577,0.8841111378434655,9158.248978305992,6940.347066774345
2700,102509.81876231644,-241.32982410569787,0.878261414672341,9144.052691613026,6881.02424114305
2800,102429.40207599325,808.5623037920717,0.8773755907309612,9106.894145739865,6658.6073259127215
2900,102616.80422907865,-689.5316282543297,0.8787799960362834,9143.9957654968,6742.430184288697
3000,102726.46800002283,542.8491980368941,0.8655418555910213,9114.160372715149,6539.871841773389
3100,102772.98054589565,889.354721730357,0.8628300247291297,9095.939562273512,6565.88260140987
3200,102740.55409027998,745.6354680199831,0.8633912050815487,9173.010758370938,6535.295435187682
3300,103047.77278820702,886.4538464881215,0.8609036183648441,9142.491165420879,6422.695450040532
3400,102991.30798766112,-685.3771293577439,0.8546288117469634,9159.847585449206,6359.439294309984
3500,103266.90800286796,1259.897938675969,0.8549786907532327,9165.665312503514,6393.6722350817945
3600,103113.48140071261,1259.27455473372,0.8457227505446612,9092.7355536417,6329.600298134215
3700,103337.04786263297,592.0966389571914,0.8419453752979962,9089.960856130285,6198.308842522945
3800,103385.79985094393,-432.50069097970675,0.8405355236489745,9190.159993940395,6140.486273555917
3900,103643.66564570599,409.38080667549445,0.8332647814334282,9104.125447588176,6139.755118077362
4000,103708.75984207491,440.5671874021971,0.834351804889257,9181.180676061678,6081.597373330297
4100,103645.35048773112,633.4610973396144,0.821301467127595,9171.433636109534,5927.479404745009
4200,103687.11773102234,-277.3176236385795,0.8213061743851818,9075.067953153684,5798.794290652485
4300,103818.40781558365,1132.7836874073673,0.8127522812680933,9089.5743191766,5804.080766929947
4400,103862.84470671999,-110.91557236155018,0.816501545387636,9130.833540148806,5852.250876635588
4500,103988.54214863009,-1192.539988085006,0.8132629785881929,9156.543551403514,5690.052325051659
4600,104131.18194474369,-793.947074724166,0.8018725643121374,9085.751651190285,5561.705619770723
4700,104173.24306948995,-236.03924037388492,0.804850210560075,9133.296540910358,5504.497321329277
4800,104216.82676560854,870.9189435284385,0.794797176934963,9070.572773473008,5540.6265831454
4900,104547.8525101195,1336.776926650743,0.7950308842335125,9146.828663312504,5464.249894937294
5000,104509.8194316274,498.0050915443045,0.7952878244174613,9145.664601177697,5417.932570204995
