milliseconds,MrnaP21,MrnaCy,MrnaP53,P21,Cy,CyP21,aPcna,Rc,pRc,aRc,iRc,Dna,Dam,P53,iPcna
0,1.0000320326314152,1.0,1.0,0.7268898180143265,0.4033991907666139,-0.00106943534518573,0.5019032488883411,1.0000002839868096,-8.605140198997512e-08,-1.7783083397239021e-12,2.4257337793445937e-09,1.7792489255233285e-14,3.884776364124627e-06,-9.056499992678633e-05,-0.00042595148275166144
100,1.000015079561487,1.0,1.0,0.22447695443313162,0.38785307389037377,0.01483829213870298,0.021236780765537422,0.9999986558158562,9.300448434473236e-07,2.018670064161881e-11,2.165925783654067e-09,-1.7328803904861611e-13,1.8817835066122892e-05,0.00386554338667899,0.47374519866367953
200,1.0000133786384904,1.0,1.0,0.20364914430562173,0.37684872996388474,0.01906177157007225,0.0045587448222996745,0.9999980935419913,2.0470221622824107e-06,7.338952944661902e-12,-2.8246367243286276e-09,-1.4936611747178904e-13,0.00023419350904526772,0.006204115796447697,0.49775834404469044
300,1.000094914815539,1.0,1.0,0.1990929088848215,0.37413318969213427,0.025870654357901517,-0.0006488993597985259,0.999997102240997,2.969772496030784e-06,1.3537054559145351e-11,6.602847054969111e-10,1.4610767047176098e-13,0.0003088678616194606,0.00763326291687216,0.5043071202047692
400,1.0001689585810023,1.0,1.0,0.17860723941378026,0.368650908083794,0.03864698847237363,0.0004962741978796979,0.9999964179246165,3.525951103859682e-06,-7.15459468615741e-12,4.782750522969453e-09,8.313738413229161e-14,0.00027805558503935467,0.008862871970944064,0.4942680891596439
500,1.0002920625108187,1.0,1.0,0.1754790818845784,0.35733105178335467,0.04045611682912795,0.0016779347948461451,0.9999956795128908,4.428762619471737e-06,-9.766557782572625e-12,6.515282404477798e-09,1.7133962224621067e-13,0.0006026447436764057,0.009392358852384911,0.5009508823643459
600,1.0003797724435033,1.0,1.0,0.17601666361834373,0.3557780867292906,0.05078246935187531,0.0010872549281506355,0.9999953952858833,4.981322892762858e-06,1.8288369719958603e-11,6.157215204490827e-09,1.9111855864076492e-13,0.0005686920033316069,0.009960924088474038,0.4935285801260809
700,1.0005096743774629,1.0,1.0,0.16102425286993508,0.34771688935101736,0.05184382236868038,0.0032967577890828602,0.9999945204548053,5.1166359540677745e-06,9.729925934652941e-12,6.369553653064163e-09,-5.113043873486634e-14,0.0006773763853296558,0.010192981303951722,0.5042552580818479
800,1.0004324606963217,1.0,1.0,0.16911814963310365,0.34626057717745007,0.054213504562733036,-0.00381550619992526,0.9999941077473122,6.25299567426448e-06,2.3194337589987766e-11,9.598874250272307e-09,9.244175755103901e-14,0.0007388897242913786,0.010226855955503598,0.5001258202148938
900,1.0004478391860192,1.0,1.0,0.1557038869383781,0.33909618178855927,0.0598356483896072,0.006863909169245477,0.9999936652764732,6.673755590993936e-06,3.0659130372401555e-11,1.5721609084110763e-08,-1.083544951852956e-13,0.0009997082121343717,0.010329772805837053,0.4945758656474753
1000,1.0007864418669439,1.0,1.0,0.14751436210305416,0.33530462785481735,0.0675369569863453,0.006114692370787548,0.9999930035085481,6.880674419111738e-06,2.2658860359625764e-11,1.6285036683340447e-08,1.245153176050335e-13,0.0010084881871215803,0.010672568276284797,0.4975614665972856
1100,1.0007693074794741,1.0,1.0,0.14359986434222238,0.33475339389584463,0.07360666118719417,0.0011561709713169962,0.99999253417218,7.441703367716696e-06,1.9744091128855217e-11,1.6385744172376535e-08,-2.561165018547022e-14,0.0011578014983270805,0.0107307408121811,0.5024097343285825
1200,1.0009472835652946,1.0,1.0,0.14270207365629894,0.32591234303610256,0.07566405449550638,0.0026342175805120797,0.9999924432744055,7.695984807148119e-06,3.1737613225266054e-11,2.6526782883425046e-08,-6.147378925029588e-14,0.0013384672672893017,0.010827391610642157,0.5018750502688282
