milliseconds,MrnaP21,MrnaCy,MrnaP53,P21,Cy,CyP21,aPcna,Rc,pRc,aRc,iRc,Dna,Dam,P53,iPcna
0,1.0000852141539236,1.0,1.0,0.7116615928885717,0.4032648142667046,0.002817093995460802,0.5030221623301439,1.0000000800451503,7.908707468633035e-08,-1.0729814700887615e-12,5.067220258796502e-09,1.4455524311187385e-13,0.00012936729145964578,0.00013745331043495967,0.0038508277671084968
100,1.0001010634862628,1.0,1.0,0.22207824485980407,0.38888738671456496,0.012530798390056802,0.01944028801647251,0.9999991141389565,1.3304410009934422e-06,1.0933197419601882e-11,-2.515311502131113e-10,2.6873740331416495e-14,-1.4388968402012997e-05,0.0037682864168190142,0.47788962977798566
200,1.0001675994708923,1.0,1.0,0.20543330500847892,0.38072894863256795,0.021019910892113528,0.008152748404638331,0.9999983445700322,2.0491110490476144e-06,-3.081820098861899e-12,3.754180568781493e-10,-4.540650980135979e-14,0.00026401976720788706,0.006383593976670802,0.4927832256008957
300,1.0002249182522045,1.0,1.0,0.19650281976504572,0.3708699018476604,0.02741705254732699,0.004084636656826722,0.999996827152877,2.591447248134607e-06,2.671326529471318e-12,8.716905111999078e-09,-4.92392296299544e-14,0.00028692300245312247,0.007828284991719003,0.4932444439329325
400,1.0003076326032934,1.0,1.0,0.17933225721481166,0.36765844148909643,0.03732543919931485,0.00446811770979346,0.9999960328525636,3.522500369317228e-06,1.4586895837315296e-11,-3.556243714130252e-09,-1.3173106850027869e-14,0.0005378605132720439,0.008867262627133119,0.49283175191661605
500,1.0003479017478858,1.0,1.0,0.18250218036724059,0.3642373157181796,0.04048150674943631,-0.0031938683438857245,0.9999960571955241,4.599861784675892e-06,-3.3258968969144415e-12,1.2943046429983587e-08,-1.1504591106424545e-14,0.0005417791948246797,0.009657364085422364,0.4999693826041541
600,1.0002768370895898,1.0,1.0,0.1720209507285782,0.35616568285078887,0.04413152847970679,0.00658721842832098,0.9999950437805883,4.877356133107078e-06,1.4658639909558522e-11,1.2701124657929322e-08,-7.903040951825033e-14,0.0006930521285659048,0.009960174175768957,0.5017696938006253
700,1.000322817375675,1.0,1.0,0.16667283200883476,0.3493242431016475,0.049187845680992145,-0.004565635155289119,0.9999944925794129,5.447161119430001e-06,3.991994159092514e-12,8.482972679564e-09,5.3129229556233255e-14,0.0008423875213317337,0.010298922885240177,0.49857975016807443
800,1.000448096079266,1.0,1.0,0.15995044253949456,0.3461482810398846,0.0585564823604968,-3.893021352481887e-06,0.999993694807749,5.7118848671400465e-06,1.9188734981787092e-11,1.4234211294599326e-08,4.521623306215401e-14,0.000851623754943216,0.01039722247387096,0.49515643149859784
900,1.0005580648342396,1.0,1.0,0.15381569997764194,0.3416886535571492,0.0630531241584461,0.005295125161671654,0.9999934504988653,6.205752558336955e-06,9.419571457959185e-13,1.5307346602253065e-08,-9.988629896869346e-15,0.0009894269403231846,0.010502242979049078,0.5050647740973538
1000,1.0006116484629848,1.0,1.0,0.15969861167850935,0.33330846564206384,0.06873157799010789,-0.0009839653594946457,0.9999930439445256,6.875978803563001e-06,1.8954310417184878e-11,2.0528381187887868e-08,-9.790973759438387e-14,0.0008949956020102058,0.010649763124233843,0.49646574840918406
1100,1.0007470999560706,1.0,1.0,0.15520339008237358,0.331165830595415,0.06875443477338632,0.00047910001120346046,0.9999927624384709,7.4862091336828665e-06,1.1440246994380537e-11,2.8933313584364797e-08,1.9765263055199305e-13,0.0010711877847547095,0.010884572004698976,0.5055218100269466
1200,1.0008861985113702,1.0,1.0,0.13885550456107654,0.3249295228212245,0.07301055994454764,-0.0022991176841301803,0.9999925439646088,7.567219253732116e-06,3.3146663469165686e-11,2.482621917408384e-08,-8.791356460282682e-14,0.0012627270422882527,0.010913712377495272,0.496057491295056
1300,1.001012021820674,1.0,1.0,0.13530462938875223,0.3267121167497932,0.08125248989428603,0.004718984179976429,0.9999919161614022,7.690367819208347e-06,3.158990518679963e-11,3.501914873802893e-08,-6.087000712192336e-14,0.0012489736878249977,0.011253520895235057,0.5003995480859414
1400,1.0011054428373054,1.0,1.0,0.13557212168786958,0.32356470400587267,0.08845715997794223,0.004733794277963518,0.9999915859705455,8.36959585606235e-06,3.5691035473215176e-11,3.472077646925371e-08,3.031034665504163e-13,0.0014050153134924758,0.01102219697577717,0.49803083736827497
1500,1.0011863068185933,1.0,1.0,0.1320350607379533,0.3207998466330698,0.09123303812922431,0.0022705320208210164,0.9999916598209627,8.848566027317735e-06,6.212281741781234e-11,4.085166251677727e-08,1.862477933595582e-13,0.0016460915679934545,0.01114780523299898,0.4950460829268567
1600,1.0012602016456562,1.0,1.0,0.12618588437583492,0.31590030889974036,0.0929545940694905,0.005041438663675763,0.9999912496145734,9.181809626613845e-06,5.457860193006213e-11,4.3936353175860736e-08,2.1588299037860317e-13,0.0017242120434253375,0.011189436688190283,0.49688905184145515
1700,1.0011924191303225,1.0,1.0,0.12425063612282473,0.3149395116859633,0.09562861838762711,0.004227305047263764,0.99999055478904,8.79929651818956e-06,7.114653778612362e-11,5.137205098624974e-08,2.40629636867158e-13,0.0018147460523198688,0.011677553859177299,0.4935581442730819
1800,1.001469878158355,1.0,1.0,0.1123533548340081,0.30667043165713465,0.09802441850212527,-0.003592322865733729,0.9999908190254674,9.626810928276688e-06,5.734510404681653e-11,5.491312866396226e-08,1.795233607846333e-13,0.0018104837942132,0.011537391118284905,0.49318355651273216
1900,1.0014435480321713,1.0,1.0,0.12499885897983945,0.3044906426204689,0.10210893187317553,0.0009373815746480457,0.9999901297036317,9.341652073618072e-06,7.783943036278784e-11,5.626478330661299e-08,1.9478223022091182e-13,0.0019215333782865989,0.011605645946015966,0.49688969023503127
2000,1.0015077576362694,1.0,1.0,0.10747898276567003,0.30488507754030725,0.10695927343555672,0.005771054507154178,0.9999902410659687,9.48434139283459e-06,6.664427848726209e-11,5.890050734127651e-08,3.138051295051111e-13,0.002130455551409081,0.011887580007484787,0.5025259965163452
2100,1.0015169801245414,1.0,1.0,0.11420403143846368,0.3033098492771819,0.11027734151549502,0.002979094224926643,0.9999897403079712,1.0165925527717796e-05,8.245219579683411e-11,6.773899472324611e-08,4.784921915518483e-13,0.0021500319883431484,0.011897450974378174,0.5047918634099721
2200,1.0018309368308234,1.0,1.0,0.11650218769113527,0.2963094781875833,0.10931561105686773,-0.0011645320808376196,0.9999894015689713,1.019870460025661e-05,1.0803007278962364e-10,6.564145226742606e-08,6.297862777839274e-13,0.002211297410026972,0.012074637415049608,0.497557414903332
2300,1.0017484288652965,1.0,1.0,0.10088879666886096,0.2998103536966633,0.11646743902796751,-0.003280908006164879,0.9999895994211926,1.0768791359527522e-05,1.0677219072864812e-10,8.223187473074521e-08,5.258035950128088e-13,0.0021492506055989175,0.011916049705726219,0.49775566127657517
2400,1.0018244727716037,1.0,1.0,0.09917548670504257,0.29456005552192477,0.11683783600832115,0.0015899231508409942,0.9999895612393871,1.0544767631156747e-05,1.0635013030785165e-10,8.818384303092158e-08,5.221007943693539e-13,0.0025296715288273372,0.0123749281902578,0.4985105614738477
2500,1.002124221105909,1.0,1.0,0.09667859757484837,0.29135435439944174,0.11775977480376702,-0.0025615056617811077,0.9999891576508166,1.0689485836329463e-05,1.377551157034911e-10,8.569819992190924e-08,7.500603146845239e-13,0.0024199667611209843,0.012408639489719014,0.4967187797695464
2600,1.0021479423123707,1.0,1.0,0.0891189159618684,0.28928213262405694,0.11561852581056548,0.0009377529553195226,0.9999890726930153,1.0947254694358826e-05,1.5018210756738262e-10,8.909571277962575e-08,7.02115328415585e-13,0.002520182255949325,0.012494720733308025,0.4984039475721347
2700,1.0022667138478072,1.0,1.0,0.08972999369780382,0.28667236324556794,0.12048465972395561,0.0026997124742823503,0.9999888616479556,1.1288539339076366e-05,1.3955954280459818e-10,9.510592418413205e-08,8.673075628358969e-13,0.0026720408614631865,0.012565752935687305,0.497611515954559
2800,1.0023306539233343,1.0,1.0,0.0976689105682069,0.28822825575234046,0.12587963534579505,-0.005639777236660376,0.9999883705692363,1.1159007897560895e-05,1.529359188395099e-10,1.1037674663720345e-07,8.96840224984841e-13,0.0027180905634570343,0.01276518675701054,0.4927673686913714
2900,1.002424499546708,1.0,1.0,0.0976083417306334,0.284497969648494,0.1282096335025773,0.004787684969487529,0.9999884818666157,1.1437850891729288e-05,1.6068845701121228e-10,1.027701791940316e-07,1.2181803669772427e-12,0.002859181585735044,0.012415672184108674,0.4970914563117447
3000,1.0024568057423011,1.0,1.0,0.08637653855948449,0.2849458702641428,0.1311702852128186,0.004729442704081804,0.9999880533610753,1.1799128470553645e-05,1.8612278205509937e-10,1.1759237304820727e-07,1.2324475226671754e-12,0.003142340952740686,0.012782719598200739,0.5057906457119538
3100,1.0026953702122567,1.0,1.0,0.08524345683400104,0.28531869631034196,0.12573286282332977,0.0078047961466671655,0.999988201782995,1.202502856186808e-05,1.9090642252638936e-10,1.1427568164595006e-07,1.3318599794643585e-12,0.0031433780676849337,0.01258470662677927,0.502338226754454
3200,1.002662942447805,1.0,1.0,0.09135332403934723,0.28553473593150785,0.13295900492219329,0.004037764549845563,0.9999880336697397,1.1664156688185622e-05,2.0999484680483204e-10,1.3504875260889073e-07,1.475042211051048e-12,0.0030468481604240243,0.012873354091587848,0.49352496499311477
3300,1.0027367528303888,1.0,1.0,0.08578292301376582,0.28033829058898835,0.13246947257426306,-0.0015560849196774498,0.9999882316605552,1.2163315001418963e-05,2.440034273718309e-10,1.285870247719838e-07,1.6641703499056372e-12,0.003174943853139003,0.013135121429506121,0.4976278600539029
3400,1.0027751545070802,1.0,1.0,0.08718684179407067,0.2811678644860441,0.13174087848216515,-0.004023004031226506,0.9999879614093959,1.2360262069608563e-05,2.6239492726720464e-10,1.453727889292528e-07,2.0546055085600597e-12,0.003290059792928205,0.01295028517022487,0.503494306522732
3500,1.0030209224330724,1.0,1.0,0.08701778302999598,0.280804234256489,0.13907028906689758,0.001650237482476359,0.999988015765982,1.1925046958827606e-05,2.675112054842559e-10,1.428321336499085e-07,2.0334406854701604e-12,0.003636514982529098,0.013156158981055033,0.4972869025787768
3600,1.0030880627447902,1.0,1.0,0.08166105869412144,0.2752413202436322,0.1404808910166011,0.007011193660531422,0.9999874143733748,1.2246524743643805e-05,2.8538016261961047e-10,1.4802339445335993e-07,2.20557827973394e-12,0.0036066257248231633,0.013332791510878786,0.5045711141401626
3700,1.0030757298966273,1.0,1.0,0.08515671547752492,0.2778316563826095,0.1395743489806716,0.005536437640443555,0.9999875976537977,1.2673736132651889e-05,2.97812061426489e-10,1.5261229465300576e-07,2.420086446487845e-12,0.00372298842616037,0.013189628321188215,0.4984616804918962
3800,1.0031841673911441,1.0,1.0,0.07664203990222555,0.2729173146451416,0.1408022520986753,0.0035601785470135224,0.999987419513505,1.288458604422652e-05,3.1811235849537477e-10,1.6134768670738778e-07,2.5681219056772415e-12,0.0037049634757538885,0.013642678621638153,0.4975481921486406
3900,1.003284652186148,1.0,1.0,0.07731572620040443,0.2729699822948102,0.13893303408093677,-0.0038954872950362684,0.999987274367015,1.2569933695210872e-05,3.2608600354024035e-10,1.7170880042651702e-07,2.942529213053094e-12,0.003977366324118227,0.01373497552054984,0.5024146810010987
4000,1.0033417290543503,1.0,1.0,0.06996511815375099,0.2748258655029825,0.13878379414671072,0.006148617584038226,0.9999870667099165,1.2638773175541007e-05,3.587761431745735e-10,1.784372580334074e-07,3.229834155947406e-12,0.003993975225382919,0.013510075983263538,0.5014891597507649
4100,1.003608995014649,1.0,1.0,0.07684217346378541,0.2721975441412811,0.14689656570639575,-0.0028244576096797475,0.9999865951413689,1.305504795069126e-05,3.639590276141868e-10,1.8775605774858318e-07,3.5588732577754376e-12,0.003988580754562529,0.013957017175238626,0.4959058747970345
4200,1.003547596165848,1.0,1.0,0.07443592536025498,0.27594671598646064,0.141083051403214,0.005833175629768111,0.9999867297451939,1.2721709304869047e-05,3.999595937432422e-10,1.8430545322704158e-07,3.701037171259019e-12,0.004124811833368681,0.014109898559737386,0.5014043544361919
4300,1.0036902974133572,1.0,1.0,0.07337907971295561,0.27084541148370095,0.14598958015456098,0.007107742287777148,0.9999864981827694,1.2919683412713783e-05,4.102417023167598e-10,1.8850241985445998e-07,3.821493839967462e-12,0.004422969731293035,0.013881887910734813,0.4972342357843079
4400,1.0037675620197941,1.0,1.0,0.06825956327476061,0.27030562412536463,0.1486752745099365,0.004001146571414108,0.9999862980645362,1.33534986621996e-05,4.096212865678877e-10,2.050571118631462e-07,4.229581331134668e-12,0.004459286815776825,0.014136372436574578,0.4935912802249146
4500,1.0039216269177993,1.0,1.0,0.07340177556936861,0.2675314357410519,0.1449364018681406,-0.0035298781366152098,0.999986348780652,1.3519057637195747e-05,4.5027647190030065e-10,2.0206310363931316e-07,4.551208921621511e-12,0.004593845868525655,0.014315718468803194,0.4955181192709025
4600,1.0042351751839815,1.0,1.0,0.0700147232816002,0.27170268015874377,0.14882610120004783,0.00018163944082012534,0.9999861779914282,1.3146289424430749e-05,4.808935011884815e-10,2.1057089575239653e-07,4.727815940086191e-12,0.004465736319879885,0.014532797313891122,0.49437061093408075
4700,1.004078900364061,1.0,1.0,0.05697694608469561,0.2706152072101522,0.1479852260583155,0.0007215091705081659,0.9999861571234643,1.3535549264466465e-05,4.774491198672846e-10,2.259859905710498e-07,5.102309569921587e-12,0.004605586808962135,0.014337094850714266,0.504771970857793
4800,1.004233248156007,1.0,1.0,0.07111900628872636,0.26878355316445546,0.15014013583999813,0.004609437670399855,0.9999859091597773,1.32222724779576e-05,5.053839497914249e-10,2.2979330657036332e-07,5.502001346687618e-12,0.0048731303551700226,0.014246623080537141,0.49678206095846783
4900,1.0043678618834533,1.0,1.0,0.059850212360476295,0.26575665276651134,0.15493066682391768,-0.001986466500781166,0.9999862746735023,1.3650572874637171e-05,5.497356887458563e-10,2.3879263509772723e-07,6.071816575691384e-12,0.004775025123998496,0.014720331972721334,0.4943455811836729
5000,1.0045542256637248,1.0,1.0,0.053315661125133584,0.2713188671390515,0.14993123829451988,0.007571973916679247,0.9999863247615743,1.3818265386217812e-05,5.689943856904275e-10,2.4350238520158616e-07,6.186466287086963e-12,0.004944765563998398,0.01448499691014241,0.49664603429505766
