miliseconds,Ti,Tm,I,u
0,1.3039347511216266,1.207029477748342,0.8939959564490446,0.0
100,1.253632575033396,1.0893066338695239,0.8615094170722085,0.0
200,1.1956996276011276,1.0119089692881786,0.8398413023162665,0.0
300,1.1328987050439043,0.937670347786319,0.8078948570069686,0.0
400,1.0763238898081744,0.8793994897032184,0.7757118893232062,0.0
500,1.0225187915327811,0.8126647733103648,0.7582420366652666,0.0
600,0.9661987115720325,0.7620465061775316,0.7332025534949864,0.0
700,0.9301317115795844,0.712516641638414,0.7132757440823395,0.0
800,0.8744428408172382,0.6947775470597846,0.6963489048756252,0.0
900,0.8286924952694588,0.6509251770107269,0.6833073631271593,0.0
1000,0.8072474449688172,0.6060859180005584,0.6640623491322494,0.0
1100,0.7571053067839327,0.5992748588843679,0.6325143328415471,0.0
1200,0.7406667926774014,0.5558658781156899,0.6270198105998144,0.0
1300,0.7025593480225933,0.5479384691538982,0.6119673634963255,0.0
1400,0.6596467993050492,0.5151955744508996,0.5854842721282862,0.0
1500,0.627546623848092,0.4981048310615795,0.5822031052094407,0.0
1600,0.6247819547357798,0.48363999656299433,0.564466008195975,0.0
1700,0.6070337861561488,0.4537047577644706,0.5476457689320705,0.0
1800,0.5589281866727027,0.43108288984617765,0.538737919810272,0.0
1900,0.5434425235773465,0.41879484747563,0.5171277634662599,0.0
2000,0.5382115926972748,0.4048298544382616,0.5159620687067777,0.0
2100,0.5124462569856761,0.3997697042416582,0.4931209752866886,0.0
2200,0.49629200978597465,0.37797242553596816,0.4820224593615662,0.0
2300,0.49392419592894615,0.35855183384484557,0.47115350101899783,0.0
2400,0.46894166038695284,0.3440623208937294,0.4613421684132304,0.0
2500,0.4610880272260915,0.35062829741806223,0.45035058814283935,0.0
2600,0.45118422645148726,0.32654060034456467,0.44511038781718054,0.0
2700,0.4136027486494124,0.32756829463457454,0.43682629880343676,0.0
2800,0.42893167280351074,0.32735281678758027,0.42315346877006393,0.0
2900,0.3908011004747443,0.3204162548506487,0.42437985341670637,0.0
3000,0.3928494501448025,0.31124417805548393,0.4162281488710173,0.0
3100,0.3869752380635091,0.2845908205825548,0.39961112588771813,0.0
3200,0.38094975970835254,0.2864268932218654,0.38528358176488686,0.0
3300,0.35390440310787763,0.28341301060395646,0.38272041794912576,0.0
3400,0.36970605897863523,0.28170251472338653,0.37773166558537696,0.0
3500,0.34302129364328304,0.27692227504204486,0.36047757181204304,0.0
3600,0.34955823673513026,0.26691497841977696,0.3653783088751113,0.0
3700,0.34011178835361644,0.2508012499701141,0.3509945482886568,0.0
3800,0.3142280459225887,0.23869599645390124,0.34048198452111383,0.0
3900,0.3178556873480802,0.25308683099170487,0.33294282530882585,0.0
4000,0.3259871738074473,0.2470936995207634,0.32619030519461434,0.0
4100,0.3065757449260455,0.2300112235068466,0.316880140764648,0.0
4200,0.30170476145766995,0.2262148801288505,0.3157825049060939,0.0
4300,0.28702103910894006,0.2199585894615993,0.3188951635933447,0.0
4400,0.2947535509265101,0.22163152351254506,0.29780958946275427,0.0
4500,0.2894787290986986,0.21216758527116192,0.30246731417496414,0.0
4600,0.2978453887974629,0.22754325096816627,0.29558540212316897,0.0
4700,0.28346326225686413,0.21209784059228506,0.2877878287430466,0.0
4800,0.2818519711132653,0.2069332371156456,0.29138427671493244,0.0
4900,0.28680303357987735,0.21126167479644975,0.2732358528205531,0.0
5000,0.2674955399745276,0.20231859809564282,0.2663737490134508,0.0
