miliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,7.95102804569128e-05,0.00017343539821514014,1.7827062923926523e-08,-2.4721354050542095e-11,3.917896265217118e-16,3.748752773825886e-08,6.4601270242840206e-09,8.290458058467232e-05,-1.5377151905762127e-05,-2.390756473979316e-08,8.327545998554517e-06,2.098031995530488e-06,-3.923993816800421e-08,-5.69074364354168e-07,7.584046176951645e-09,1.0262411071510735e-08,-4.546626015724462e-06,1.0136447266098133e-08,-9.376800053348066e-11,1.64498080622126e-10,-3.793211928529948e-17,6.480011653504826e-09,7.689167214592152e-10,-4.424618723267676e-15
100,7.836600746984313e-05,0.0001540886932424593,1.9572311066322297e-08,1.3465744900576604e-10,5.403641346735699e-16,5.957196083844636e-08,7.989368908721557e-09,1.8177257598509726e-06,5.734418630828664e-05,6.832595639537728e-08,-7.627710084763258e-06,5.926908282805524e-06,1.9516344616747704e-07,6.383914137035894e-06,-5.129609802102334e-10,2.3555855019137584e-08,1.4754699653278791e-06,-2.666240493789165e-08,1.2228413573194792e-09,-4.474840930583691e-11,2.1058389125605657e-15,-4.8166027271823735e-09,-1.6341903487421784e-10,-7.966774318858318e-15
200,7.991514942106856e-05,0.00015119808753619513,1.387710636371826e-08,2.1419890223616285e-10,6.006719584261446e-16,5.6374711543894795e-08,8.563475529046344e-09,4.037720701176597e-07,8.840494145722357e-05,1.488028115316592e-08,-9.315075046265205e-06,-1.722980686095846e-06,3.262680720452826e-07,1.2208465394051737e-05,4.880921259248615e-08,4.992446407709967e-08,-1.762979961257882e-06,2.5428876720115968e-08,2.8468462199036546e-09,7.607633018491009e-11,1.40537526985201e-15,4.3924028603809305e-09,-9.02425624757043e-10,4.402826182460274e-15
300,7.052584863781591e-05,0.00014837828378872758,1.9499986790071505e-08,2.8325243150801627e-10,2.406245739162376e-16,3.5250049304339964e-08,5.558552148971903e-09,3.632268161785541e-07,3.632211109421726e-05,9.512385242817317e-09,-1.7205673381144595e-05,-1.018971865009958e-06,3.131693320575651e-07,1.500799107623649e-05,8.98706854494926e-08,6.44117323278353e-08,1.8673717827146904e-06,1.531887818661353e-08,3.1938478997037273e-09,5.6465331346509745e-11,-1.906251131587774e-15,6.33030928584605e-09,-8.383345943449623e-12,6.685010251158497e-16
400,8.014067494507405e-05,0.00016860622108528204,5.6639540305487665e-09,3.2325153940675096e-10,-1.5210798144285396e-15,3.2877872731354515e-08,1.130209985748061e-08,-8.761737099638394e-07,4.135324617933491e-05,-3.21017006375361e-08,2.2477892168906174e-05,-3.069255557057193e-06,4.6799806327894465e-07,1.84604148249307e-05,9.855663537962231e-08,5.969886990417147e-08,3.084497124763701e-05,2.710649321396239e-08,4.524773414018388e-09,2.023865595026003e-10,2.468387659221684e-15,-1.211633700572516e-09,1.101958586281451e-09,-5.565928332431278e-15
500,9.172645406173736e-05,0.000150443725288401,1.3494154696332201e-08,3.810745416020233e-10,-3.3516913300494683e-15,1.704228643192064e-08,5.584907529144671e-09,-6.255959867739513e-07,3.0480348036351552e-05,-7.587338667574657e-08,8.903681021072378e-06,7.261295412728691e-06,4.5797386758438515e-07,2.0440837355393615e-05,1.5512690016923177e-07,7.960881392127704e-08,3.7388911892443875e-05,2.592864755452078e-08,4.733116101079203e-09,6.890880201043809e-11,-2.956694291084034e-16,1.3738369092551873e-08,1.373985939383289e-09,5.726908019070061e-15
600,7.026600434133805e-05,0.00014809534831645242,5.11252217670495e-09,4.1068336323315686e-10,-3.8336880202020775e-15,4.643809032685498e-08,9.384426786054046e-09,-4.6390419531623016e-07,-2.0667565373359515e-06,-9.992509410575832e-08,1.9725938123707323e-06,-3.838173248374884e-06,3.4241038764633996e-07,2.1307614407957397e-05,1.7145560107844455e-07,7.991552566763311e-08,4.670236102273952e-05,7.634413891243078e-08,5.22369509349758e-09,-1.0654685493045883e-10,4.97723910635149e-15,3.839394399909853e-09,9.93569117495369e-10,3.168278256322016e-15
700,9.142512780599742e-05,0.00014982121883986367,3.841160228181787e-09,4.215217866819407e-10,-5.042160200465571e-15,3.377682661130808e-08,5.777234339320068e-09,1.1621823343858017e-07,2.213431457118062e-05,-1.5244017704465022e-07,1.0132972443412308e-05,2.5822953392007036e-06,3.6793389538887577e-07,2.0930854611827948e-05,2.0577644805385675e-07,7.320505401545863e-08,4.2643407550273916e-05,9.837322749546748e-08,5.246773429262058e-09,-1.2725234841312363e-10,5.751355567794267e-15,1.7035173056842712e-08,1.4381914792254355e-09,1.0345827096185635e-14
800,8.078994446734736e-05,0.00017069139601618292,-7.504597766039803e-09,4.823132728286989e-10,-5.213381499612267e-15,3.585924924121121e-08,2.61922806207062e-09,-5.577241258578982e-07,2.961422172911303e-05,-1.7438419149795035e-07,1.6905975951822492e-05,-4.276231733433432e-06,3.4367120415469504e-07,2.2893958536961836e-05,2.07983164442757e-07,7.83636787626439e-08,5.3042844143679136e-05,7.846025916092513e-08,5.766439552532539e-09,-6.2463152512969e-11,4.165873613913041e-15,8.81701568243338e-09,5.244267388169836e-10,1.332151912211247e-15
900,8.378254788219064e-05,0.0001710289723414874,-4.408343453996217e-09,5.163703772153897e-10,-6.718638771081531e-15,1.147537744976365e-08,7.738414935811308e-09,-3.979889622460274e-07,-2.746405104234332e-05,-2.0576729543962336e-07,4.6764538055374255e-06,2.1147190371347475e-07,3.795899964206782e-07,2.39222567908265e-05,2.436224857605497e-07,7.886769379469526e-08,5.674719695208287e-05,1.1599266545397125e-08,6.633638585828382e-09,-2.583340837279299e-10,9.860249728817435e-15,1.6349232385607277e-08,1.3176435117224927e-09,7.855841906796292e-15
