miliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,7.762232171733806e-05,0.0001789410012953831,2.736787578455078e-08,-2.853042590670303e-11,-1.3577222503937135e-15,5.6301445538482676e-08,6.112002370391311e-09,8.335196518759715e-05,-1.3325641187244813e-06,1.6842737094365823e-08,1.139380836197046e-05,6.4731694715866e-06,-2.035129037573831e-08,-5.755750309255825e-07,1.1530589985884002e-08,-1.3365184807597373e-08,-1.1125460360592133e-05,5.0008758847832656e-08,1.0696683416166863e-10,-4.3085373475389444e-12,-2.0508749802018534e-15,1.5358761104790175e-09,-7.323650019450204e-10,5.550909172654136e-15
100,7.391597366407821e-05,0.00017532032450675753,1.6486168001522314e-08,9.907202534722227e-11,7.59830133313862e-16,5.819845734974194e-08,6.207236904159655e-09,2.0545560895678416e-06,5.0636524705579605e-05,6.071254738556943e-08,-6.866847513096922e-06,5.8641770239563306e-06,2.3325674190616442e-07,7.681418045334306e-06,4.0246427206265866e-08,3.843087543461933e-08,6.048458458807974e-06,6.098086451996602e-08,1.9022701875429924e-09,1.3117685643368831e-10,-8.006213837310923e-16,3.3716282181635852e-09,-4.2879506671397096e-10,9.02877564731908e-15
200,8.354389434528084e-05,0.0001536231033413485,1.9805971353041403e-08,1.6302043620974115e-10,-1.7054385722389265e-15,4.134289393810051e-08,4.92659102977082e-09,1.3377985193034472e-06,7.915624377977573e-05,-1.205434563446545e-08,1.9213752331609215e-05,-6.770622220983627e-07,3.064425741983402e-07,1.1451897565637274e-05,3.023813670604193e-08,3.4856495364454613e-08,2.1807036596627855e-05,-2.4561345531488265e-08,2.7851335176530424e-09,1.9827782357041067e-10,-1.0865984774175495e-15,2.854113559075652e-09,8.022725718728358e-10,7.940887087916322e-15
300,7.395603410603356e-05,0.0001753615944117252,1.5411075611868076e-08,2.92854804588477e-10,2.983333757560773e-16,5.804028117422276e-08,7.351056304227204e-09,4.578102629003321e-07,5.7524082045653264e-05,-1.3699742134117378e-09,6.759809349057609e-06,6.881046054885298e-06,4.1872261750630526e-07,1.5641572506449557e-05,5.992847926548062e-08,5.1458283711377296e-08,2.2029690652834123e-05,7.200504765207214e-08,3.732829997524772e-09,1.555409522072368e-10,-1.1935056281263145e-16,4.237086353502347e-09,3.7147975601398197e-10,-2.1563869280010206e-15
400,7.989124729669939e-05,0.00017028778310181736,4.7473406594696675e-09,3.400029337346694e-10,8.435296476003733e-16,3.950526411963328e-08,6.753061211221963e-09,-1.0656614633523084e-06,4.735538993170785e-05,-3.218821689994122e-08,1.397393402678709e-05,-2.7797541440662326e-06,4.7114628580629914e-07,1.9996766113975668e-05,1.1706648531877907e-07,8.526000236866843e-08,1.4194509942189637e-05,-3.65366066492807e-08,4.758784393965424e-09,2.59601729862365e-10,2.7153627580440236e-15,8.746408578417335e-09,-5.854076660839178e-12,-5.2717627820487765e-15
500,7.190118269839676e-05,0.00016155159406453263,6.560173415913467e-10,3.53824532987751e-10,-1.4301412863782954e-15,3.25576244751879e-08,5.1314516501689084e-09,-8.937785641167702e-07,3.777172242743831e-05,-9.470232263762442e-08,7.969579947701202e-06,-4.722114396080171e-06,4.3517776974592365e-07,2.0135425348807706e-05,1.6514973667018278e-07,7.517453464248816e-08,3.8166866638919516e-05,8.221466459029247e-08,4.564547139622025e-09,7.073411672575689e-12,1.0922147452784777e-15,9.458036267976152e-09,9.990086478289014e-10,-3.002098334239421e-15
600,7.956336469399545e-05,0.00015732073557813,5.5378760867589865e-09,4.171992356566336e-10,-2.134917137050661e-15,2.7368547406435204e-08,8.157207445156762e-09,-5.150006442029354e-07,3.0774475632180404e-05,-1.3364432866311377e-07,4.555520113603126e-06,6.117577923504418e-06,3.7341222284749677e-07,2.1262691658766638e-05,1.7898821527942106e-07,7.28555042198769e-08,4.930500060824262e-05,3.882929946856691e-08,4.711098724331062e-09,-1.8943813413227824e-10,1.4815376151851765e-15,7.3678261941659136e-09,1.5962713066899807e-13,1.1533329747240699e-15
700,9.581196938590795e-05,0.00016632792934285386,-2.8889489560132127e-09,4.299411263052942e-10,-4.157332806750618e-15,4.356591866502753e-08,9.876457062753546e-09,-4.553845828188006e-07,3.6852608002788665e-05,-1.4109184564878605e-07,6.874663349976979e-06,-4.476659057301181e-06,3.5843033417957396e-07,2.1410763788354158e-05,1.870261647081757e-07,8.349530830446941e-08,5.960868786708391e-05,2.4168034099931504e-09,5.209427331315313e-09,9.837577407612825e-11,1.870429352012631e-15,1.5154913363256145e-08,1.6032113227415838e-09,-6.847027126394048e-15
800,8.677170407681517e-05,0.00015082225953370106,1.9835391160064793e-10,4.6487565257052854e-10,-5.580105401881314e-15,7.025708435578043e-09,9.881233397650595e-09,-4.5813366238424753e-07,-1.9795466677396172e-05,-1.976421477911717e-07,1.8603420247625352e-05,6.814417792697734e-06,3.357331618345419e-07,2.351319249367312e-05,1.9756538573184634e-07,7.568393446788701e-08,5.7069739204930074e-05,6.359566927392724e-08,6.101195259553568e-09,1.6838188488738945e-11,8.692424852880194e-15,7.74720821809025e-09,5.873107059526669e-10,-3.212311803520206e-15
900,8.065929246570246e-05,0.0001732709248846258,-6.318537518638672e-09,5.114757399443717e-10,-8.234461082654883e-15,6.942519409022933e-09,8.021849715146928e-09,-3.818387105298258e-07,-4.142887320071212e-05,-1.7707518568810262e-07,1.038689662522247e-05,9.69656373141192e-06,3.666588765738438e-07,2.4571150612786947e-05,1.9989757602912552e-07,7.1379107169236e-08,6.720445051390846e-05,1.0451099955031376e-08,6.650568569830085e-09,-2.799581175446844e-10,8.60716747107968e-15,1.6420870215687894e-08,2.092159399904585e-09,-5.021398434584794e-15
