miliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,7.675350860956461e-05,0.00015986983827084338,1.3816261123263269e-08,-9.982078442023632e-12,9.47539864277386e-16,6.07527543837884e-08,3.4911791654290448e-09,8.280621145515374e-05,-3.056779836304177e-05,1.5080026786974409e-09,-9.150192593231314e-06,3.991039083171574e-06,5.544935870686691e-08,-1.3038968702777698e-07,-1.2703771411865347e-08,1.1872275879529334e-08,6.079742750777416e-07,1.2466383438382076e-08,3.167537862187623e-10,1.8579545473988594e-10,1.8043415839745287e-15,6.473932692419982e-09,3.9670389107345063e-10,-5.282647776815054e-15
100,9.48347854314198e-05,0.00015491049203712667,1.6293577431927545e-08,9.688380899691454e-11,-1.0261207874983985e-15,3.515798830303926e-08,3.221083793319719e-09,1.8966027853933774e-06,6.054975594214046e-05,4.184498157785627e-08,2.0097274650526013e-05,-1.2810419902890421e-06,2.2724520741954437e-07,6.886488707202808e-06,5.01596100504159e-08,4.493827524611035e-08,9.012124638496302e-06,-1.4264835110677629e-08,1.8714381285539444e-09,1.6247847310277177e-10,-2.7665432484670062e-15,5.759058440288929e-09,-1.3086737253126082e-10,-8.945176991847704e-15
200,8.834425305828958e-05,0.00017732151955998787,1.087528208384319e-08,1.782365269578515e-10,1.0649211427477074e-15,3.46379924810809e-08,4.0283417409606765e-09,1.4477776496968687e-06,6.968247181444652e-05,2.9847862026720984e-08,1.1427168672274054e-05,3.873922586328193e-06,2.3263323060724592e-07,1.1746461795850121e-05,5.3601851063133794e-08,5.2711113955064814e-08,-1.8427480088124916e-06,2.7008530599448664e-08,2.74989340674748e-09,-2.7199334460680468e-11,3.3797688150787294e-15,7.95241302349405e-09,4.3748219539176854e-10,-5.6861453994983684e-15
300,8.933039715574797e-05,0.0001663674479934335,1.4526092854339273e-08,2.6713087606504266e-10,-1.7103187185173758e-15,5.476105841632565e-08,8.859480096771053e-09,1.4533832487970143e-07,4.299976308446809e-05,-2.5031842403179826e-10,1.0537502832783856e-06,-4.169390706488743e-06,3.9269676295736404e-07,1.6462499770450104e-05,1.0206758398156508e-07,6.325260246104798e-08,1.8742995937784162e-05,1.0909703551996895e-08,3.533880028954128e-09,1.8122920551092788e-10,4.611743918659324e-16,-5.171970649483015e-10,-8.224750006973659e-10,7.976544752949071e-15
400,9.312541981741697e-05,0.0001523588776916458,5.3672042023383585e-09,3.415068890161254e-10,-3.28694304160744e-16,3.070213879171582e-08,1.0119122204040548e-08,-3.925394334371352e-08,2.772341429439691e-05,-3.3000404912760786e-08,6.605597135580226e-06,3.4469401832033444e-06,4.227213163614576e-07,1.980523355918756e-05,9.059350584089985e-08,8.107684895847833e-08,1.7442406419526573e-05,-1.2958627369129792e-09,4.674528160071699e-09,1.9901376576076684e-10,3.5058133411869937e-15,9.532872500668637e-09,1.164742560113731e-09,2.5539918144812845e-15
500,9.533404829944606e-05,0.0001598191608533927,1.4391665258665138e-08,3.8529489531852064e-10,-9.22323395040269e-16,4.023437082223625e-08,3.3596649156138086e-09,-5.086656614728048e-07,2.8663579635435874e-05,-5.8896807756762915e-08,6.383162148156037e-06,5.931803797769089e-06,4.040137432861183e-07,2.0936578378782257e-05,1.1759816181349263e-07,6.332136119831503e-08,3.04108890560968e-05,-5.702804701440833e-09,5.277151753365479e-09,6.187830150319783e-11,-5.224559174867248e-16,5.092177750785553e-09,-7.969167422697803e-11,9.18178366289616e-15
600,7.639804136862487e-05,0.00016670331679014786,6.4367434795504915e-09,3.918396343252196e-10,-1.7790432039073665e-15,2.7532676981194067e-08,9.711693905072547e-09,-9.435927040763714e-07,2.603454916562573e-05,-1.0618537733198231e-07,-8.577683521681217e-06,5.2721210233655926e-06,3.6761455535935076e-07,2.0041076065888916e-05,1.5803810126435382e-07,6.529438945910534e-08,3.772241429719851e-05,-2.1935141872938854e-08,5.095356802553178e-09,-4.5727508592908487e-11,3.431158305170736e-15,1.6742742571341336e-08,-1.7992917662154983e-10,-6.876257678158169e-15
700,8.231922601810115e-05,0.00017448368290062693,5.860516915316856e-09,4.645327020078302e-10,-5.420536403758665e-15,1.4696029349632148e-08,4.875784980384424e-09,-1.760804888658386e-07,2.8281222302534124e-06,-1.496604309958809e-07,8.385119022081367e-06,-4.698092985011825e-06,3.3956053242866556e-07,2.1307413820943646e-05,2.0570086663280766e-07,8.174637568261655e-08,5.849317083908827e-05,6.898134224497949e-08,5.103502085669566e-09,6.189261563904993e-11,4.359791317017617e-15,1.597122908797496e-08,6.85274502007135e-10,2.4962214514001034e-15
800,7.61659254762249e-05,0.0001562095598625958,2.5827330411147422e-09,5.106098528416241e-10,-4.71017993044866e-15,2.6230024982808608e-08,1.1673201191291121e-08,-5.905184623130903e-07,3.0333055741650918e-05,-1.9373168160347348e-07,-1.291347947973968e-06,-4.539158679196715e-06,3.7505714401509253e-07,2.2054345875923398e-05,2.0261156572075582e-07,8.133368488269385e-08,5.448987054824686e-05,9.739008288386908e-08,5.38810703408464e-09,-2.1217497609075227e-10,7.968600448521723e-15,7.035737623038974e-09,5.096892329793034e-10,5.844275105161965e-15
900,8.856718543140884e-05,0.0001629263990955899,-7.425085331317195e-11,5.118413807652163e-10,-7.8849756030447e-15,1.0212928699774445e-08,7.0302335252925865e-09,-3.916388204882207e-08,-5.510526412174185e-06,-2.0116733122604718e-07,-1.5200641042669436e-05,3.7755497551831e-06,3.3536925078879064e-07,2.290647482862017e-05,2.0410166076012906e-07,7.798106271609182e-08,7.332869308369615e-05,1.2728238949794862e-09,6.171204403340929e-09,-3.7513717575111654e-10,4.998856157510906e-15,1.776180091713887e-08,4.832412122314274e-10,5.407898771334947e-15
