milliseconds,CRP,PC,PC_CRP,C4,C4a,C4b,C2,C1,PC_CRP_C1,C2a,C2b,C4b_C2a,C3,C3a,C3b,dC3b,MASP,dC4b_C2a,GlcNac,GlcNac_LF,LF,GlcNac_LF_MASP,PC_CRP_LF,PC_CRP_LF_MASP,GlcNac_LF_CRP,GlcNac_LF_CRP_C1,C4BP,C4BP_PC_CRP,C4BP_GlcNac_LF_CRP,iC4b_C2a,C4BP_C4b,C4b_C2a_C4BP,dC4b_C2a_C4BP,PC_CRP_LF_C1,C4BP_PC_CRP_LF,GlcNac_LF_CRP_MASP,PC_CRP_LF_C1_MASP,GlcNac_LF_C1_MASP,GlcNac_HF,HF,GlcNac_HF_MASP,X
0,1.9999625942705737,0.03299548714136483,7.089085909889889e-08,769.9999941671296,-5.720428035975625e-06,-1.4483367814107525e-08,310.0000057909278,2469.9999982333347,-1.8217901312429131e-06,4.1239458107653844e-06,4.710504770669642e-06,-1.7180765374878302e-14,4650.0,-4.0449556310785245e-14,1.2232269475854587e-14,-4.312503999890351e-15,6.799999999464115,5.5861066781257944e-18,6.133124364824751e-31,-4.3527453496290697e-29,19.999999999859966,7.701953450058647e-29,9.438971869569624e-11,-1.9074785731899443e-11,1.6088697533564673e-35,1.2706468206584533e-34,259.98694890271315,-5.8502123036498216e-05,-1.88078528302594e-32,1.8662033534055084e-14,-3.182481658383298e-06,-6.147519056945926e-13,1.1357856205517815e-14,-4.1139313727860084e-11,0.0,-1.2109719153817387e-35,-4.968514972784638e-11,0.0,0.0,0.0,0.0,0.0005
100,1.9999607306092504,0.032559405746874256,7.127641030296995e-06,770.000000468839,-2.4750598165849213e-06,3.3407790482823606e-08,310.00000480155774,2469.9999978235596,-2.352920091506103e-08,-2.2979778952749594e-06,-3.5491585012421205e-06,8.946976555417388e-15,4650.0,1.2939863470508685e-14,-6.093740413853471e-15,-5.834474652878175e-15,6.799999999676061,8.381299844326386e-18,7.26832719864547e-31,2.959491068907046e-29,19.999999999296406,1.0524485549664337e-28,8.167981793227261e-10,2.4062223571969876e-11,-3.0244456793187083e-35,-6.571191635617397e-35,259.99033015526993,0.00040100795263868353,-3.278765174094226e-33,4.015287978707171e-14,2.447904070762688e-06,3.8868314777328287e-13,1.5731696515981865e-14,9.391585085275094e-10,0.0,-1.8688294604174267e-36,-4.344988719830343e-10,0.0,0.0,0.0,0.0,0.0005
200,1.9998175825197355,0.032443872804051276,7.211357940184159e-06,769.999997282897,6.40253032825275e-06,2.5699496355210814e-08,310.0000041004027,2469.9999983925404,3.905581932809585e-06,9.844891142338283e-07,3.4371352262676092e-06,2.173921302676708e-15,4650.0,-6.6366945390194894e-15,9.267054225596802e-15,5.472715389994873e-15,6.799999999999581,1.0520899437202255e-16,-1.5862493147264442e-31,3.6340442577790144e-29,19.999999997046782,-2.47193196162453e-28,1.6690315801402542e-09,3.387816742061792e-11,1.2700980982239381e-35,8.989960252767691e-35,259.99285661619524,0.00015374554723232464,1.5247116557599502e-32,2.5491147668978814e-13,-1.380409568032141e-06,7.982943818548573e-13,1.2553719570375014e-14,8.815412077885502e-10,0.0,8.829542463383986e-36,5.797846033568228e-10,0.0,0.0,0.0,0.0,0.0005
300,1.999447743660306,0.03232397714917473,7.196722477354443e-06,770.0000043560805,1.6887443559017658e-06,-1.4079335266993468e-08,309.9999943331,2469.9999975847527,3.3552328080644e-06,5.022586556848079e-07,2.7835666078140686e-06,-6.583475265964968e-15,4650.0,4.417551140398019e-15,-2.9032418445399315e-14,4.4797665345954694e-15,6.800000000117093,8.425138067246173e-17,-5.62677098816815e-31,-3.0950803170136652e-30,19.999999996144055,1.9798565234079305e-29,2.3062638647538364e-09,8.663542031941179e-11,-1.725814487192753e-35,4.09219294655271e-35,259.97854479997744,0.0005080409624621981,1.969182113555312e-32,1.1495606571728953e-13,6.003425492215909e-06,1.3864742545829866e-12,4.0754988678895535e-16,-3.959470200398639e-11,0.0,3.799971433927986e-36,-4.489010908390994e-10,0.0,0.0,0.0,0.0,0.0005
400,1.9993519856452593,0.03187478988307517,7.099276125430638e-06,770.0000015976578,2.7947236498551584e-06,5.994473146893425e-08,310.00000444321216,2469.999995890549,3.99719071095866e-06,-3.950877046781181e-06,6.647613534731645e-06,-6.34374105979058e-15,4650.0,2.8109385148331646e-14,-1.7420158249351176e-14,3.802374857696776e-15,6.799999999313991,-6.561766955812196e-17,1.3945508503341625e-30,-4.176511874412941e-29,19.999999995813805,1.498833141347651e-28,2.8185225730236346e-09,1.1444147951006048e-10,2.062097701186864e-35,-5.176642968482509e-35,259.96385198851794,0.0008272750645113033,-3.89139886637098e-33,-1.5674746752234332e-13,5.579422244443422e-06,-4.728833124040415e-13,5.309607155140148e-16,5.445476534653103e-10,0.0,-7.8295002561381e-37,5.215286260441211e-10,0.0,0.0,0.0,0.0,0.0005
500,1.998884624923594,0.031866496140382346,7.255432352001922e-06,769.9999960337265,-3.7470273021695286e-06,2.2472019362595145e-08,309.9999935234385,2469.999992189967,7.339152135682128e-06,4.006839338582668e-06,-1.4093663658729637e-06,-1.394755327477001e-15,4650.0,-9.949719121635315e-15,-8.818410079506769e-15,-1.4266721922362575e-15,6.79999999981254,-6.629577276014759e-17,-7.014875446165107e-31,-1.8475123078640848e-30,19.999999993837424,9.347756049418412e-28,3.2244613653680652e-09,1.6877356685501388e-10,3.427735489451452e-35,-1.393429911578052e-34,259.9577960292963,0.000872675735703424,-4.804346023985467e-33,1.3387595027283545e-13,-7.2857444239939e-08,-1.1051294412351686e-12,-5.07680642088474e-15,1.8938385313358587e-09,0.0,3.9601188211927765e-36,5.340084842952488e-10,0.0,0.0,0.0,0.0,0.0005
600,1.9990342700427335,0.03184294768827217,7.156954701106135e-06,769.9999944198765,1.0907733488424038e-06,1.0741899993178803e-07,309.9999992066429,2469.999992760008,8.33704263526805e-06,-1.3598107780844683e-06,-1.3613845020291541e-06,5.7034241286061585e-15,4650.0,-2.914592123660964e-14,2.0055001785432996e-15,1.7077355190954616e-15,6.80000000005675,1.964165273251662e-16,-1.2277137238276257e-30,-2.1346205233809715e-31,19.99999999326283,1.7062617596336017e-27,3.5723013888134424e-09,2.3125681770216049e-10,-2.4235424235669625e-35,-1.2559942755577744e-35,259.9580962640229,0.0009410887688198927,9.665065011666737e-33,2.2446823917721537e-13,3.0724584732744288e-06,-9.995192847111452e-13,-5.676637963512428e-15,1.4954442950468198e-09,0.0,5.136445902323664e-36,7.51527145502568e-10,0.0,0.0,0.0,0.0,0.0005
700,1.9989431922142353,0.031524405945351684,7.2118383632748085e-06,769.9999901057759,9.069616593438875e-06,5.033744661402935e-08,310.0000003592572,2469.999989774046,8.739271741749342e-06,8.871169739852853e-06,5.621434260434561e-06,4.34008544951874e-15,4650.0,-9.181612958712203e-15,-1.765290484445215e-14,3.9899370099200324e-15,6.80000000000358,-1.2654502998564518e-16,-7.539377170794976e-31,5.409631221393993e-29,19.999999992823643,-2.0435714042811362e-27,3.706936277140626e-09,2.6312980765446447e-10,-1.5438099304390647e-35,-7.924454280859664e-35,259.92966056562176,0.0011600409829315376,3.3579919590619574e-33,-1.2579804348793348e-14,7.935421896624088e-06,-4.684314142194878e-13,-5.750118334687113e-15,2.012760171376914e-09,0.0,1.3870687961830201e-36,2.1881876974994147e-10,0.0,0.0,0.0,0.0,0.0005
800,1.998454732811526,0.03159223932216831,7.172200298044627e-06,769.9999964713052,3.9636799809311887e-07,1.0755815526194098e-07,309.9999910861214,2469.999988513255,1.0776828035852179e-05,2.9371317824388585e-06,-3.6099293454851525e-07,1.7741084766774753e-15,4650.0,-1.2666539793588537e-14,-1.6300886638179038e-15,-2.7010767255323288e-15,6.799999999138833,-3.0921066859618356e-17,9.0715442522826e-31,-8.261942614068813e-31,19.999999992678315,-5.8435514142237684e-27,3.854249864535249e-09,3.1906326292356004e-10,1.3219932484561784e-35,-1.462830633840993e-34,259.91932078031385,0.0016287289163484514,5.625040783824936e-35,1.3885162637513832e-14,1.7097430178927812e-06,-6.70300042453898e-13,1.2321791942315372e-14,2.5470550445884154e-09,0.0,-9.859081119852857e-36,9.042126889148564e-10,0.0,0.0,0.0,0.0,0.0005
900,1.9983343163003788,0.031223010067487903,7.284053579881221e-06,769.9999878808254,1.1631195954365828e-06,1.023980427110513e-07,309.9999960903107,2469.999989831495,1.2321891843996283e-05,1.0901438672478885e-05,5.328715270898402e-06,-8.354983674524929e-15,4650.0,-1.2338945759796176e-14,1.1076648787648395e-14,-1.378056689671107e-15,6.799999999517005,1.8945218912529895e-16,6.854534895165557e-31,-4.3840113646570016e-29,19.999999991548435,-7.788304352471401e-27,4.1796708203085556e-09,3.19638196081252e-10,-1.1915591977440529e-35,1.189562724262238e-34,259.92703155249546,0.0014152746720367943,-1.271763835021625e-32,-1.6615135439190186e-13,1.1426127684056435e-05,-1.1967678951407693e-12,6.5963013984185036e-15,4.582244205357557e-09,0.0,-8.302491598626736e-36,4.0607144574671166e-10,0.0,0.0,0.0,0.0,0.0005
1000,1.9983504424168455,0.03090221206834602,7.15316938065483e-06,769.9999865055808,5.361345130913652e-06,1.5910932221345736e-07,309.9999943702051,2469.9999859085246,1.1854718038805032e-05,6.290400141268528e-06,2.5861450468424884e-06,1.4105563586349511e-14,4650.0,2.291922799953189e-14,1.1125779052945176e-14,-4.666926760950447e-15,6.799999999293204,1.7625648577137962e-16,-1.9913305001585286e-30,-1.2963317524485475e-28,19.999999988472336,-7.88536465713463e-27,4.383848580710239e-09,3.8830207612756834e-10,-6.595578897332093e-35,-1.649330491938555e-35,259.90510984321145,0.0016332457910247214,1.277938733323761e-32,2.804493944063579e-13,2.7231953115574833e-06,8.28529658166995e-13,1.111655616186991e-14,5.31965674207473e-09,0.0,1.094949872197784e-35,4.677406340614725e-10,0.0,0.0,0.0,0.0,0.0005
1100,1.9982137436154572,0.030760107503549596,7.244084738382167e-06,769.9999845390162,1.1568182522409296e-05,1.397420598845618e-07,309.99999349617156,2469.9999873162387,1.4091624850921945e-05,1.2584903286701108e-05,1.222168420073204e-05,-1.3980076278731131e-14,4650.0,1.7888664447345845e-14,-1.6491685904596548e-14,4.422367887322264e-16,6.7999999992656885,-5.323166565108759e-17,-3.0476063847660716e-31,-1.966318507552672e-28,19.999999989245165,-7.819361016861937e-27,4.3990179524403385e-09,3.959960638093554e-10,-1.602247437329957e-34,-1.0878041911149502e-34,259.9062166838822,0.0019172656505054026,-1.4658744469193515e-33,-3.593591201157882e-14,1.1762180516438832e-05,-1.1483502279851145e-12,-7.667103636912161e-15,5.852319185602945e-09,0.0,3.040186664738495e-36,1.1275391300180632e-09,0.0,0.0,0.0,0.0,0.0005
1200,1.9977029479466688,0.03075114773365364,7.322515781902254e-06,769.9999917654613,1.5232451614212412e-05,1.7174871719696906e-07,309.99998587560196,2469.999985104748,1.7301764265608003e-05,6.645865863844067e-06,1.1447727822452879e-05,1.9132095610274968e-14,4650.0,-4.138800055323614e-14,1.7179937018413924e-14,5.711581635518142e-15,6.7999999987113915,-5.2134507582506966e-17,-2.8491204970470187e-30,-2.966495740340013e-28,19.99999998784258,-6.723826760230196e-27,4.5790615028678804e-09,4.4652608562534574e-10,-1.7413800533683351e-34,-1.8792685644044819e-34,259.88393835974085,0.0021039789587806155,-4.948103821152123e-33,1.8165793931346983e-13,1.1252808112927563e-05,-4.0556102830928046e-13,-9.77341226801115e-15,6.570561261635479e-09,0.0,-1.7110424732441923e-35,1.3811058591146001e-09,0.0,0.0,0.0,0.0,0.0005
1300,1.9978587894944038,0.03046258049557872,7.233698409117587e-06,769.999988741906,1.2267847579879213e-05,2.5914346563870625e-07,309.9999842643369,2469.9999845705465,1.7873801259787977e-05,1.2191915042029904e-05,1.8425557907021356e-05,2.0993378395108742e-14,4650.0,-2.0256884985450265e-14,1.4966707440099303e-14,8.272183704638768e-16,6.79999999766416,-1.2531485206172222e-16,-4.5655640592480516e-30,-4.22384338199934e-28,19.999999986689996,-7.153049037222095e-27,4.5684314040092346e-09,4.5516347400535717e-10,-2.11321295665392e-34,-2.8780932566961313e-35,259.8894877367703,0.002320561749454088,-1.046407938191412e-32,-3.771288198274814e-14,1.7047238158543133e-05,4.635063349004268e-13,8.343360696210508e-15,5.976738137165637e-09,0.0,-1.7864936551003933e-36,1.3167686327171101e-09,0.0,0.0,0.0,0.0,0.0005
1400,1.9974859441743966,0.030548076279176474,7.150940220308895e-06,769.9999808045601,1.3264889574539132e-05,2.5826698418477813e-07,309.99999025946664,2469.999981102484,1.817248116584777e-05,1.224460316688838e-05,1.3504000532765992e-05,3.950563381172912e-15,4650.0,-3.6384768685215284e-14,2.512701757064934e-14,4.028382769724611e-15,6.799999997808966,-1.0240742361721831e-16,-4.0030307405088905e-30,-4.246113245660556e-28,19.999999986767513,-7.484205498765511e-27,4.580107075871362e-09,4.830639205718211e-10,-2.7482626988581415e-34,-2.675858769440992e-34,259.8601542902591,0.002504416515805593,-2.6356534608847195e-32,-8.911117849406602e-14,1.5277442078074102e-05,-1.133631158549043e-12,9.358221781586106e-16,7.212425315906371e-09,0.0,-6.188009654954775e-36,1.7050556968909476e-09,0.0,0.0,0.0,0.0,0.0005
1500,1.9974463030988592,0.03008900121118176,7.232933327705599e-06,769.9999875824672,1.637825012862955e-05,3.03163606664174e-07,309.9999820275217,2469.999981588408,1.809797039590101e-05,2.2609602097375016e-05,1.834317270214755e-05,1.848055804263377e-14,4650.0,4.820662510537754e-14,-4.346338275287927e-15,1.0354088702119064e-15,6.799999997127477,-4.1873058035223125e-17,-6.310429293529048e-30,-5.607222813958836e-28,19.99999998573994,-8.207304034718656e-27,4.676552030318675e-09,5.219445769979637e-10,-3.2599043856660217e-34,-1.5738327048811174e-34,259.86421039627083,0.0027341181652320154,-3.0611205126982786e-32,-6.44102089868515e-15,1.5808555539258535e-05,1.0029562103605002e-12,1.1196130846038217e-14,8.677547205313234e-09,0.0,-3.5688089725154464e-35,1.5408160469527994e-09,0.0,0.0,0.0,0.0,0.0005
1600,1.9970243547789022,0.0298984345309439,7.176138283302331e-06,769.9999739415337,2.5494255805680014e-05,3.1184275436327793e-07,309.9999767939317,2469.9999780347493,2.26425701028118e-05,1.907163718286862e-05,2.4489384400306215e-05,1.9347208487662148e-14,4650.0,-2.1357795115847757e-14,-1.3312409468371836e-14,-1.8930054810385255e-15,6.799999997733317,-1.0389826724293968e-17,-7.793341259475858e-30,-5.633907074682089e-28,19.999999984223386,-8.627134423205603e-27,4.8064041757832395e-09,5.27277214873202e-10,-3.420471155852331e-34,-1.886162039443721e-34,259.8568591682116,0.0028362590154001692,-4.562665807552808e-32,-3.7965664395001436e-14,1.8571609229312827e-05,5.724222313052436e-13,-3.745565741877513e-15,8.938237302972866e-09,0.0,-4.497610970350667e-35,2.678569273422278e-09,0.0,0.0,0.0,0.0,0.0005
1700,1.9968902456442859,0.029786824173321697,7.214887521692571e-06,769.9999751105097,2.6010374920473716e-05,2.946325768286785e-07,309.9999732435825,2469.9999763038595,2.332745980338062e-05,2.2013283671992056e-05,1.7933149285895026e-05,-3.227093483881409e-15,4650.0,1.1617662211163472e-14,-1.2892982318650431e-14,2.477279477924887e-15,6.799999997561243,8.183121602684783e-17,-1.1130224315917731e-29,-6.595561550380362e-28,19.999999983578483,-8.621183643908512e-27,4.762456442084499e-09,5.537969994989363e-10,-3.926723804109055e-34,-1.763490137065283e-34,259.84983270668437,0.003090507293639523,-5.94859539649233e-32,3.367273710722294e-13,2.8211288647989996e-05,3.234714010955439e-13,4.203331800912005e-15,8.957701942771219e-09,0.0,-2.507417128259579e-35,2.9411170702284535e-09,0.0,0.0,0.0,0.0,0.0005
1800,1.9970365172439304,0.029905006066796438,7.230999374165073e-06,769.999978920866,2.135377702882438e-05,3.677630154607593e-07,309.99997262959414,2469.9999764653708,2.4225119588462386e-05,2.9154913253726778e-05,2.8986417639328963e-05,1.3056865441209131e-14,4650.0,5.359721908964918e-14,1.3766808951049863e-14,5.11565257236036e-15,6.79999999683796,1.1302286436469308e-16,-1.277237244136999e-29,-7.173154084660277e-28,19.999999981020306,-8.198931658312043e-27,4.8725201772550065e-09,5.733056580381236e-10,-4.136059949127097e-34,-4.896461295971909e-34,259.8410684855511,0.0029740534349719096,-3.9175368554358224e-32,9.767871579136766e-14,2.1201230441452855e-05,-5.71901416408709e-13,3.287193745084715e-16,1.0685682013496547e-08,0.0,-3.341724808475213e-35,2.372466101975685e-09,0.0,0.0,0.0,0.0,0.0005
