milliseconds,CRP,PC,PC_CRP,C4,C4a,C4b,C2,C1,PC_CRP_C1,C2a,C2b,C4b_C2a,C3,C3a,C3b,dC3b,MASP,dC4b_C2a,GlcNac,GlcNac_LF,LF,GlcNac_LF_MASP,PC_CRP_LF,PC_CRP_LF_MASP,GlcNac_LF_CRP,GlcNac_LF_CRP_C1,C4BP,C4BP_PC_CRP,C4BP_GlcNac_LF_CRP,iC4b_C2a,C4BP_C4b,C4b_C2a_C4BP,dC4b_C2a_C4BP,PC_CRP_LF_C1,C4BP_PC_CRP_LF,GlcNac_LF_CRP_MASP,PC_CRP_LF_C1_MASP,GlcNac_LF_C1_MASP,GlcNac_HF,HF,GlcNac_HF_MASP,X
0,1.9998024032611745,0.03255185076690995,-6.73063738041965e-08,769.9999954531687,-5.8443730619528976e-06,2.217784320736256e-08,309.99999932065475,2469.999999692507,-3.832795704593828e-07,-5.845849953747193e-06,1.3019501469140478e-06,1.1060382742427897e-14,4650.0,2.184566259344742e-14,-2.488313842605006e-14,3.583747470138596e-15,6.800000000242334,-1.7119116922744067e-16,1.4870778537268603e-30,4.3400051177320636e-29,20.00000000072009,-1.4059481008776535e-28,-9.35169960173893e-11,5.097442738399084e-13,1.82968471513003e-35,1.2981881708691943e-34,260.0070156680459,-0.00013384349110964235,-8.431442504716774e-33,1.5722785130993968e-13,-1.052701116151197e-06,-4.200733472364304e-13,-1.2212467643902012e-14,7.325174911443977e-10,0.0,5.3401471826607686e-36,-3.412736009189027e-10,0.0,0.0,0.0,0.0,0.0005
100,1.9997431742019196,0.032676858075212374,7.079709611691653e-06,769.9999955177971,6.668604020655435e-07,-4.182433411968276e-08,310.0000042412674,2469.9999998773956,2.6658787247756074e-06,-3.7749040667717052e-06,1.5802745932840878e-06,1.406349968930961e-15,4650.0,2.361462263772089e-14,2.3526303630007983e-14,5.508427582973094e-15,6.80000000008857,-7.479494038913736e-17,-8.002172946738273e-31,-3.891993417397607e-29,19.999999999441762,-1.6796788927795124e-28,8.101224792491235e-10,-7.85405371557559e-12,-2.6695420313869704e-35,-1.4236490479863106e-34,260.001949118742,8.443215217600024e-05,6.211537497748776e-33,-2.085833796830407e-13,3.846201759375267e-06,-3.4525129947989334e-13,-1.536416566923947e-14,3.9408907286665524e-10,0.0,1.6859243899017097e-35,-2.2411796010730948e-10,0.0,0.0,0.0,0.0,0.0005
200,1.9997549456085222,0.03244512534540794,7.173856557498335e-06,769.9999969148504,5.6616016367797655e-06,5.2891285253341223e-08,309.99999853975584,2469.9999994298705,2.0142510223045633e-06,-2.938785766009531e-07,-1.2536078009477097e-06,4.05365190857637e-15,4650.0,4.4143424592644936e-14,8.266951688870383e-15,5.070138507289097e-15,6.80000000052714,-1.3017845329962961e-18,-1.7401793602490117e-31,-3.2174654693860805e-29,19.999999998442252,1.4101083616165298e-28,1.6233173172656951e-09,4.479485336945345e-11,-2.124946865369539e-35,-1.4928458585942043e-34,259.9824434534343,0.0001355402887322189,-5.711879445659714e-33,-2.630679048168613e-13,-9.528847604139525e-07,-6.454068080820511e-13,1.6062351069425284e-14,9.946278938202847e-10,0.0,6.036946583324993e-36,-1.5070968571154028e-10,0.0,0.0,0.0,0.0,0.0005
300,1.9995985633378004,0.0324024298456337,7.236892406996716e-06,770.000005110971,-2.5666586910830775e-06,3.341584779399403e-08,309.9999966828748,2469.9999954829045,3.723130442998258e-06,3.378445333401556e-06,6.094950429969815e-07,8.916490631512021e-15,4650.0,-5.127970559737638e-15,-9.200439745394326e-16,-1.8164976318608293e-15,6.799999999978575,2.353280605284826e-17,-1.5666894966770903e-30,2.2330988817293113e-29,19.99999999603121,2.361175394591722e-28,2.2522337498332186e-09,7.248065286799606e-11,2.662848793183403e-35,-1.3986749203793252e-34,259.9675298439394,0.00036075358665816227,-1.3491035147818118e-32,-3.5492084033245034e-14,4.855808310485887e-06,-1.056846007535394e-12,4.945557409093993e-15,1.3644233533312627e-10,0.0,-1.0224590706124367e-35,1.8873987521752997e-10,0.0,0.0,0.0,0.0,0.0005
400,1.9991996095334914,0.03209951495062468,7.247292162078195e-06,769.9999949143737,4.071750861419818e-06,2.2396345467946027e-08,310.00000072097896,2469.9999959960114,6.019021701567238e-06,4.984058543778021e-06,6.15748667173564e-06,-4.0632480983254915e-15,4650.0,6.706371017361701e-15,-1.1254961708598758e-14,3.9875988725382915e-15,6.799999999941535,6.766486585458125e-17,8.446116079693992e-31,4.0867692054767246e-29,19.999999995645478,2.0624954003612845e-28,2.718196732463565e-09,1.301133715526455e-10,-9.761889829073678e-36,1.1042736712411114e-34,259.9599355895159,0.0007688417901833694,-1.766671915579363e-32,-1.0144423481904375e-13,-3.3004026276867346e-06,1.2988782588461445e-12,-1.3444218382176202e-14,7.276912928506316e-10,0.0,-1.3201810028516476e-35,1.818260458674367e-10,0.0,0.0,0.0,0.0,0.0005
500,1.9990177777329785,0.031690374347469866,7.134136762715826e-06,769.9999932009179,-3.3366333246743396e-06,2.6373159615296765e-08,309.9999976322518,2469.9999953191714,8.437008197809357e-06,3.90974711189018e-06,-8.221627966546157e-07,1.4894601307676902e-14,4650.0,4.713932486307469e-14,-4.1784585663740016e-15,-2.3505058103433217e-15,6.7999999994201845,8.503052867535303e-17,-6.44268621686639e-31,-1.5255611927502034e-29,19.999999993684103,9.458915373755847e-28,3.0326587918027028e-09,1.7987678972121798e-10,8.07847180232996e-38,-1.4978131801012583e-34,259.952702190636,0.0009859548803079188,1.0867304666275966e-32,-1.0880635988982349e-13,-1.2541327243983318e-06,-8.775420064841768e-13,-7.54233479123262e-15,1.758651109975304e-09,0.0,-1.2107223295285573e-35,1.7253928529504398e-10,0.0,0.0,0.0,0.0,0.0005
600,1.9987004221675158,0.03179472930144017,7.224957885449826e-06,770.0000005314075,8.767574391908664e-06,7.014717086147784e-08,309.9999925443718,2469.999991567939,6.828043729908637e-06,3.778074670193051e-06,-2.5751378791509514e-06,-1.2027938028951904e-14,4650.0,-3.1710886269684965e-14,-1.0885647774362668e-14,3.695060860173984e-15,6.79999999952166,-2.0284775668907504e-16,7.777446519162383e-31,6.806227958069772e-29,19.999999994754955,1.5253720285592744e-27,3.5552705786262246e-09,2.0666736717960116e-10,-2.5459341586405974e-35,9.447068055322618e-35,259.95163453399664,0.000913967071256964,-2.5742224074642708e-33,-2.7614218520937602e-14,3.844821432251296e-06,-1.2102819165842284e-12,1.5703200872404494e-14,2.1398537770671936e-09,0.0,1.8329074117160935e-35,6.846107136262436e-10,0.0,0.0,0.0,0.0,0.0005
700,1.9988675871359174,0.03140787370137085,7.2484326271048904e-06,769.9999904275121,9.367308302320909e-07,6.234024465409786e-08,309.99999357848446,2469.9999906360663,8.076225424163977e-06,1.30816617875352e-06,3.328971573988589e-07,-7.270175389258452e-15,4650.0,2.6318821880813794e-14,8.769346300896592e-16,-5.480925405920118e-15,6.799999999815562,-1.6320697513667974e-16,1.1575620427013394e-30,2.665735943854264e-29,19.999999991514706,-1.735647146778058e-27,3.704428424658611e-09,2.6952837558298893e-10,3.3978300290220776e-35,9.160690345537876e-35,259.9446015684234,0.0013441113730656424,8.801749611038244e-33,-1.6434215529749637e-13,8.389229413400922e-06,1.3006303057342941e-12,7.184567338600803e-16,3.553594262556041e-09,0.0,1.9642307936293828e-35,-7.747816368275687e-11,0.0,0.0,0.0,0.0,0.0005
800,1.9983781185234624,0.03132858765565409,7.253580646163854e-06,769.9999924463611,3.935358466969245e-06,1.233463035723185e-07,309.9999956112365,2469.999988295927,9.166483651427779e-06,5.9182572580915764e-06,1.6202689487565872e-06,1.1241542875159543e-14,4650.0,-2.4565446507421363e-14,1.0838216071771145e-14,-4.366881008352137e-15,6.799999998751462,1.0760448683478949e-16,1.478556210434788e-32,-1.1018031939953508e-29,19.999999991976708,-6.194900915856753e-27,3.84252926969155e-09,3.122349317461472e-10,-1.323348815866608e-35,-1.3285528360258573e-34,259.9383498775631,0.001184035208643265,1.1664879781195163e-32,-1.7425384314008775e-13,2.2686874623374033e-06,6.040096399742521e-13,1.1932782572644035e-14,3.6080375012388493e-09,0.0,-1.6915820688644906e-35,5.29613683493354e-10,0.0,0.0,0.0,0.0,0.0005
900,1.998211680160438,0.03140356667588002,7.1884418608081265e-06,769.9999996973331,6.585517646962707e-06,1.682370169651062e-07,309.99999183621776,2469.9999870306224,1.24141553838727e-05,1.036542748406422e-05,3.17420294519485e-06,-1.2244758709829941e-15,4650.0,-3.36080415429421e-14,-5.872225658045736e-15,-1.861159983693481e-15,6.7999999991327185,3.707684627801902e-17,8.062147417098233e-31,-1.4244232239207735e-28,19.999999991936484,-8.156290030829193e-27,4.125847177902396e-09,3.535589896124826e-10,-1.616867226574183e-35,-1.6624324703188816e-34,259.9054233805766,0.0015445771537484579,1.0401385500595593e-32,-1.1090636060493756e-13,1.0615807429348524e-06,1.1655966402184385e-12,1.14085662811732e-14,4.568605358528747e-09,0.0,1.93900084307546e-35,1.047764608176634e-09,0.0,0.0,0.0,0.0,0.0005
